年份,公共电视节目套数,付费电视节目套数,全年公共电视节目播出时间,全年制作电视节目时间,全年电视剧播出部数,全年电视剧播出集数,进口电视剧播出部数,进口电视剧播出集数,全年动画电视播出小时数,进口动画播出小时数
2019,3609,,19509935.0,3455809,21.1148,722.94,493,1.49,398685,5181
2018,3559,,19250257.0,3577444,21.7591,707.7,811,2.65,374485,8879
2017,3493,,18810190.0,3651775.07,23.13,698.7376,1473,4.03,362800,11479
2016,3360,,17924000.0,3507217,22.72,688.64,2400,7.25,328900,8900
2015,3442,,17796009.8166667,3520190,23.3105,686.3633,2889,8.1535,309100,9700
2014,3329,,17476125.9,3277394,23.2802,669.001,2878,8.0527,304838.583333333,15883.3666666667
2013,3250,88.0,17057211.72,3397834.01666667,24.0996,661.4157,3616,9.8939,293139.95,14014.5333333333
2012,3273,80.0,16985291.0333333,3436300.96666667,24.2298,662.2013,4872,10.7103,304877,12063
2011,3274,96.0,16753029.4166667,2950490.2,24.706,663.6255,6377,16.6401,280254.616666667,14822.2
2010,3272,78.0,16355043.3,2742949,24.92,635.86,8800,19.51,0,0
2009,3250,87.0,15776767.1166667,2653552,23.825,605.0882,9099,22.4139,,
2008,3199,89.0,14953361.6166667,2641949,22.569,550.4326,9251,22.9565,,
2007,3127,87.0,14546657.0,2553283,22.5676,534.972,10652,26.4228,,
2006,2983,109.0,13604469.0,2618034,22.7269,490.2687,13311,25.08,,
2005,,,,2553861,,,,,,
2004,,,,2117158,,,,,,
2003,,,,1791110,,,,,,
2002,,,,1680909,,,,,,
2001,,,,1578755,,,,,,
2000,,,,871081,,,,,,
