年份,博物馆机构数,博物馆从业人员,博物馆文物藏品,本年博物馆从有关部门接收文物数,本年博物馆修复文物数,博物馆考古发掘项目,博物馆基本陈列,博物馆举办展览,博物馆参观人次
2019,5132,107993,39548334.0,70779,,,,,112225.159
2018,4918,107506,37540740.0,188377,,,,,104403.582
2017,4721,105079,36623080.0,33780,,,,,97172.149
2016,4109,93431,33293561.0,87483,,,,,85061.03
2015,3852,89133,30441422.0,50137,,,,,78111.687
2014,3658,83970,29299673.0,186236,,,,,71773.809
2013,3473,79075,27191601.0,113070,304839.0,,7650.0,9172.0,63776.0
2012,3069,71748,23180726.0,47314,39120.0,325.0,8230.0,11885.0,56401.076
2011,2650,62181,19023423.0,434695,79496.0,366.0,7054.0,9867.0,47050.68
2010,2435,57431,17552482.0,20900,33871.0,539.0,16613.0,10091.0,40679.3
2009,2252,59919,15711150.0,44211,,,,,32715.6
2008,1893,51587,14554158.0,41046,,,,,28328.0
2007,1722,42636,13760448.0,,,,,,25625.0
2006,1617,40818,13024192.0,,,,,,12032.4
2005,1581,38603,16199377.0,,,,,,11819.0
2004,1548,39266,12856434.0,,,,,,9736.0
2003,1515,34891,,,,,,,6206.0
2002,1511,35833,,,,,,,7980.0
2001,1461,35092,,,,,,,7955.0
2000,1392,34199,9813923.0,,,,,,8540.0
