年份,音像、电子出版物出口种数,录音出版物出口种数,录音带出口种数,激光唱片出口种数,数码激光唱盘出口种数,录像出版物出口种数,VT出口种数,DVD—V出口种数,VCD出口种数,电子出版物出口种数,音像、电子出版物出口数量,录音出版物出口数量,录音带出口数量,激光唱片出口数量,数码激光唱盘出口数量,录像出版物出口数量,VT出口数量,DVD—V出口数量,VCD出口数量,电子出版物出口数量,音像、电子出版物出口金额,录音出版物出口金额,录音带出口金额,激光唱片出口金额,数码激光唱盘出口金额,录像出版物出口金额,VT出口金额,DVD—V出口金额,VCD出口金额,电子出版物出口金额,音像、电子出版物进口种数,录音出版物进口种数,录音带进口种数,激光唱片进口种数,数码激光唱盘进口种数,录像出版物进口种数,VT进口种数,DVD—V进口种数,VCD进口种数,电子出版物进口种数,音像、电子出版物进口数量,录音出版物进口数量,录音带进口数量,激光唱片进口数量,数码激光唱盘进口数量,录像出版物进口数量,VT进口数量,DVD—V进口数量,VCD进口数量,电子出版物进口数量,音像、电子出版物进口金额,录音出版物进口金额,录音带进口金额,激光唱片进口金额,数码激光唱盘进口金额,录像出版物进口金额,VT进口金额,DVD—V进口金额,VCD进口金额,电子出版物进口金额
2019,,,,,,,,,,,11126,10286,,,,840,,,,,205.9,55.3,,,,0.99,,,,,,,,,,,,,,,113804,108721,,,,5083,,,,,41116.31,95.06,,,,9.11,,,,
2018,,,,,,,,,,,12354,10795,,,,1559,,,,,212.2,34.39,,,,1.76,,,,,,,,,,,,,,,88444,82248,,,,6196,,,,,38019.93,87.75,,,,9.98,,,,
2017,,,,,,,,,,,19294,18123,,,18123.0,1171,,1171.0,,,163.34,30.49,,,30.49,0.78,,0.78,,,,,,,,,,,,,135551,130951,,130951.0,,4600,,4600.0,,,34584.46,119.85,,119.85,,10.1,,10.1,,
2016,,,,,,,,,,,13270,11975,,,11975.0,1295,,1295.0,,,156.43,34.67,,,34.67,1.11,,1.11,,120.65,,,,,,,,,,,108096,98261,,98261.0,,9835,,9835.0,,,25859.38,95.92,,95.92,,17.32,,17.32,,25746.14
2015,,,,,,,,,,,9409,5403,77.0,1057.0,4269.0,3722,11.0,3711.0,,284.0,136.76,7.53,0.05,0.64,6.84,2.36,0.02,2.34,,14.77,,,,,,,,,,,116213,108666,,108666.0,,7547,,7547.0,,,24207.67,99.54,,99.54,,9.19,,9.19,,
2014,,,,,,,,,,,20692,937,,937.0,,19755,,19755.0,,,156.463642,0.093578,,0.093578,,27.620064,,27.620064,,,,,,,,,,,,,134380,130769,,130769.0,,3611,,3611.0,,,21000.125476,99.32,,99.32,,5.22,,5.22,,
2013,,,,,,,,,,,34136.0041,800,,800.0,,33236.0041,,31425.0041,1811.0,100.0,122.429381,0.4,,0.4,,32.160781,,31.461781,0.699,0.16,,,,,,,,,,,285070,164671,,164671.0,,16780,,16780.0,,103619.0,20022.3363901986,128.93,,128.93,,13.26,,13.26,,73.858937
2012,,,,,,,,,,,261539,25766,233.0,25533.0,,214165,,207587.0,6578.0,21608.0,2191.50122994033,15.5916936947048,0.0689,15.5227936947048,,135.925436245625,,128.355436245625,7.57,98.8625,,,,,,,,,,,185646,123396,,123396.0,,62093,,62093.0,,157.0,16685.95,103.73,,103.73,,42.37,,42.37,,106.73
2011,8077.0,347.0,,347.0,,7730.0,,7104.0,626.0,,77091,1345,,1345.0,,75746,,69129.0,6617.0,,35.174368,0.24857,,0.24857,,34.925798,,34.250088,0.67571,,14553.0,11386.0,,11384.0,2.0,691.0,,691.0,,2476.0,396287,147281,,147279.0,2.0,75489,,75489.0,,173517.0,14134.780581,130.78763,,130.7799,0.00773,13.324,,13.324,,13990.668951
2010,10352.0,216.0,,188.0,28.0,9413.0,,2566.0,6847.0,723.0,1018687,3645,,3459.0,186.0,1014224,,998513.0,15711.0,818.0,47.158,4.262,,4.162,0.1,42.721,,21.657,21.064,0.175,25267.0,17868.0,2423.0,15445.0,,4200.0,,4200.0,,3199.0,629542,100639,3338.0,97301.0,,355992,,355992.0,,172911.0,11382.6970620455,111.55,1.0,110.55,,118.907652173913,,118.907652173913,,11152.2394098716
