年份,艺术表演团体机构数,艺术表演团体演出场次,艺术表演团体国内演出场次,艺术表演团体农村演出场次,艺术表演团体国内演出观众人次,艺术表演团体农村演出观众人次,艺术表演场馆机构数,艺术表演场馆演(映)出场次,艺术表演场馆艺术演出场次,艺术表演场馆观众人次,艺术表演场馆艺术演出观众人次
2019,17795,296.8,2956.2,171.3,1230200,768030,2716,1284.4,245.4,125610,67850
2018,17123,312.46,3108.5,178.8,1175690,778980,2478,1266.4,178.9,140930,58620
2017,15742,293.579,2921.5,184.309,1247390.62,829563.87,2455,1419.8,211.8,134538,32342.2
2016,12301,230.6,2290.33,151.597,1181376.7,620521.14,2285,1194.06,190.91,128836.08,30980.52
2015,10787,210.776,2092.73,139.079,957989.92,584536.88,2143,1064.63,136.83,107754.21,28536.29
2014,8769,173.912,1710.84,114.037,910196.77,558626.66,1338,780.66,69.54,68443.5,25982.67
2013,8180,165.105,1628.1,105.073,900642.51,529734.37,1344,829.28,66.02,77763.47,26624.45
2012,7321,135.018,1249.81,81.155,828050.92,521024.34,1279,1186.87,172.71,186044.08,61187.36
2011,7055,154.72,1465.93,100.671,745850.5,439235.22,1429,1040.69,139.02,109088.3,47566.5
2010,6864,137.149,1277.82,84.671,884558,563676,1461,811.2,147.23,132719,54709
2009,6139,120.11,1126.35,74.059,817159,515891,1499,606.26,149.49,123193,53692
2008,5114,90.525,851.93,47.222,631868,416580,1662,740.0,96.0,127443,44288
2007,4512,92.2,,50.29,,,1732,,,,
2006,2866,49.0,,29.0,,,1839,,,,
2005,2805,45.9,,26.9,,,1866,,,,
2004,2759,42.5,,23.48,,,1928,,,,
2003,2601,38.5,,21.5,,,1900,,,,
2002,2587,41.6,,23.9,,,1829,,,,
2001,2605,42.3,,24.3,,,1854,,,,
2000,2619,43.0,,26.0,,,1900,,,,
