年份,文化文物机构数,文化及相关产业机构数,艺术业机构数,公共图书馆业机构数,群众文化服务业机构数,艺术教育业机构数,文化市场经营机构数,文艺科研机构数,文物业机构数,其他文化及相关产业机构数,非文化及相关产业机构数,文化部门文化文物机构数,文化部门文化及相关产业机构数,文化部门艺术业机构数,文化部门公共图书馆业机构数,文化部门群众文化服务业机构数,文化部门艺术教育业机构数,文化部门文化市场经营机构机构数,文化部门文艺科研机构机构数,文化部门文物业机构数,文化部门其他文化及相关产业机构数,文化部门非文化及相关产业机构数,文化部门国有经济文化文物机构数,文化部门国有经济文化及相关产业机构数,文化部门国有经济艺术业机构数,文化部门国有经济公共图书馆业机构数,文化部门国有经济群众文化服务业机构数,文化部门国有经济艺术教育业机构数,文化部门国有经济文化市场经营机构机构数,文化部门国有经济文艺科研机构机构数,文化部门国有经济文物业机构数,文化部门国有经济其他文化及相关产业机构数,文化部门国有经济非文化及相关产业机构数,文化部门集体经济文化文物机构数,文化部门集体经济文化及相关产业机构数,文化部门集体经济艺术业机构数,文化部门集体经济公共图书馆业机构数,文化部门集体经济群众文化服务业机构数,文化部门集体经济艺术教育业机构数,文化部门集体经济文化市场经营机构机构数,文化部门集体经济文艺科研机构机构数,文化部门集体经济文物业机构数,文化部门集体经济其他文化及相关产业机构数,文化部门集体经济非文化及相关产业机构数,文化部门其他经济文化文物机构数,文化部门其他经济文化及相关产业机构数,文化部门其他经济艺术业机构数,文化部门其他经济公共图书馆业机构数,文化部门其他经济群众文化服务业机构数,文化部门其他经济艺术教育业机构数,文化部门其他经济文化市场经营机构机构数,文化部门其他经济文艺科研机构机构数,文化部门其他经济文物业机构数,文化部门其他经济其他文化及相关产业机构数,文化部门其他经济非文化及相关产业机构数,其他部门文化文物机构数,其他部门文化及相关产业机构数,其他部门艺术业机构数,其他部门公共图书馆业机构数,其他部门群众文化服务业机构数,其他部门艺术教育业机构数,其他部门文化市场经营机构机构数,其他部门文艺科研机构机构数,其他部门文物业机构数,其他部门其他文化及相关产业机构数,其他部门非文化及相关产业机构数
2019,287693,,,3196,44073,121,201351,,10562,,,66776,,,3193,,121,,,8750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220917,,,3,,,201351,,1812,,
2018,306252,,,3176,44464,122,220934,227.0,10160,,,66835,,,3173,,122,,227.0,8478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239417,,,3,,,220934,,1682,,
2017,326364,,,3166,44521,120,242652,228.0,9931,,,66744,,,3163,,120,,228.0,8334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259620,,,3,,,242652,,1597,,
2016,310641,,,3153,44497,125,231573,232.0,8954,,,66029,,,3150,,125,,232.0,7737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244612,,,3,,,231573,,1217,,
2015,299149,,,3139,44291,131,222262,226.0,8676,,,65712,,,3139,,131,,226.0,7675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233437,,,,,,222262,,1001,,
2014,287356,,10135.0,3117,44423,135,213547,225.0,8421,7353.0,,65562,,3329.0,3117,44423.0,135,,224.0,7515,6819.0,,64345.0,,2837.0,3117.0,44421.0,130.0,,221.0,7237.0,6382.0,,314.0,,201.0,,,2.0,,,69.0,42.0,,903.0,,291.0,,2.0,3.0,,3.0,209.0,395.0,,221794,,6806.0,,,,213547,1.0,906,534.0,
2013,292884,,9557.0,3112,44260,139,220665,225.0,7737,7189.0,,64686,,3353.0,3112,44260.0,139,,224.0,6884,6714.0,,63522.0,,2853.0,3112.0,44260.0,134.0,,221.0,6662.0,6280.0,,311.0,,201.0,,,2.0,,,64.0,44.0,,853.0,,299.0,,,3.0,,3.0,158.0,390.0,,228198,,6204.0,,,,220665,1.0,852,475.0,
2012,305927,,9893.0,3076,43876,141,234759,217.0,6124,7841.0,,63999,,3615.0,3076,43876.0,141,113.0,216.0,5630,7332.0,,63102.0,,3159.0,3076.0,43876.0,138.0,113.0,212.0,5457.0,7071.0,,332.0,,226.0,,,,,,66.0,40.0,,565.0,,230.0,,,3.0,,4.0,107.0,221.0,,241928,,6278.0,,,,234646,1.0,494,509.0,
2011,310091,309953.0,9227.0,2952,43675,149,240362,222.0,5728,7638.0,138.0,63739,63633.0,4061.0,2952,43675.0,149,50.0,222.0,5456,7068.0,106.0,62992.0,62904.0,3620.0,2952.0,43675.0,146.0,40.0,222.0,5314.0,6935.0,88.0,365.0,359.0,254.0,,,3.0,2.0,,66.0,34.0,6.0,382.0,370.0,187.0,,,,8.0,,76.0,99.0,12.0,246352,246320.0,5166.0,,,,240312,,272,570.0,32.0
2010,313540,313342.0,9272.0,2884,43382,151,244697,214.0,5207,7535.0,198.0,62909,62788.0,4354.0,2879,43382.0,151,106.0,214.0,4947,6755.0,121.0,62079.0,61980.0,3851.0,2879.0,43382.0,149.0,50.0,214.0,4868.0,6587.0,99.0,457.0,447.0,330.0,,,2.0,28.0,,54.0,33.0,10.0,373.0,361.0,173.0,,,,28.0,,25.0,135.0,12.0,250631,250554.0,4918.0,5,,,244591,,260,780.0,77.0
2009,,305630.0,8582.0,2850,41959,158,239571,210.0,4842,8179.0,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,365699.0,7366.0,2820,41156,169,305589,197.0,4437,3965.0,246.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,375599.0,375363.0,2799,40601,171,,,4277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,2778,40088,186,,,4092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,381512.0,,2762,41588,189,,,4030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,362363.0,5172.0,2720,41402,193,,,3965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,349055.0,5123.0,2709,41816,195,,,3903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,305603.0,4416.0,2697,42516,205,,,3867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,263417.0,5105.0,2696,43379,211,,,3739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,282784.0,5120.0,2675,45321,220,,,3618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
