年份,连锁餐饮企业营业额,内资连锁餐饮企业营业额,国有连锁餐饮企业营业额,集体连锁餐饮企业营业额,股份合作连锁餐饮企业营业额,有限责任公司连锁餐饮企业营业额,国有独资公司连锁餐饮企业营业额,其他有限责任公司连锁餐饮企业营业额,股份有限公司连锁餐饮企业营业额,私营连锁餐饮企业营业额,私营独资连锁餐饮企业营业额,私营合伙连锁餐饮企业营业额,私营有限责任公司连锁餐饮企业营业额,私营股份有限公司连锁餐饮企业营业额,其他连锁餐饮企业营业额,港、澳、台商投资连锁餐饮企业营业额,港、澳、台商合资经营连锁餐饮企业营业额,港、澳、台商合作经营连锁餐饮企业营业额,港、澳、台商独资经营连锁餐饮企业营业额,港、澳、台商投资股份有限公司连锁餐饮企业营业额,其他港澳台商投资连锁餐饮企业营业额,外商投资连锁餐饮企业营业额,中外合资经营连锁餐饮企业营业额,中外合作经营连锁餐饮企业营业额,外资连锁餐饮企业营业额,外商投资股份有限公司连锁餐饮企业营业额,其他外商投资连锁餐饮企业营业额,正餐服务业营业额,快餐服务业营业额,饮料及冷饮服务业营业额,其他餐饮企业服务业营业额
2019,2234.4957,681.4919,8.6649,0.9631,0.7459,261.2712,,261.2712,133.5673,275.6699,5.4986,0.9213,268.7211,0.5288,0.6096,598.0064,107.777,2.4237,484.4007,3.2294,0.1757,954.9974,191.7902,,690.8344,37.3235,35.0493,738.4495,1198.869,285.5217,11.6556
2018,1950.01,569.2523,8.1443,1.0338,0.7072,170.1227,0.2819,169.8408,141.895,247.3247,5.7213,,240.8887,0.7147,0.0246,519.7558,97.484,2.2508,416.5991,3.2661,0.1558,860.9983,177.2698,,616.3756,30.4724,36.8806,655.9992,1065.0675,211.8972,17.0427
2017,1735.4811,502.0503,7.16,1.1635,0.7551,169.3887,1.8665,167.5222,133.3162,190.2224,8.8608,,180.3686,0.993,0.0444,422.5222,89.4675,2.516,329.4242,1.1145,,810.9086,172.8836,,593.3163,24.2929,20.4157,540.2265,1008.6883,166.6681,19.8982
2016,2234.4957,547.6945,7.9939,1.1551,0.365,195.3422,2.2439,193.0983,169.6291,172.8855,7.973,,163.8036,1.1089,0.3237,300.5861,77.2203,2.2214,219.9048,1.2396,,786.8663,157.2197,3.5099,606.2788,0.0023,19.8556,545.4877,928.6617,138.0789,22.9187
2015,1526.6126,517.4459,6.4138,0.9772,0.3632,194.5174,3.4348,191.0826,156.0361,158.7951,6.7835,,143.3761,8.6355,0.3432,233.7185,43.4878,1.9985,188.0163,0.2159,,775.4482,173.722,3.5099,581.4448,0.2018,16.5698,518.4972,883.7237,106.499,17.8926
2014,1391.0206,407.3385,6.1902,1.154,0.3994,153.1078,1.8282,151.2796,76.0837,170.0786,12.9324,,145.9121,11.2341,0.3249,214.3343,43.5547,1.795,168.64,0.3445,,769.3478,169.1761,3.1876,583.8371,0.5117,12.6354,460.001,833.3317,78.5508,19.1372
2013,1319.621,405.1218,5.8836,1.3122,0.4628,145.6476,4.2715,141.3761,73.5954,177.789,12.501,,151.0406,14.2474,0.4312,166.5184,39.8113,2.6798,123.6801,0.3473,,747.9808,161.2643,3.0,582.9051,0.8114,,446.4873,801.5066,57.3606,14.2667
2012,1283.26465,408.32124,4.39925,1.97842,0.56075,130.40455,3.61789,126.78666,95.95949,174.86376,8.47675,0.05206,146.71898,19.61597,0.15502,153.62642,47.44786,2.93844,102.78909,0.45103,,721.31699,168.47847,4.28205,548.55647,,,452.09089,778.9581,38.53557,13.68009
2011,1120.39103,351.52756,2.19905,1.95969,2.3811,98.15684,3.45713,94.69971,83.76537,160.4852,5.52381,,132.0926,22.86879,2.58031,147.8277,48.39126,2.3,86.06729,11.06915,,621.03577,151.5686,4.12398,458.22209,7.1211,,408.6156,671.6246,26.28536,13.86547
2010,955.4184,346.6836,2.4677,2.8306,0.7307,80.2318,3.2679,76.9639,109.0841,144.5294,4.042,0.6402,119.3247,20.5225,6.8093,122.0349,40.8239,5.154,68.9363,7.1207,,486.7,104.9494,5.0148,369.6572,7.0785,,,,,
2009,879.3193,316.6776,1.7451,1.6646,6.6524,86.8643,,86.8643,93.4279,125.2817,3.8547,1.2379,105.6244,14.5648,1.0416,97.43,14.1886,4.9565,56.927,21.3579,,465.2117,93.63,14.2619,288.5538,68.766,,,,,
2008,806.90573,293.96474,1.35919,1.04773,1.7886,71.98757,,71.98757,80.24446,136.10583,14.07821,1.01277,114.71603,6.29882,1.43136,76.83216,10.891,3.3629,41.25135,21.32691,,436.10883,87.12434,11.33752,272.94947,64.6975,,390.55392,391.47676,6.16076,18.71429
2007,640.0,259.5908,3.9763,1.0275,3.5756,55.5817,3.4786,52.1031,17.9622,176.8429,30.5287,1.8854,140.6087,3.8201,0.6247,48.6258,27.4571,0.2995,20.8693,18.20375,,331.7863,87.939,47.3087,166.2263,30.3122,,313.01667,314.72267,4.19466,12.7966
2006,563.75,235.1078,3.6185,0.3665,1.4511,56.0005,3.258,52.7425,15.7827,157.4546,15.604,2.3757,136.3257,3.1491,0.434,37.912,21.3322,2.1776,14.4023,,,278.9153,79.9251,37.8543,103.6359,57.5,,,,,
2005,454.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,348.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
