年份,连锁餐饮企业商品购进总额,内资连锁餐饮企业商品购进总额,国有连锁餐饮企业商品购进总额,集体连锁餐饮企业商品购进总额,股份合作连锁餐饮企业商品购进总额,有限责任公司连锁餐饮企业商品购进总额,国有独资公司连锁餐饮企业商品购进总额,其他有限责任公司连锁餐饮企业商品购进总额,股份有限公司连锁餐饮企业商品购进总额,私营连锁餐饮企业商品购进总额,私营独资连锁餐饮企业商品购进总额,私营合伙连锁餐饮企业商品购进总额,私营有限责任公司连锁餐饮企业商品购进总额,私营股份有限公司连锁餐饮企业商品购进总额,其他连锁餐饮企业商品购进总额,港、澳、台商投资连锁餐饮企业商品购进总额,港、澳、台商合资经营连锁餐饮企业商品购进总额,港、澳、台商合作经营连锁餐饮企业商品购进总额,港、澳、台商独资经营连锁餐饮企业商品购进总额,港、澳、台商投资股份有限公司连锁餐饮企业商品购进总额,其他港澳台商投资连锁餐饮企业商品购进总额,外商投资连锁餐饮企业商品购进总额,中外合资经营连锁餐饮企业商品购进总额,中外合作经营连锁餐饮企业商品购进总额,外资连锁餐饮企业商品购进总额,外商投资股份有限公司连锁餐饮企业商品购进总额,其他外商投资连锁餐饮企业商品购进总额,正餐服务业商品购进总额,快餐服务业商品购进总额,饮料及冷饮服务业商品购进总额,其他餐饮企业服务业商品购进总额
2019,774.3299,235.7861,3.1416,0.4517,0.3675,81.0055,,81.0055,53.0292,97.5393,1.6005,0.3315,95.3768,0.2305,0.2514,184.2798,44.4139,1.3912,137.2209,1.189,0.0648,354.2641,48.7576,,279.1274,19.8067,6.5724,232.1238,453.9672,82.6723,5.5667
2018,674.01,201.7117,3.2385,0.4836,0.342,55.6843,0.085,55.5993,52.7811,89.1623,1.7708,,87.108,0.2836,0.02,162.8524,39.6109,1.2683,120.4689,1.4561,0.0483,309.4505,46.112,,241.4966,11.9706,9.8712,211.9757,400.3638,56.8746,4.8006
2017,613.2884,197.8946,2.9765,0.5733,0.3418,61.2078,0.6225,60.5853,48.4012,84.3693,3.2753,,80.6943,0.3998,0.0247,131.8604,32.9536,1.3499,97.4449,0.112,,283.5334,46.5425,,226.7558,8.8845,1.3506,194.0957,371.0296,41.6123,6.5507
2016,774.3299,230.8884,2.9348,0.6477,0.0829,77.6553,0.7032,76.9522,68.8348,80.5895,4.5799,,75.5233,0.4863,0.1434,93.9377,30.9332,1.0961,61.7748,0.1336,,287.6011,44.8794,3.5099,237.7396,,1.4722,212.4828,357.4819,34.3715,8.091
2015,576.9703,220.373,2.4655,0.5824,0.1009,75.8765,0.7276,75.1489,64.6687,76.5589,4.8529,,68.3392,3.3668,0.1201,71.6945,14.5024,0.9798,56.1492,0.0632,,284.9027,54.2722,3.5099,225.7708,0.0542,1.2956,206.3248,335.9494,28.2389,6.4573
2014,583.4421,185.6564,2.4657,0.6613,0.0994,57.7534,0.754,56.9994,39.7225,84.8445,8.7148,,70.4239,5.7058,0.1095,66.3138,15.228,0.8376,49.9037,0.3445,,331.4719,53.8605,3.1876,273.0064,0.2638,1.1538,216.9966,336.5368,23.0303,6.8786
2013,571.2373,179.3677,2.401,0.7746,0.1276,53.0066,1.4278,51.5788,38.6268,84.3353,7.5971,,69.1198,7.6184,0.0958,59.4136,14.2989,0.95,43.8174,0.3473,,332.4559,52.5691,3.0,276.4248,0.4621,,212.3268,336.0725,17.0321,5.8059
2012,561.35698,182.18754,1.93461,1.22486,0.15461,50.44059,1.44421,48.99638,47.63243,80.73236,5.68805,0.01561,66.98288,8.04582,0.06808,56.68525,17.2016,1.02009,38.01253,0.45103,,322.48419,61.17913,3.47611,257.82895,,,207.69205,335.53441,12.66893,5.46159
2011,518.92608,169.29242,0.94014,1.24255,0.96548,44.87712,1.37174,43.50538,40.50668,79.02782,4.77346,,60.85764,13.39672,1.73263,59.0056,23.3236,1.1313,31.66561,2.88509,,290.62806,53.63373,3.43841,224.24192,9.314,,205.76527,300.38088,7.12547,5.65446
2010,455.8321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,361.9986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,271.58548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,274.9087,,,,,,,,,,,,,,,,,,,,,,,,,,,143.1008,121.8686,3.009,6.9303
2006,201.2,,,,,,,,,,,,,,,,,,,,,,,,,,,145.2816,97.3875,4.0793,6.5377
2005,171.5,,,,,,,,,,,,,,,,,,,,,,,,,,,94.9589,73.5412,1.8907,1.1054
2004,124.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
