年份,连锁餐饮企业年末从业人数,内资连锁餐饮企业年末从业人数,国有连锁餐饮企业年末从业人数,集体连锁餐饮企业年末从业人数,股份合作连锁餐饮企业年末从业人数,有限责任公司连锁餐饮企业年末从业人数,国有独资公司连锁餐饮企业年末从业人数,其他有限责任公司连锁餐饮企业年末从业人数,股份有限公司连锁餐饮企业年末从业人数,私营连锁餐饮企业年末从业人数,私营独资连锁餐饮企业年末从业人数,私营合伙连锁餐饮企业年末从业人数,私营有限责任公司连锁餐饮企业年末从业人数,私营股份有限公司连锁餐饮企业年末从业人数,其他连锁餐饮企业年末从业人数,港、澳、台商投资连锁餐饮企业年末从业人数,港、澳、台商合资经营连锁餐饮企业年末从业人数,港、澳、台商合作经营连锁餐饮企业年末从业人数,港、澳、台商独资经营连锁餐饮企业年末从业人数,港、澳、台商投资股份有限公司连锁餐饮企业年末从业人数,其他港澳台商投资连锁餐饮企业年末从业人数,外商投资连锁餐饮企业年末从业人数,中外合资经营连锁餐饮企业年末从业人数,中外合作经营连锁餐饮企业年末从业人数,外资连锁餐饮企业年末从业人数,外商投资股份有限公司连锁餐饮企业年末从业人数,其他外商投资连锁餐饮企业年末从业人数,正餐服务业年末从业人数,快餐服务业年末从业人数,饮料及冷饮服务业年末从业人数,其他餐饮企业服务业年末从业人数
2019,93.5415,26.8357,0.2438,0.0475,0.0272,11.185,,11.185,4.9466,10.3467,0.2577,0.0042,10.0499,0.0349,0.0389,24.227,3.9944,0.0626,20.0538,0.1073,0.0089,42.4788,8.3426,,31.3299,0.8432,1.9631,32.4635,52.984,7.6839,0.4101
2018,89.3,27.5771,0.2829,0.048,0.0259,8.5549,0.0166,8.5383,5.5736,13.0869,0.2968,,12.745,0.0451,0.0049,22.5091,4.3336,0.0522,18.0,0.1148,0.0085,39.1908,8.5833,,27.7371,0.8673,2.0031,32.8709,49.631,6.3271,0.448
2017,78.0039,27.1543,0.2978,0.056,0.0267,8.7416,0.1299,8.6117,5.5776,12.4474,0.445,,11.933,0.0694,0.0072,18.3549,3.9786,0.0583,14.2643,0.0537,,32.4947,6.1684,,24.3459,0.9777,1.0027,27.7259,45.0969,4.5506,0.6305
2016,93.5415,29.9234,0.367,0.0703,0.0171,9.9382,0.1518,9.7864,7.2173,12.2856,0.3513,,11.8517,0.0826,0.0279,13.4844,3.2098,0.0538,10.1278,0.093,,32.1858,5.9409,0.09,25.2493,0.0001,0.9055,29.4028,41.4761,3.8254,0.8893
2015,71.3621,29.7853,0.2903,0.0653,0.0208,9.9478,0.2016,9.7462,7.2154,12.2097,0.3801,,11.2347,0.5949,0.036,11.2579,2.5202,0.0526,8.6822,0.0029,,30.3189,6.613,0.09,22.8969,0.0001,0.7189,29.523,37.9106,3.1331,0.7954
2014,77.9996,27.7567,0.2829,0.0677,0.0221,9.0261,0.171,8.8551,4.623,13.6913,0.5606,,12.3457,0.785,0.0436,10.7325,2.939,0.0512,7.7358,0.0065,,39.5104,7.5855,0.085,31.1565,0.0253,0.6581,30.116,44.6394,2.3886,0.8556
2013,80.3115,28.507,0.2765,0.068,0.0262,8.9731,0.2174,8.7557,4.8463,14.2744,0.541,,12.8169,0.9165,0.0425,7.9728,2.8422,0.0615,5.0642,0.0049,,43.8317,8.2197,0.086,35.4849,0.0411,,32.5887,45.0598,1.8241,0.8389
2012,80.5536,29.0318,0.229,0.076,,8.6453,0.2645,8.3808,5.0816,14.9409,0.5357,,13.2765,1.1219,,8.218,3.2064,0.0852,4.9184,,,43.3038,11.2485,0.153,31.9023,,,32.182,45.9727,1.5662,0.8327
2011,83.2945,28.593,0.1147,0.0824,0.1312,8.6561,0.2632,8.3929,5.3722,14.0128,0.3857,,12.5789,1.0482,0.2236,8.0913,3.4542,0.0546,4.1839,0.3986,,46.6102,11.2376,0.227,30.5856,4.56,,35.8094,45.5175,1.0623,0.9053
2010,70.6099,29.1,0.2,0.1,0.1,7.7,,7.6,7.5,13.1,0.4,0.1,11.7,0.9,0.6,6.5,2.8,0.3,3.2,0.2,,35.0,6.4,0.3,27.9,0.5,,,,,
2009,65.1837,28.7754,0.1041,0.1032,0.8045,9.8305,,9.8305,5.4012,12.3842,0.4032,0.1744,11.1719,0.6347,0.1477,5.5527,0.8299,0.2283,2.671,1.8235,,30.8556,5.9539,0.6734,19.4303,4.798,,,,,
2008,66.0744,28.9046,0.0164,0.0563,0.1901,9.0745,,9.0745,6.7912,12.5801,2.168,0.1098,9.7984,0.5039,0.196,5.3383,0.7883,0.1191,2.8605,1.5704,,31.8315,6.6474,0.6704,20.5148,3.9989,,34.8783,29.4798,0.3709,1.3454
2007,62.5531,28.6666,0.018,0.0718,0.1932,9.9297,0.1648,9.9297,6.5751,11.6712,2.1002,0.0618,9.3027,0.2065,0.2076,4.618,0.5579,0.1028,2.4497,1.5076,,25.4582,5.1286,0.6331,15.7924,3.9041,,34.8907,22.6631,0.329,0.86
2006,55.7,28.6021,0.2848,0.0874,0.4104,6.1134,0.1631,5.9503,1.1874,20.4202,4.7129,0.2539,14.4457,1.0077,0.0985,2.8318,1.5986,0.0209,1.2123,,,25.8545,5.3313,3.8934,10.6618,5.968,,33.371,21.8529,0.9483,1.1162
2005,50.1,24.8604,0.2608,,0.1795,5.2338,0.1324,5.1014,1.0537,18.0162,2.0101,0.3188,15.0893,0.598,0.0825,5.4236,1.3863,0.1801,3.8572,,,19.8589,5.5164,2.8289,6.5223,5.0,,27.7924,20.6498,1.0824,0.6183
2004,37.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
