年份,连锁餐饮企业总店数,内资连锁餐饮企业总店数,国有连锁餐饮企业总店数,集体连锁餐饮企业总店数,股份合作连锁餐饮企业总店数,有限责任公司连锁餐饮企业总店数,国有独资公司连锁餐饮企业总店数,其他有限责任公司连锁餐饮企业总店数,股份有限公司连锁餐饮企业总店数,私营连锁餐饮企业总店数,私营独资连锁餐饮企业总店数,私营合伙连锁餐饮企业总店数,私营有限责任公司连锁餐饮企业总店数,私营股份有限公司连锁餐饮企业总店数,其他连锁餐饮企业总店数,港、澳、台商投资连锁餐饮企业总店数,港、澳、台商合资经营连锁餐饮企业总店数,港、澳、台商合作经营连锁餐饮企业总店数,港、澳、台商独资经营连锁餐饮企业总店数,港、澳、台商投资股份有限公司连锁餐饮企业总店数,其他港澳台商投资连锁餐饮企业总店数,外商投资连锁餐饮企业总店数,中外合资经营连锁餐饮企业总店数,中外合作经营连锁餐饮企业总店数,外资连锁餐饮企业总店数,外商投资股份有限公司连锁餐饮企业总店数,其他外商投资连锁餐饮企业总店数,正餐服务业总店数,快餐服务业总店数,饮料及冷饮服务业总店数,其他餐饮企业服务业总店数
2019,495,320,4,1,3,107,,107,12,190,8,1,178,3,3,86,15,1,67,2,1,89,11,,73,1,4,254,187,38,16
2018,482,308,4,1,3,109,1.0,108,14,176,7,,165,4,1,86,14,1,68,2,1,88,11,,71,2,4,250,184,30,18
2017,463,300,5,1,3,102,2.0,100,15,172,10,,157,5,2,80,12,1,65,2,,83,13,,66,2,2,249,176,24,14
2016,495,298,6,2,3,98,2.0,96,12,174,11,,158,5,3,66,14,1,49,2,,95,13,1.0,78,1,2,251,169,21,18
2015,455,302,5,2,3,102,2.0,100,13,174,12,,156,6,3,59,11,1,46,1,,94,13,1.0,77,1,2,253,166,20,16
2014,465,306,6,2,3,95,1.0,94,12,185,16,,163,6,3,61,11,1,48,1,,98,17,1.0,77,1,2,267,162,19,17
2013,454,301,8,2,3,89,1.0,88,12,184,19,,158,7,3,58,10,2,45,1,,95,14,1.0,79,1,,257,165,17,15
2012,456,310,7,2,4,91,1.0,90,13,191,20,1,162,8,2,59,12,2,44,1,,87,11,2.0,74,,,271,155,15,15
2011,428,295,3,3,5,89,1.0,88,11,174,17,,149,8,10,50,12,3,34,1,,83,13,2.0,67,1,,254,144,11,19
2010,415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,453,312,3,3,6,81,,81,12,205,23,5,171,6,2,45,7,3,34,1,,96,16,8.0,69,3,,,,,
2007,358,257,5,4,11,59,2.0,57,7,170,25,4,131,10,1,22,7,1,14,,,79,15,11.0,52,1,,,,,
2006,349,253,4,1,8,57,1.0,56,8,174,24,4,138,8,1,26,10,5,11,,,70,14,12.0,43,1,,,,,
2005,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
