年份,连锁餐饮企业餐饮营业面积,内资连锁餐饮企业餐饮营业面积,国有连锁餐饮企业餐饮营业面积,集体连锁餐饮企业餐饮营业面积,股份合作连锁餐饮企业餐饮营业面积,有限责任公司连锁餐饮企业餐饮营业面积,国有独资公司连锁餐饮企业餐饮营业面积,其他有限责任公司连锁餐饮企业餐饮营业面积,股份有限公司连锁餐饮企业餐饮营业面积,私营连锁餐饮企业餐饮营业面积,私营独资连锁餐饮企业餐饮营业面积,私营合伙连锁餐饮企业餐饮营业面积,私营有限责任公司连锁餐饮企业餐饮营业面积,私营股份有限公司连锁餐饮企业餐饮营业面积,其他连锁餐饮企业餐饮营业面积,港、澳、台商投资连锁餐饮企业餐饮营业面积,港、澳、台商合资经营连锁餐饮企业餐饮营业面积,港、澳、台商合作经营连锁餐饮企业餐饮营业面积,港、澳、台商独资经营连锁餐饮企业餐饮营业面积,港、澳、台商投资股份有限公司连锁餐饮企业餐饮营业面积,其他港澳台商投资连锁餐饮企业餐饮营业面积,外商投资连锁餐饮企业餐饮营业面积,中外合资经营连锁餐饮企业餐饮营业面积,中外合作经营连锁餐饮企业餐饮营业面积,外资连锁餐饮企业餐饮营业面积,外商投资股份有限公司连锁餐饮企业餐饮营业面积,其他外商投资连锁餐饮企业餐饮营业面积,正餐服务业餐饮营业面积,快餐服务业餐饮营业面积,饮料及冷饮服务业餐饮营业面积,其他餐饮服务业餐饮营业面积
2019,1151.4754,419.032,2.9211,1.2,0.827,139.3379,,139.3379,102.8789,171.5573,4.8507,0.472,164.806,1.4286,0.3098,275.2914,36.6889,2,232.8887,3.5868,0.127,457.152,79.0436,,327.0326,11.5659,39.5099,484.0722,551.0335,112.4447,3.925
2018,1075.0,427.9601,3.4319,1.13,0.839,126.2998,0.2,126.0998,100.9964,195.163,4.8197,,188.3652,1.9781,0.1,224.1005,32.3019,1.5,186.0625,4.1161,0.12,422.9451,72.4432,,302.126,9.8816,38.4943,492.9885,500.0786,77.9769,3.9617
2017,1075.4046,456.6188,3.3789,1.2,0.839,165.25,1.4707,163.7793,102.469,183.1519,6.3791,,174.4107,2.3621,0.33,183.6028,35.7094,1.7,145.2709,0.9225,,435.183,71.3806,,326.0086,8.4389,29.3549,499.0978,510.5289,60.3865,5.3914
2016,1151.4754,497.2631,4.095,1.2589,0.603,173.1801,1.9279,171.2522,121.8035,195.924,7.3037,,185.3928,3.2275,0.3986,135.3507,36.2799,1.7,96.3224,1.0484,,404.2899,54.7307,2.0,320.1441,,27.4151,530.3794,445.8859,52.1185,8.5199
2015,970.8905,503.1102,2.7233,1.2589,0.535,184.7022,2.5298,182.1724,110.7265,202.7657,7.7847,,170.7097,24.2713,0.3986,96.5626,23.1067,1.7,71.5999,0.156,,371.2177,62.4004,2.0,283.8943,,22.923,515.6089,406.8027,40.711,7.7679
2014,1020.0021,499.9933,2.6906,1.2589,0.645,181.109,1.6886,179.4204,84.7332,229.121,9.3259,,184.3907,35.4044,0.4356,98.1833,25.0771,1.7,71.1242,0.282,,421.8255,77.2437,2.0,325.1416,0.2445,17.1957,587.4509,397.8351,25.8882,8.8279
2013,937.0674,487.7933,2.7646,1.2669,0.645,177.1265,2.392,174.7345,87.0846,218.4701,8.1844,,176.852,33.4337,0.4356,76.4931,22.3935,1.7085,52.1091,0.282,,372.781,73.3103,1.561,297.3697,0.54,,540.0921,369.9622,19.567,7.4461
2012,869.2256,474.6405,1.9999,1.8669,0.6756,187.5148,2.4732,185.0416,87.0259,195.1674,8.4101,0.1,149.509,37.1483,0.39,74.5194,25.4376,1.726,47.0738,0.282,,320.0657,69.5039,2.244,248.3178,,,522.9988,324.6346,14.6393,6.9529
2011,821.3689,426.5391,1.1837,1.9089,3.1699,124.9207,2.6192,122.3015,81.0236,210.3731,8.2253,,168.2914,33.8564,3.9592,77.8832,24.9933,1.1604,40.6089,11.1206,,316.9466,64.9176,2.1758,216.6532,33.2,,510.592,289.6692,14.0123,7.0954
2010,742.6457,403.2,1.8,4.9,1.1,118.1,2.8,115.3,93.6,177.3,9.2,0.5,137.4,30.1,6.4,60.8,20.3,2.5,34.5,3.5,,278.6,60.0,4.3,207.5,6.9,,,,,
