年份,连锁餐饮企业门店总数,内资连锁餐饮企业门店总数,国有连锁餐饮企业门店总数,集体连锁餐饮企业门店总数,股份合作连锁餐饮企业门店总数,有限责任公司连锁餐饮企业门店总数,国有独资公司连锁餐饮企业门店总数,其他有限责任公司连锁餐饮企业门店总数,股份有限公司连锁餐饮企业门店总数,私营连锁餐饮企业门店总数,私营独资连锁餐饮企业门店总数,私营合伙连锁餐饮企业门店总数,私营有限责任公司连锁餐饮企业门店总数,私营股份有限公司连锁餐饮企业门店总数,其他连锁餐饮企业门店总数,港、澳、台商投资连锁餐饮企业门店总数,港、澳、台商合资经营连锁餐饮企业门店总数,港、澳、台商合作经营连锁餐饮企业门店总数,港、澳、台商独资经营连锁餐饮企业门店总数,港、澳、台商投资股份有限公司连锁餐饮企业门店总数,其他港澳台商投资连锁餐饮企业门店总数,外商投资连锁餐饮企业门店总数,中外合资经营连锁餐饮企业门店总数,中外合作经营连锁餐饮企业门店总数,外资连锁餐饮企业门店总数,外商投资股份有限公司连锁餐饮企业门店总数,其他外商投资连锁餐饮企业门店总数,正餐服务业门店总数,快餐服务业门店总数,饮料及冷饮服务业门店总数,其他餐饮企业服务业门店总数
2019,34356,10385,132,2,8,5052,,5052,947,4235,94,16,4113,12,9,9586,1246,5,8299,30,6,14385,2286,,11407,103,589,7918,18725,7190,523
2018,31001,9455,130,2,9,3746,3.0,3743,1263,4298,95,,4186,17,7,8402,1155,4,7210,29,4,13144,2044,,10434,81,585,7656,17172,5653,520
2017,27478,8637,127,3,9,3728,33.0,3695,1121,3640,141,,3470,29,9,6565,1030,4,5507,24,,12276,2119,,9682,79,396,6826,16139,3926,587
2016,34356,8339,139,11,9,3499,47.0,3452,1027,3643,83,,3523,37,11,5005,1008,4,3966,27,,12290,1995,47.0,9869,1,378,6589,15009,3358,678
2015,23721,8037,89,11,8,3429,63.0,3366,1057,3432,91,,3159,182,11,3992,609,4,3378,1,,11692,2079,47.0,9224,1,341,6570,13911,2628,612
2014,22494,7491,89,11,9,2804,38.0,2766,915,3651,117,,3340,194,12,3533,646,4,2881,2,,11470,2390,47.0,8764,18,251,6959,12854,2093,588
2013,20554,7443,84,12,9,2656,54.0,2602,855,3815,119,,3490,206,12,2803,597,6,2198,2,,10308,2011,37.0,8228,32,,6704,11886,1468,496
2012,18153,7248,47,13,11,2529,30.0,2499,841,3797,113,2,3464,218,10,2356,619,9,1726,2,,8549,1754,54.0,6741,,,6275,10412,976,490
2011,16285,6684,21,16,19,2107,34.0,2073,744,3670,103,,3382,185,107,2094,611,9,1413,61,,7507,1571,52.0,5402,482,,6237,8893,809,346
2010,15333,6447,26,20,35,1898,35.0,1863,1011,3323,109,69,2965,180,134,2037,484,52,1154,347,,6849,1303,72.0,5326,148,,,,,
2009,13739,6061,18,29,80,1791,,1791,801,3319,131,102,2939,147,23,1635,232,48,1103,252,,6043,1195,175.0,4122,551,,,,,
2008,12561,5789,16,18,23,1791,,1791,782,3140,442,83,2503,112,19,1176,193,23,728,232,,5596,1128,155.0,3877,436,,5971,5545,471,574
2007,12743,5336,16,18,24,1761,598.0,1761,761,2741,431,23,2244,43,15,1002,179,22,597,204,,4635,939,136.0,3163,397,,5513,4704,376,380
2006,11360,6882,30,17,48,1954,581.0,1373,174,4648,886,52,3490,220,11,567,286,6,275,,,4432,819,581.0,2311,721,,5040,4965,375,1501
2005,9748,5927,26,5,37,1731,549.0,1182,168,3950,442,50,3299,159,10,480,237,21,222,,,3341,822,493.0,1311,715,,4244,4213,337,954
2004,7578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
