年份,日本外观设计专利申请受理数,马来西亚外观设计专利申请受理数,新加坡外观设计专利申请受理数,泰国外观设计专利申请受理数,韩国外观设计专利申请受理数,塞普路斯外观设计专利申请受理数,印度外观设计专利申请受理数,摩纳哥外观设计专利申请受理数,南非外观设计专利申请受理数,德国外观设计专利申请受理数,荷兰外观设计专利申请受理数,英国外观设计专利申请受理数,瑞士外观设计专利申请受理数,丹麦外观设计专利申请受理数,匈牙利外观设计专利申请受理数,奥地利外观设计专利申请受理数,比利时外观设计专利申请受理数,法国外观设计专利申请受理数,挪威外观设计专利申请受理数,俄罗斯联邦外观设计专利申请受理数,卢森堡外观设计专利申请受理数,列支敦士登外观设计专利申请受理数,西班牙外观设计专利申请受理数,捷克外观设计专利申请受理数,波兰外观设计专利申请受理数,爱尔兰外观设计专利申请受理数,芬兰外观设计专利申请受理数,意大利外观设计专利申请受理数,瑞典外观设计专利申请受理数,以色列外观设计专利申请受理数,巴西外观设计专利申请受理数,美国外观设计专利申请受理数,加拿大外观设计专利申请受理数,新西兰外观设计专利申请受理数,澳大利亚外观设计专利申请受理数
2019,3949,30,125,58,3089,14,35,2,10,1811,359,569,858,194,4,47,97,989,32,105,136,33,153,66,28,33,92,822,310,102,48,4433,150,55,318
2018,4203,43,169,71,2481,17,64,4,15,1810,317,724,872,194,5,72,107,920,35,29,80,30,143,74,16,25,116,713,310,114,40,4557,160,103,321
2017,3756,22,148,36,2592,9,36,,22,1639,337,708,815,97,12,59,93,651,22,44,72,39,196,112,21,25,128,558,367,70,6,4066,118,53,226
2016,3810,32,67,20,2982,10,38,1,9,1726,304,610,785,169,,56,67,843,21,38,85,37,120,67,23,15,83,675,484,88,26,3771,124,65,217
2015,3827,29,68,16,2818,2,36,1,14,1623,252,696,840,135,2,62,78,663,26,25,63,37,139,101,6,9,116,549,210,44,30,3952,82,41,183
2014,4078,58,79,5,2120,1,26,,14,1528,336,529,708,138,,83,56,635,33,38,70,19,134,44,21,22,99,552,262,66,88,3329,113,47,184
2013,4296,42,122,12,1797,7,15,1,19,1486,276,461,531,174,2,85,37,737,27,45,81,24,137,37,3,15,100,604,267,109,35,2771,164,35,187
2012,4805,51,90,11,1567,8,15,,18,1372,345,333,506,136,2,62,87,567,28,21,44,25,125,113,19,4,115,686,254,87,48,2785,187,34,249
2011,4532,44,126,9,1521,9,22,1,6,1286,444,318,472,140,8,84,55,454,37,33,42,44,124,44,34,15,71,524,159,63,59,2490,131,13,201
2010,3811,38,63,14,1362,21,15,,5,1214,292,285,357,114,,59,46,437,26,15,24,28,137,25,19,11,94,400,184,50,40,2364,160,24,183
2009,3760,60,69,24,1072,1,23,,4,1251,251,264,391,145,1,45,26,548,16,16,17,42,140,41,10,5,139,391,158,34,44,2110,159,18,166
2008,4782,70,72,10,1187,,12,9,7,1334,344,394,479,125,,55,23,653,29,12,11,122,133,60,17,23,215,541,289,21,41,2527,108,35,229
2007,4966,43,70,,1015,,29,,3,1213,268,341,420,113,,73,35,677,29,4,13,44,214,96,,20,89,593,180,48,6,2655,110,23,174
2006,4569,24,90,24,1277,0,11,1,4,1096,206,306,430,120,2,39,49,632,21,9,10,37,124,47,0,29,88,517,169,30,8,2561,41,15,179
2005,4679,15,65,10,1026,,19,1,2,1008,245,262,321,82,2,21,40,481,25,1,5,32,180,60,4,13,96,559,79,13,15,2035,37,7,141
2004,4299,33,40,23,674,1,50,1,3,711,164,252,277,81,,15,25,359,11,1,1,35,74,7,3,19,94,300,91,13,13,1337,41,3,128
2003,3522,7,55,39,548,,33,,4,489,99,246,171,51,,9,16,244,7,2,,25,56,2,,18,88,191,57,11,11,1229,31,4,56
2002,2459,18,25,26,540,,12,,3,344,114,156,184,27,,21,12,201,7,2,1,35,23,,5,1,84,135,43,12,12,973,15,4,62
2001,1873,17,21,24,315,,11,4,1,192,114,88,135,45,,43,10,178,4,1,,5,24,,,,59,107,53,17,16,716,11,2,55
2000,1501,5,23,16,219,0,5,1,2,200,93,91,113,33,4,31,8,191,7,0,10,0,24,0,0,1,20,48,60,9,7,787,12,7,26
