年份,日本外观设计专利申请授权数,马来西亚外观设计专利申请授权数,新加坡外观设计专利申请授权数,泰国外观设计专利申请授权数,韩国外观设计专利申请授权数,塞普路斯外观设计专利申请授权数,印度外观设计专利申请授权数,摩纳哥外观设计专利申请授权数,南非外观设计专利申请授权数,德国外观设计专利申请授权数,荷兰外观设计专利申请授权数,英国外观设计专利申请授权数,瑞士外观设计专利申请授权数,丹麦外观设计专利申请授权数,匈牙利外观设计专利申请授权数,奥地利外观设计专利申请授权数,比利时外观设计专利申请授权数,法国外观设计专利申请授权数,挪威外观设计专利申请授权数,俄罗斯联邦外观设计专利申请授权数,卢森堡外观设计专利申请授权数,列支敦士登外观设计专利申请授权数,西班牙外观设计专利申请授权数,捷克外观设计专利申请授权数,波兰外观设计专利申请授权数,爱尔兰外观设计专利申请授权数,芬兰外观设计专利申请授权数,意大利外观设计专利申请授权数,瑞典外观设计专利申请授权数,以色列外观设计专利申请授权数,巴西外观设计专利申请授权数,美国外观设计专利申请授权数,加拿大外观设计专利申请授权数,新西兰外观设计专利申请授权数,澳大利亚外观设计专利申请授权数
2019,3558,28,149,59,2354,17,41,4,9,1553,282,480,729,161,6,45,102,839,29,97,62,28,119,54,18,19,92,660,287,81,58,4048,132,89,294
2018,4024,31,178,36,2386,12,57,,15,1692,355,821,887,138,11,81,103,767,27,45,85,38,177,84,22,27,117,608,357,91,19,4155,135,73,260
2017,3536,22,50,39,2626,8,16,1,17,1559,283,562,698,134,1,47,69,607,27,30,63,32,136,91,19,13,91,599,440,62,12,3616,114,54,192
2016,3552,30,68,17,2682,9,32,,10,1388,267,573,893,117,1,58,45,808,17,31,80,37,104,63,15,11,89,527,252,61,27,3461,77,42,153
2015,4218,60,85,7,2689,1,34,1,13,1739,288,675,659,147,1,70,90,664,32,32,71,35,148,98,7,13,116,539,233,55,60,3841,97,45,237
2014,4034,39,90,10,1905,5,15,,12,1377,313,461,625,143,,87,35,615,28,35,61,20,155,50,14,24,87,583,271,86,73,2801,144,37,148
2013,4165,25,108,13,1493,4,16,1,26,1454,264,351,420,178,3,66,74,631,19,30,46,23,95,48,7,6,94,576,241,62,34,2586,100,39,172
2012,4748,46,114,10,1445,15,15,1,11,1251,313,,508,115,5,59,61,513,23,39,54,26,125,83,37,4,120,607,221,84,51,2364,175,17,268
2011,4470,46,88,5,1506,21,23,,3,1375,377,341,467,119,2,84,58,462,35,12,24,45,141,39,29,19,93,496,184,60,35,2559,155,14,168
2010,5189,78,93,30,1748,1,24,,6,1648,429,400,540,201,1,56,39,704,31,23,19,45,182,51,11,16,193,549,262,41,51,3156,216,34,265
2009,5533,66,73,15,1381,,19,9,7,1458,375,412,465,132,,66,27,771,24,12,23,138,105,70,13,17,169,508,272,25,35,2503,117,27,230
2008,3969,35,52,9,811,,23,,2,999,205,253,353,98,7,56,28,424,30,6,8,31,159,,9,18,84,460,124,41,6,2104,70,25,150
2007,4375,26,71,,1101,,10,,6,1027,216,285,407,123,,45,50,657,17,5,12,46,146,95,,27,92,501,170,32,10,2350,55,10,154
2006,3945,19,63,6,992,0,10,,1,834,191,241,308,84,2,16,40,459,20,1,2,18,154,57,0,13,68,465,58,8,10,1551,21,6,129
2005,3958,13,47,15,637,1,29,1,1,783,149,231,226,66,,22,17,340,7,,1,40,91,9,1,17,92,288,83,8,13,1145,33,1,111
2004,3614,10,35,45,541,,48,,2,412,117,184,188,35,,9,16,256,10,2,1,19,34,1,,15,86,177,64,17,7,1089,12,6,56
2003,3100,12,46,15,563,,17,,5,348,112,217,144,37,,4,8,142,2,2,,26,39,,5,4,92,145,39,10,14,925,31,1,53
2002,1868,21,13,23,403,,17,1,1,261,94,104,143,32,0,37,12,119,9,,,24,28,,,,46,101,43,11,16,741,8,4,55
2001,1661,7,18,14,259,,7,3,1,165,86,80,117,31,,46,6,230,4,,2,2,17,,,1,40,65,57,13,10,700,11,7,37
2000,1310,8,16,15,170,0,6,,2,162,127,95,122,26,4,11,9,150,3,3,11,11,21,,,0,47,64,58,4,3,723,24,10,12
