年份,日本实用新型专利申请受理数,马来西亚实用新型专利申请受理数,新加坡实用新型专利申请受理数,泰国实用新型专利申请受理数,韩国实用新型专利申请受理数,塞普路斯实用新型专利申请受理数,印度实用新型专利申请受理数,摩纳哥实用新型专利申请受理数,南非实用新型专利申请受理数,德国实用新型专利申请受理数,荷兰实用新型专利申请受理数,英国实用新型专利申请受理数,瑞士实用新型专利申请受理数,丹麦实用新型专利申请受理数,匈牙利实用新型专利申请受理数,奥地利实用新型专利申请受理数,比利时实用新型专利申请受理数,法国实用新型专利申请受理数,挪威实用新型专利申请受理数,俄罗斯联邦实用新型专利申请受理数,卢森堡实用新型专利申请受理数,列支敦士登实用新型专利申请受理数,西班牙实用新型专利申请受理数,捷克实用新型专利申请受理数,波兰实用新型专利申请受理数,爱尔兰实用新型专利申请受理数,芬兰实用新型专利申请受理数,意大利实用新型专利申请受理数,瑞典实用新型专利申请受理数,以色列实用新型专利申请受理数,巴西实用新型专利申请受理数,美国实用新型专利申请受理数,加拿大实用新型专利申请受理数,新西兰实用新型专利申请受理数,澳大利亚实用新型专利申请受理数
2019,2512,26,558,11,892,,16,,4,817,164,149,118,32,6,34,43,415,7,20,11,5,36,8,7,10,45,167,87,52,9,1674,66,18,83
2018,2345,12,736,14,927,1.0,11,,3,871,113,134,178,28,,35,41,356,10,37,15,,31,8,8,18,57,122,57,43,16,1833,80,1,75
2017,2070,20,520,19,809,5.0,17,,3,879,104,117,156,25,1,37,27,313,5,23,10,3,27,14,7,10,79,155,53,38,15,1876,84,13,57
2016,2134,22,267,4,814,6.0,8,,4,757,92,131,212,24,3,52,38,301,8,26,11,2,28,11,2,4,58,145,58,31,23,2070,48,24,86
2015,2701,14,93,5,672,4.0,9,2.0,5,771,111,115,166,32,3,26,29,289,7,24,19,3,34,11,2,6,68,137,53,33,6,2110,46,10,70
2014,3009,20,43,4,346,1.0,14,,1,901,64,95,230,40,,35,19,250,15,43,14,1,23,6,5,12,69,65,55,42,9,1705,61,19,71
2013,3048,14,46,7,253,4.0,8,,4,727,66,145,183,47,1,55,19,246,4,36,7,2,18,4,1,5,83,70,57,30,15,1658,36,6,48
2012,2595,9,64,3,241,1.0,1,,1,521,61,66,115,16,1,33,11,246,,23,3,,13,15,3,1,71,46,71,67,4,1261,54,4,51
2011,1465,10,43,2,210,,4,,1,388,30,81,156,16,7,15,22,148,4,17,17,1,13,4,1,6,41,46,74,39,14,1076,27,3,45
2010,548,16,16,2,242,,6,,3,216,39,65,66,9,,16,2,51,,21,11,,16,3,1,6,32,43,32,11,9,892,37,8,31
2009,328,16,21,2,134,1.0,1,,2,179,32,23,70,10,,11,4,65,3,15,17,1,20,1,,3,8,34,33,2,4,720,23,2,29
2008,362,16,27,3,111,,1,,4,125,19,44,14,9,,13,3,31,,10,13,,15,5,,2,7,26,13,3,7,602,12,5,26
2007,352,12,22,,119,,,,2,109,11,43,14,4,,3,2,29,1,8,11,,5,13,,,3,31,19,1,2,366,26,5,25
2006,478,2,21,7,132,0.0,0,,5,78,12,29,8,0,0,7,3,28,0,4,0,0,7,4,2,5,2,19,5,1,0,397,24,0,12
2005,566,7,14,5,143,,,,1,83,8,20,9,17,,3,,65,1,3,,,14,5,,3,3,27,7,4,6,360,22,,20
2004,603,5,5,5,128,,,,,24,7,22,12,15,,2,1,8,,10,,,6,,2,6,3,15,2,,,288,11,1,10
2003,627,4,4,9,139,1.0,3,,,40,7,28,10,13,,3,,2,,1,,1,4,,,7,,11,1,,1,310,14,,
2002,305,1,4,5,156,,2,,,19,,21,5,4,,1,1,142,1,,,,9,,,,,12,2,,,218,4,,18
2001,69,2,2,8,111,2.0,1,,,15,,9,9,,,1,,,,,,,5,,,,1,14,9,1,,139,15,1,7
2000,87,2,4,3,63,0.0,0,,0,9,0,14,1,1,0,0,0,1,0,1,10,0,5,0,0,1,1,2,0,1,1,128,7,0,2
