年份,日本实用新型专利申请授权数,马来西亚实用新型专利申请授权数,新加坡实用新型专利申请授权数,泰国实用新型专利申请授权数,韩国实用新型专利申请授权数,塞普路斯实用新型专利申请授权数,印度实用新型专利申请授权数,摩纳哥实用新型专利申请授权数,南非实用新型专利申请授权数,德国实用新型专利申请授权数,荷兰实用新型专利申请授权数,英国实用新型专利申请授权数,瑞士实用新型专利申请授权数,丹麦实用新型专利申请授权数,匈牙利实用新型专利申请授权数,奥地利实用新型专利申请授权数,比利时实用新型专利申请授权数,法国实用新型专利申请授权数,挪威实用新型专利申请授权数,俄罗斯联邦实用新型专利申请授权数,卢森堡实用新型专利申请授权数,列支敦士登实用新型专利申请授权数,西班牙实用新型专利申请授权数,捷克实用新型专利申请授权数,波兰实用新型专利申请授权数,爱尔兰实用新型专利申请授权数,芬兰实用新型专利申请授权数,意大利实用新型专利申请授权数,瑞典实用新型专利申请授权数,以色列实用新型专利申请授权数,巴西实用新型专利申请授权数,美国实用新型专利申请授权数,加拿大实用新型专利申请授权数,新西兰实用新型专利申请授权数,澳大利亚实用新型专利申请授权数
2019,2280,14,645,11,844,1,14,,2,860,129,138,159,18,1,38,37,392,10,30,7,,20,9,10,11,45,146,56,44,14,1717,63,4,69
2018,2138,12,522,14,806,4,9,,5,737,87,87,137,22,2,29,22,298,1,20,12,1.0,22,12,6,15,68,131,54,32,15,1688,72,10,48
2017,1598,15,330,6,624,2,12,,3,606,71,99,166,18,,41,25,196,6,19,9,2.0,21,9,1,3,47,121,44,18,17,1487,49,11,64
2016,2052,15,117,3,580,5,6,1.0,,604,81,83,194,33,3,28,27,247,6,17,13,5.0,21,4,3,4,55,141,45,28,8,1719,33,14,50
2015,2799,14,61,3,470,3,9,1.0,5,920,86,102,185,38,2,26,23,274,4,32,20,1.0,32,12,1,7,59,74,49,33,8,1844,46,13,71
2014,3420,17,42,9,280,4,14,,3,813,72,105,245,43,,54,22,263,15,39,9,,20,6,5,9,77,76,68,31,15,1838,40,10,58
2013,3056,8,58,3,267,1,3,,2,580,61,122,128,20,1,44,10,242,1,26,1,,14,15,4,4,90,57,66,47,11,1406,51,7,46
2012,1808,16,52,,176,,3,,1,393,36,,133,10,4,14,15,200,3,15,17,1.0,11,4,,3,36,37,71,64,8,1020,32,2,49
2011,780,7,22,3,243,,5,,1,281,34,73,103,15,3,19,9,60,2,25,5,,16,5,1,5,41,53,46,17,8,929,32,4,33
2010,437,19,22,3,201,1,2,,3,194,36,30,75,8,1,13,4,60,1,20,13,,13,1,,3,20,35,22,2,6,797,21,6,25
2009,374,13,27,3,93,,2,,5,146,20,29,19,11,1,13,2,33,,23,17,,19,2,,1,9,26,22,2,8,612,21,3,25
2008,402,16,30,6,119,,,,,132,8,49,16,4,,5,3,37,,14,10,1.0,8,,2,1,3,31,18,1,2,430,23,5,29
2007,574,3,10,,145,,,,6,124,11,34,12,4,,9,2,33,,9,,,7,5,,6,3,24,10,2,4,468,27,,13
2006,582,6,9,4,130,0,0,,1,41,9,21,7,21,1,3,1,28,1,6,0,0.0,16,3,0,2,3,24,3,2,2,318,22,0,21
2005,577,4,5,2,127,1,,,,32,5,16,10,23,,3,1,6,,10,,,5,,2,7,2,15,2,,1,290,12,,5
2004,252,2,3,6,76,,3,,,19,2,13,4,1,,,,,,,,1.0,1,,,1,,3,,,,197,5,,
2003,205,2,3,3,113,2,,,,14,,19,7,3,,2,1,,1,,,1.0,3,7,,,,12,2,1,,177,3,,5
2002,78,1,2,9,100,,2,7.0,,12,,16,7,,,,,,,,1,,4,,,,1,12,8,,,104,9,1,3
2001,64,1,4,3,57,,,,,10,,9,1,1,,,,1,,1,9,,3,,,,4,2,,1,1,131,11,,4
2000,78,2,3,0,48,0,1,,0,2,1,16,11,1,0,0,0,2,0,1,0,0.0,3,,,1,0,3,0,2,0,134,8,0,5
