年份,全国人民代表大会代表人数,全国人民代表大会女代表人数,全国人民代表大会少数民族代表人数
2019,,,
2018,2980.0,742.0,438.0
2017,,,
2016,,,
2015,,,
2014,,,
2013,2987.0,699.0,409.0
2012,,,
2011,,,
2010,,,
2009,,,
2008,2987.0,637.0,411.0
2007,,,
2006,,,
2005,,,
2004,,,
2003,2984.0,604.0,415.0
2002,,,
2001,,,
2000,,,
