年份,公安机关立案的刑事案件合计,公安机关立案的杀人刑事案件,公安机关立案的伤害刑事案件,公安机关立案的抢劫刑事案件,公安机关立案的强奸刑事案件,公安机关立案的拐卖妇女儿童刑事案件,公安机关立案的盗窃刑事案件,公安机关立案的诈骗刑事案件,公安机关立案的走私刑事案件,"公安机关立案的伪造、变造货币,出售、购买、运输、持有、使用假币刑事案件",公安机关立案的其他刑事案件
2019,4862443,7379,85226,17106,33827,4571,2258236,1433831,4866,994,1016407
2018,5069242,7525,97391,25413,29807,5397,2786804,1156351,3856,1216,955482
2017,5482570,7990,111124,39230,27664,6668,3459742,927583,3277,1467,897825
2016,6427533,8634,123818,61428,27767,7121,4304321,979956,2407,1163,910918
2015,7174037,9200,132242,86747,29948,9150,4875561,1049841,2199,992,978157
2014,6539692,10083,140709,111187,33417,16483,4435984,785306,2083,899,1003541
2013,6598247,10640,161910,146193,34102,20735,4506414,676771,1853,768,1038861
2012,6551440,11286,163620,180159,33835,18532,4284670,555823,1575,2194,1299746
2011,6004951,12015,165097,202623,33336,13964,4259484,484813,1350,688,831581
2010,5969892,13410,174990,237258,33696,10082,4228369,457350,1105,1565,812067
2009,5579915,14667,172840,283243,33286,6513,3888579,381432,1200,4758,793397
2008,4884960,14811,160429,276372,30248,2566,3399600,273763,1042,1345,724784
2007,4807517,16119,167207,292549,31883,2378,3268670,239698,1107,1755,786151
2006,4744136,17973,162458,315682,32553,2565,3216293,218726,974,1814,775098
2005,4648401,20770,155056,332196,33710,2884,3158763,203083,925,1858,739156
2004,4718122,24711,148623,341908,36175,3343,3212822,205844,955,2315,741426
2003,4393893,24393,145485,340077,40088,3721,2940598,193665,1178,3151,701537
2002,4337036,26276,141825,354926,38209,5684,2861727,191188,1149,5238,710814
2001,4457579,27501,138100,352216,40600,7008,2924512,190854,1784,5780,769224
2000,3637307,28429,120778,309818,35819,23163,2373696,152614,1993,15863,575134
