年份,人民法院审理一审案件收案数,人民法院审理刑事一审案件收案数,人民法院审理民事一审案件收案数,人民法院审理经济纠纷一审案件收案数,人民法院审理行政一审案件收案数,人民法院审理海事海商一审案件收案数
2019,15439600.0,1293911,13852052.0,,279574,15249
2018,13920964.0,1203055,12449685.0,,256656,15784
2017,12907729.0,1294377,11373753.0,,230432,15367
2016,12088800.0,1101191,10762124.0,,225485,16336
2015,11444950.0,1126748,10097804.0,,220398,17546
2014,9489787.0,1040457,8307450.0,,141880,12174
2013,8876733.0,971567,7781972.0,,123194,11224
2012,8442657.0,996611,7316463.0,,129583,
2011,7596116.0,845714,6614049.0,,136353,
2010,6999350.0,779595,6090622.0,,129133,
2009,6688963.0,768507,5800144.0,,120312,
2008,6288831.0,767842,5412591.0,,108398,
2007,5550062.0,724112,4724440.0,,101510,
2006,5183794.0,702445,4385732.0,,95617,
2005,5161170.0,684897,4380095.0,,96178,
2004,5072881.0,647541,4332727.0,,92613,
2003,5130760.0,632605,4410236.0,,87919,
2002,5132199.0,631348,4420123.0,,80728,
2001,5344934.0,628996,3459025.0,1149101.0,100921,6891
2000,5356294.0,560432,3412259.0,1290867.0,85760,6976
