年份,全国政治协商会议委员人数,全国政治协商会议中国共产党委员人数,全国政治协商会议少数民族委员人数
2019,,,
2018,2158.0,859.0,245.0
2017,,,
2016,,,
2015,,,
2014,,,
2013,2237.0,893.0,258.0
2012,,,
2011,,,
2010,,,
2009,,,
2008,2237.0,892.0,250.0
2007,,,
2006,,,
2005,,,
2004,,,
2003,2238.0,895.0,262.0
2002,,,
2001,,,
2000,,,
