年份,涉外公证文书办证件数,涉外收养公证办证件数,涉外遗嘱公证办证件数,涉外出生公证办证件数,涉外死亡公证办证件数,涉外生存、居住公证办证件数,涉外学历公证办证件数,涉外经历公证办证件数,涉外国籍公证办证件数,涉外婚姻状况公证办证件数,涉外亲属关系公证办证件数,涉外继承权公证办证件数,涉外受、未受刑事处分公证办证件数,涉外声明书公证办证件数,涉外委托书公证办证件数,涉外营业证书公证办证件数,涉外公司章程公证办证件数,涉外其他法律文书公证办证件数,涉外职称公证办证件数,涉外法人资格公证办证件数,涉外商标注册公证办证件数,涉外贷款公证办证件数,涉外担保公证办证件数,涉外其他经济合同公证办证件数,涉外副本等与原本相符公证办证件数,涉外签名印鉴属实公证办证件数,涉外其他公证办证件数
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,3073979.0,8911.0,1244.0,444349.0,13770.0,15950.0,216028.0,25968.0,27244.0,174406.0,321082.0,4831.0,338292.0,66207.0,41386.0,19270.0,6487.0,32064.0,8939.0,6292.0,896.0,750.0,2952.0,5383.0,555216.0,187624.0,548438.0
2010,3099102.0,10195.0,1793.0,436985.0,11377.0,17444.0,256296.0,27138.0,32072.0,172279.0,336600.0,5166.0,345164.0,69336.0,35304.0,19471.0,3198.0,43187.0,8662.0,3657.0,472.0,826.0,803.0,4427.0,544695.0,209498.0,503057.0
2009,3082560.0,12138.0,611.0,444828.0,10221.0,19237.0,264292.0,25555.0,41935.0,175394.0,311480.0,9757.0,345678.0,59395.0,28527.0,16092.0,3367.0,33908.0,10379.0,3313.0,148.0,1030.0,1058.0,4909.0,550533.0,213853.0,494922.0
2008,3111631.0,7743.0,1520.0,437755.0,10711.0,14606.0,298023.0,34088.0,47269.0,187438.0,329447.0,5738.0,324046.0,67712.0,31691.0,17692.0,3410.0,32378.0,13236.0,5477.0,225.0,2672.0,1840.0,9962.0,524422.0,244500.0,458030.0
2007,3201449.0,11047.0,897.0,442150.0,13848.0,13941.0,278934.0,40022.0,57754.0,195526.0,421401.0,3109.0,316015.0,73857.0,31705.0,24062.0,3340.0,35755.0,17203.0,3446.0,123.0,5079.0,1723.0,12376.0,542647.0,227595.0,427894.0
2006,3013979.0,12929.0,828.0,421970.0,17707.0,14467.0,250500.0,49562.0,58782.0,215049.0,367488.0,3488.0,307506.0,77772.0,31044.0,17453.0,3878.0,36334.0,16927.0,3182.0,181.0,5352.0,1912.0,12022.0,459194.0,204280.0,424172.0
2005,2717454.0,17554.0,4265.0,368510.0,15392.0,12551.0,203673.0,36623.0,58612.0,194409.0,313478.0,4311.0,282106.0,77590.0,33769.0,15732.0,3248.0,25210.0,11386.0,3354.0,243.0,6526.0,5320.0,27462.0,459239.0,194776.0,342115.0
2004,2592005.0,22285.0,3293.0,381714.0,11812.0,9176.0,211498.0,43850.0,48358.0,201330.0,304515.0,2989.0,276506.0,61615.0,34037.0,15134.0,2977.0,57046.0,12690.0,2599.0,335.0,8643.0,1413.0,22081.0,352779.0,161250.0,342080.0
2003,2463540.0,14745.0,2493.0,339100.0,15278.0,6683.0,263055.0,46746.0,36941.0,217511.0,276811.0,2413.0,266089.0,39289.0,24740.0,11011.0,2497.0,34620.0,12371.0,2625.0,109.0,7689.0,3346.0,31025.0,299892.0,171969.0,334492.0
2002,2463540.0,14745.0,2493.0,339100.0,15278.0,6683.0,263055.0,46746.0,36941.0,217511.0,276811.0,2413.0,266089.0,39289.0,24740.0,11011.0,2497.0,34620.0,12371.0,2625.0,109.0,7689.0,3346.0,31025.0,299892.0,171969.0,334492.0
2001,2932209.0,11545.0,2533.0,458437.0,12901.0,9302.0,344684.0,70103.0,34599.0,256551.0,317088.0,11101.0,,42180.0,21807.0,13684.0,3828.0,37454.0,19972.0,2712.0,148.0,1647.0,4060.0,15486.0,367503.0,211986.0,314583.0
2000,2514485.0,8803.0,1026.0,396150.0,13467.0,14362.0,282585.0,66897.0,34422.0,239209.0,262172.0,3046.0,286396.0,39320.0,14578.0,13523.0,3296.0,34111.0,20876.0,3351.0,1765.0,1354.0,3384.0,20761.0,331506.0,151132.0,267002.0
