年份,律师事务所数,律师工作人员,专职律师数,兼职律师数,聘请担任常年法律顾问的单位,民事诉讼代理,经济诉讼代理,刑事诉讼辩护及代理,行政诉讼代理,非诉讼法律事务,涉外及涉港澳台法律事务,解答法律询问,代写法律事务文书,公证处,公证人员,公证员,公证员助理,办理公证文书,专职司法助理员,人民调解委员会,调解人员,调解民间纠纷
2019,32621,473036,397329,12589,736917,4792176,,1094423,189342,1336860,,309.76,,2956,,13428,,1374.31,,73.46,337.78,931.47
2018,30647,423758,364345,12002,700027,3969240,,814570,165840,1058594,,322.61,,2956,,13335,,1337.33,,75.15,349.71,953.22
2017,28382,357193,316771,12369,629742,3872852,,705213,156971,848806,,452.4,,2952,,13231,,1448.7,,75.9,362.9,874.1
2016,26150,325540,293586,11567,579360,2744896,,704447,98989,844414,,530.2,,3002,,13175,,1399.7,,78.4,385.2,901.9
2015,24425,297175,267536,11199,548260,2476112,,717283,86455,784264,,508.2,,3001,,13147,,1246.8,56053.0,79.8,391.1,933.1
2014,22166,271452,244000,10545,507289,2100102,,667391,64545,673080,,464.3,,3006,,12960,,1221.6,54350.0,80.3,394.1,933.0
2013,20609,248623,225000,10550,456847,1887156,,592486,57659,817703,,452.3,706.8,2987,29039.0,12725,9121.0,1258.9,56186.0,82.0,422.9,943.9
2012,19361,232384,208356,10108,447993,1779118,,576050,43312,585358,,436.9,733.0,3007,26527.0,12333,7650.0,1120.8,95920.0,81.7,428.1,926.6
2011,18235,214968,192546,9740,392456,1693635,,569330,52136,625229,,513.55,787.36,3006,25609.0,12163,7089.0,1076.64,95430.0,81.1,433.55,893.53
2010,17230,195170,176219,9294,369129,1569043,,530800,51011,549453,,474.51,723.72,3026,24185.0,11457,6678.0,1104.76,72698.0,81.8,466.9,841.8
2009,15888,173327,155457,8764,338179,1499105,,564204,57286,569304,,383.08,684.22,3023,23077.0,11282,5895.0,1075.08,72704.0,82.37,493.89,579.73
2008,14467,156710,140135,8116,314876,1401147,,511971,54666,729218,,350.86,720.99,3035,33462.0,22284,5469.0,949.03,74147.0,82.74,479.29,498.14
2007,13593,143967,128172,7842,295990,1247877,,495824,56342,607049,,381.83,715.37,3031,21060.0,11616,4966.0,971.43,60824.0,83.66,486.87,480.02
2006,13096,164516,122242,8068,279573,1027117,377999.0,341619,56657,915482,10700.0,520.13,145.32,3082,31123.0,21362,4709.0,980.7,62573.0,84.3,498.19,462.8
2005,12988,153846,114471,7418,276097,965956,376793.0,354229,50389,933346,36361.0,441.48,120.07,3160,20789.0,11738,4138.0,945.22,61666.0,84.71,509.65,448.68
2004,11823,145196,100875,6966,282361,853897,357326.0,332688,50778,904516,37728.0,471.05,123.16,3164,19913.0,11714,3644.0,1021.9,63438.0,85.3,514.4,441.4
2003,11593,142534,99793,6850,271669,781452,405133.0,324454,48115,876696,20622.0,430.25,120.27,3175,20015.0,12093,3018.0,1010.4,46088.0,87.8,669.2,449.2
2002,10873,136684,90012,12186,265362,767628,381146.0,335267,43703,827057,26788.0,487.41,119.7,3157,19460.0,12245,2556.0,1004.5,47173.0,89.1,716.2,314.1
2001,10225,122585,76558,13699,254758,667232,402669.0,339549,43800,1162715,10609.0,403.4,113.9,3186,19303.0,12931,1995.0,1007.2,48682.0,92.3,779.3,486.1
2000,9541,117260,69117,15639,247160,640610,438672.0,317108,41785,770087,30531.0,457.4,111.3,3189,19211.0,12849,2103.0,1249.7,54638.0,96.4,844.5,503.1
