年份,调解纠纷数合计,调解婚姻家庭纠纷数,调解房屋、宅基地纠纷数,调解邻里纠纷数,调解损害赔偿纠纷数
2019,9314666,1530553,488276,2312645,739058
2018,9532000,1674000,546000,2495000,727000
2017,8833135,1645478,545511,2226370,717686
2016,9019000,1751000,624000,2291000,750000
2015,9331000,1834000,653000,2375000,731000
2014,9330000,1842000,647000,2361000,727000
2013,9439429,1750137,625880,2276627,745469
2012,9265855,1772695,626444,2213346,730610
2011,8935341,1761612,614109,2043793,727803
2010,8418393,1596880,590628,1791702,643448
2009,5797300,1143913,364977,1241838,545094
2008,4981370,1019226,364572,993980,449054
2007,4800238,1005181,350105,913173,406640
2006,4628018,1015616,386350,929423,346018
2005,4486825,1049969,388032,836919,332514
2004,4414233,1140130,398759,793917,340021
2003,4492157,1657030,454171,690547,335132
2002,4636157,1753027,482739,694451,353371
2001,4860695,1861409,522359,729237,353218
2000,5030619,1951114,532656,740161,364585
