年份,妇联干部总数,司局级妇联干部数,县处级妇联干部数,科以下妇联干部数,35岁以下妇联干部数,36-45岁妇联干部数,46-55岁妇联干部数,56岁以上妇联干部数,共产党员妇联干部数,共青团员妇联干部数,民主党派妇联干部数,群众妇联干部数,博士研究生妇联干部数,硕士研究生妇联干部数,大学本科、大专学历妇联干部数,高中、中专及以下妇联干部数,行政编制妇联干部数,事业编制妇联干部数,招聘干部妇联干部数,少数民族干部妇联干部数,参加博士研究生学历教育妇联干部数,参加硕士研究生学历教育妇联干部数,参加大学、大专学历教育妇联干部数,参加党校培训的妇联干部数,参加参照公务员管理培训的妇联干部数,参加岗位培训的妇联干部数,调入妇联干部数,调出妇联干部数,省(区、市)妇联领导进同级党委人数,省(区、市)妇联领导进同级人大人数,省(区、市)妇联领导进同级政协人数
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,78074.0,357.0,4213.0,73504.0,31253.0,33007.0,12695.0,1119.0,62558.0,4180.0,574.0,10762.0,57.0,3320.0,62808.0,11889.0,,,,13603.0,65.0,689.0,4354.0,9786.0,32040.0,22114.0,7051.0,6087.0,24.0,29.0,22.0
2011,89951.0,342.0,4342.0,85267.0,33976.0,39148.0,15233.0,1594.0,71782.0,5186.0,521.0,12462.0,51.0,3184.0,76447.0,10269.0,58247.0,24809.0,6895.0,14260.0,8.0,954.0,8291.0,10372.0,20977.0,24790.0,8023.0,7479.0,16.0,24.0,19.0
2010,78122.0,355.0,4013.0,73754.0,31617.0,33682.0,11871.0,952.0,63322.0,3624.0,385.0,10791.0,23.0,2937.0,67057.0,8105.0,54088.0,18132.0,5902.0,12118.0,8.0,841.0,7064.0,24022.0,17056.0,16041.0,6151.0,5644.0,14.0,25.0,25.0
2009,73059.0,658.0,3496.0,68905.0,30020.0,30702.0,11101.0,1236.0,60248.0,3785.0,474.0,8552.0,29.0,2261.0,62211.0,8558.0,52036.0,17161.0,3862.0,10294.0,18.0,1000.0,7239.0,26689.0,19855.0,18812.0,4610.0,3961.0,16.0,27.0,30.0
2008,77567.0,344.0,3391.0,73832.0,32738.0,31687.0,12521.0,621.0,61396.0,3954.0,474.0,11743.0,65.0,2041.0,68536.0,6925.0,49613.0,21481.0,6473.0,10304.0,9.0,966.0,6319.0,25094.0,20443.0,19607.0,4970.0,3547.0,25.0,30.0,32.0
2007,76144.0,304.0,3501.0,72339.0,31309.0,30758.0,11836.0,2241.0,60259.0,3768.0,452.0,11665.0,65.0,1973.0,61972.0,12134.0,51482.0,20993.0,3669.0,10229.0,8.0,160.0,10519.0,24358.0,21541.0,19814.0,4674.0,4291.0,23.0,28.0,30.0
2006,75236.0,314.0,3300.0,71622.0,32444.0,31485.0,10584.0,723.0,60408.0,4010.0,567.0,10251.0,10.0,1531.0,60277.0,13418.0,54538.0,16733.0,3965.0,11500.0,10.0,913.0,10839.0,21654.0,22883.0,18503.0,5580.0,5120.0,23.0,14.0,19.0
2005,61565.0,255.0,3201.0,58109.0,28355.0,24897.0,7976.0,337.0,49516.0,4556.0,599.0,6894.0,13.0,1127.0,50380.0,10045.0,48994.0,10912.0,1659.0,9156.0,43.0,820.0,6447.0,18625.0,23088.0,22637.0,3385.0,2918.0,18.0,33.0,30.0
2004,57336.0,335.0,3679.0,53322.0,25998.0,23028.0,8024.0,286.0,44868.0,4754.0,371.0,7343.0,19.0,889.0,45046.0,11382.0,44810.0,10570.0,1956.0,6911.0,8.0,677.0,6032.0,14227.0,13762.0,20394.0,3331.0,2667.0,20.0,24.0,30.0
2003,52649.0,376.0,5809.0,46464.0,25174.0,23153.0,4039.0,283.0,41733.0,4893.0,338.0,5685.0,19.0,808.0,38909.0,12913.0,38616.0,10473.0,3560.0,8999.0,6.0,661.0,6555.0,13822.0,13587.0,21659.0,4215.0,3331.0,19.0,25.0,32.0
2002,52529.0,344.0,6027.0,46158.0,21362.0,23442.0,7332.0,393.0,40714.0,4728.0,324.0,6763.0,19.0,709.0,36163.0,15638.0,38541.0,8930.0,5058.0,9008.0,9.0,672.0,10914.0,10458.0,13045.0,15555.0,4256.0,3159.0,21.0,24.0,23.0
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
