年份,年初在押服刑人数,年初女性在押服刑人数,年初未成年在押服刑人数,释放人数,年末在押服刑人数
2019,,,,,
2018,,,,,
2017,,,,,
2016,,,,,
2015,,,,,
2014,,,,,
2013,,,,,
2012,1641931.0,95770.0,15429.0,395017.0,1657963.0
2011,1656773.0,93051.0,16701.0,403106.0,1641931.0
2010,1646593.0,90322.0,18450.0,391380.0,1656773.0
2009,1623394.0,85167.0,20662.0,387172.0,1646593.0
2008,1589222.0,80951.0,20772.0,378493.0,1623394.0
2007,1566839.0,78334.0,21807.0,363875.0,1589222.0
2006,1565711.0,77771.0,23250.0,340694.0,1566839.0
2005,1558511.0,77279.0,23957.0,319346.0,1565711.0
2004,1562742.0,75870.0,21975.0,332172.0,1558511.0
2003,1546130.0,71286.0,19990.0,342401.0,1562742.0
2002,,,,,
2001,,,,,
2000,,,,,
