年份,建筑业企业单位数,建筑业企业从业人员,建筑业企业固定资产原价,建筑业企业固定资产净价,建筑业企业自有施工机械设备年末总台数,建筑业企业自有施工机械设备年末净值,建筑业企业自有施工机械设备年末总功率,建筑业企业建筑业总产值,建筑业企业建筑业增加值,建筑业企业本年固定资产折旧,建筑业企业应付职工薪酬,建筑业企业主营业务税金及附加,建筑业企业管理费用中的税金,建筑业企业房屋施工面积,建筑业企业房屋竣工面积,建筑业企业利润总额,建筑业企业税金总额,建筑业企业按总产值计算劳动生产率,建筑业企业按增加值计算劳动生产率,建筑业企业技术装备率,建筑业企业动力装备率,建筑业企业房屋建筑面积竣工率,建筑业企业产值利润率,建筑业企业产值利税率
2019,103805,5427.0769,20799.8,11061.5134,9833258,58450114.4,25117.801,248443.27073,,,,,,1441504.6663,402335.5289,8279.54651,7163.09883,399673.87,,10770.1,4.6,27.91,3.33,6.216
2018,96544,5305.23,21627.6,11779.26,10923709.0,62464586.3,25757.6541,225816.86,43695.0,,,,,1371994.7,411498.0,7974.8233,7502.85099,373193.0,,11774.1,4.9,29.3,3.39230577058486,6.58384813816486
2017,88074,5529.6339000004,19974.39616,11089.34379,10225555.0,54818436.5,25500.6,213943.55899,39765.3331,1202.10964,24099.144089999,,,1318374.0585,419072.2935,7491.77778,6367.31715,347962.571843342,64675.2239394495,9913.57429648281,4.61162537360746,31.8,3.5,6.47792109069654
2016,83017,5184.5,18979.83668,10655.56251,9579327,56021121.4,25365.25,193566.77736,37626.8,1177.9841,22929.84314,,,1264216.2687,422382.2705,6986.04669,5977.44942,336991.122415869,65506.6136360226,10805.4143724989,4.9,33.4106023595423,3.60911453157439,6.69716998278594
2015,80911,5093.6668000002,18823.19906,10862.38724,9643725,56619984.2,26736.7925,180757.47357,36064.7,1198.11946,21805.367139999,5425.2034699999,248.20553000005,1239717.6443,420784.9409,6451.2324899999,5673.4089999999,324025.820697924,64649.5028441569,11115.761282226,5.2490265951436,33.9419982311855,3.5689990364363,6.70768475047557
2014,81141,4536.9721,17940.30521,10630.41311,12030587.0,56797668.0627024,29602.1706551259,176713.41618,35270.14933,1165.46961,21296.95802,5325.48236,221.64043,1249826.35,423357.3031,6407.12991,5547.12279,317632.690140319,63396.1417887982,12518.8488733934,6.52465344786359,33.8732899335672,3.62571787069991,6.76476804030538
2013,78919,4528.3551,,,11467280.0,60941735.6,25423.9766,160366.06329,33071.5,,,,,1132002.8605,401520.9277,5575.0,,324842.0,62737.4944379738,13457.8084655949,5.61439552300128,34.4474389351788,,
2012,75280,4267.2422,15476.93377,9582.5755599997,10157280.0,57070803.7,24275.3077,137217.858,26583.3117,1065.47187,15603.95239,4190.4796200002,198.40452000003,986427.4519,358736.2346,4776.1415499999,4388.8841400001,296424.4266311,57426.5119172494,13374.165567635,5.6887578820813,36.4,3.5,6.68
2011,72280,3852.4733000001,14059.59762,8889.9129399999,10054231.0,46327126.9,21822.409,116463.32067,22071.0,956.78439999998,12556.78501,3697.53184,166.87891,851828.1156,316429.2755,4168.32736,3864.41075,233104.04851128,43950.5373049037,12025.2947372796,5.66451920640177,37.1,3.57898206578759,6.86198198165333
2010,71863,4160.4378,12847.77,8299.9,11209484.0,39719872.0,19386.387,96031.1338,18983.5,916.76,10050.61,3192.7331,158.5797,708023.5141,277450.2157,3409.07409,3351.3129,203962.0,40319.0,9547.04141953522,4.65969879419901,39.2,3.5,7.0
