年份,港澳台商投资建筑业企业单位数,港澳台商投资建筑业企业从业人员,港澳台商投资建筑业企业固定资产原价,港澳台商投资建筑业企业固定资产净价,港澳台商投资建筑业企业自有施工机械设备年末总台数,港澳台商投资建筑业企业自有施工机械设备年末净值,港澳台商投资建筑业企业自有施工机械设备年末总功率,港澳台商投资建筑业企业建筑业总产值,港澳台商投资建筑业企业本年固定资产折旧,港澳台商投资建筑业企业应付职工薪酬,港澳台商投资建筑业企业主营业务税金及附加,港澳台商投资建筑业企业管理费用中的税金,港澳台商投资建筑业企业房屋施工面积,港澳台商投资建筑业企业房屋竣工面积,港澳台商投资建筑业企业利润总额,港澳台商投资建筑业企业税金总额,港澳台商投资建筑业企业按总产值计算劳动生产率,港澳台商投资建筑业企业技术装备率,港澳台商投资建筑业企业动力装备率,港澳台商投资建筑业企业房屋建筑面积竣工率,港澳台商投资建筑业企业产值利润率,港澳台商投资建筑业企业产值利税率
2019,245,14.3191,65.19,32.0872,,,,750.79943,,,,,4794.87,1535.04,48.69467,16.86385,453655.59,,,32.01,6.49,8.731
2018,266,17.62,75.76,41.56,,,,743.74,,,,,3665.16,1143.36,37.51321,15.88734,488507.89,,,31.2,5.05716442862536,7.2
2017,334,19.0321,149.31965,95.96677,,,,799.36158,7.76984,104.31548,,,5341.9121,1261.9314,41.87463,21.18513,368320.16919398,,,23.6,5.2,7.9
2016,326,16.1,112.65472,67.53824,,,,683.98977,7.69651,91.54439,,,4547.8721,924.0167,35.20079,20.5082,382377.804984403,,,20.3175612612325,5.14639129763593,8.1447109947273
2015,343,17.8663,132.75154,88.3964,,,,693.34387,5.80759,97.50527,20.20812,1.68206,4530.5427,899.9948,30.71066,21.89018,367804.12075816,,,19.8650550186846,4.42935480196861,7.58654432179519
2014,369,15.4415,108.20763,73.98117,,,,661.67484,5.10329,85.16199,17.06833,0.95458,3760.2547,813.9872,22.99142,18.02291,292054.09628397,,,21.6471293819538,3.47473088140997,6.19856272606648
2013,390,16.4604,,,,,,621.96191,,,,,4292.4373,901.9861,,,433498.33010728,,,21.0133785763161,,
2012,385,12.9682,55.47893,31.22293,27667.0,102801.1,54.3217,649.74199,5.49688,64.92902,17.37391,0.94768,3711.0294,932.5798,31.75528,18.32159,449499.12139912,7927.1679955584,4.188838851961,25.1,4.9,7.7
2011,393,11.3056,64.43673,39.14828,28041.0,94991.5,45.5965,612.67906,4.83713,44.44539,16.34605,0.74988,2681.1517,720.5944,26.13695,17.09593,431710.384092333,8402.1635295783,4.0330897962072,26.9,4.26601000530359,7.05636650940869
2010,416,12.1647,59.29,34.96,30500.0,78100.0,37.62,443.95782,6.29,34.04,11.83,0.94,2162.62,582.46,25.6507,12.7744,192698.0,6417.0,3.1,26.9,5.8,8.7
2009,444,10.8563,54.11096,32.16346,28692.0,112930.5,43.8099,334.58979,3.85217,28.843,9.308,0.71211,1662.0441,545.0939,18.45969,10.02011,226729.860678177,10402.0,4.0,32.7965966727357,5.51711096743269,8.51185566660597
2008,474,10.478,49.86795,31.22133,31922.0,93014.4,46.9813,321.0668,4.16055,30.61937,9.19049,0.42527,1385.6185,421.2266,13.2644,9.61576,224660.490371697,8877.0,4.5,30.3998972300096,4.13135210492022,7.12629272163923
2007,482,9.81,42.8,26.17,42700.0,95300.0,38.28,281.95,2.99,22.15,7.43,0.34,1323.48,198.47,8.86786,7.76648,207765.441469058,9714.73,3.9,14.9960709644271,3.1451869669027,5.89974462508748
2006,479,8.9,41.66,25.27,33700.0,101200.0,46.23,240.52,2.57,17.68,6.41,0.36,1349.46,414.77,6.25549,6.77,198285.24,11327.55,5.17,30.7359981029449,2.6,5.4
2005,516,8.6,40.06,24.35,35900.0,99000.0,41.5826,172.54,2.92,13.92,4.62,0.34,668.22,213.96,3.6242,4.97,161705.72,11446.38,4.81,32.0193948100925,2.1,4.98
2004,511,6.8,,,,,,137.03,,,,,,,,,,,,,,
2003,535,7.04,,,,,,123.71,,,,,,,2.8756,,,,,,,
2002,632,7.41,,,,,,113.87,,,,,,,2.4171,,,,,,,
2001,622,7.68,,,,,,102.55,,,,,,,3.7556,,,,,,,
2000,635,8.22,,,,,,99.18,,,,,,,0.9856,,,,,,,
