年份,外商独资建筑业企业单位数,外商独资建筑业企业从业人员,外商独资建筑业企业固定资产原价,外商独资建筑业企业固定资产净价,外商独资建筑业企业自有施工机械设备年末总台数,外商独资建筑业企业自有施工机械设备年末净值,外商独资建筑业企业自有施工机械设备年末总功率,外商独资建筑业企业建筑业总产值,外商独资建筑业企业本年固定资产折旧,外商独资建筑业企业应付职工薪酬,外商独资建筑业企业主营业务税金及附加,外商独资建筑业企业管理费用中的税金,外商独资建筑业企业房屋施工面积,外商独资建筑业企业房屋竣工面积,外商独资建筑业企业利润总额,外商独资建筑业企业税金总额,外商独资建筑业企业按总产值计算劳动生产率,外商独资建筑业企业技术装备率,外商独资建筑业企业动力装备率,外商独资建筑业企业房屋建筑面积竣工率,外商独资建筑业企业产值利润率,外商独资建筑业企业产值利税率
2019,67,2.1638,21.76,10.1201,,,,326.74016,,,,,1264.67,129.78,36.64684,9.98679,568243.48,,,10.26,11.22,14.274
2018,69,2.8197,19.95,9.56,,,,360.04695,,,,,1269.54,101.89,32.71165,9.03114,606221.29,,,8.0,9.0853075961672,11.6
2017,73,2.4908,13.76143,7.19297,,,,263.68193,0.75996,28.85589,,,1108.6375,77.4869,20.67125,5.35529,855887.85380421,,,7.0,7.8,9.9
2016,77,2.2556,11.56917,5.94203,,,,253.44101,0.69103,19.04186,,,1130.6087,404.9657,25.95996,5.48765,948684.297211305,,,35.8183781886695,10.2429989526951,12.4082562644459
2015,80,2.5428,19.46647,10.90306,,,,258.11232,1.62916,19.83516,6.63263,0.19201,571.0725,183.4552,22.78484,6.82464,880208.429954986,,,32.1246776897855,8.82749029569762,11.4715485103539
2014,81,2.3022,18.11325,10.99907,,,,273.23885,0.8614,17.7956,6.79111,0.17587,482.451,277.9205,29.03192,6.96698,831625.426101777,,,57.6059537652528,10.6251069348301,13.1748834398915
2013,82,3.3688,,,,,,242.16707,,,,,595.8718,226.5332,,,685753.72373563,,,38.0171036790128,,
2012,91,2.8649,13.83254,7.65822,2826.0,9347.1,3.6775,198.54282,0.96838,18.73638,5.6778,0.22095,764.2868,365.002,15.97678,5.89875,652136.04861225,3262.6269677825,1.2836399176237,47.8,8.0,11.0
2011,95,3.0445,14.54218,8.70829,9415.0,10037.3,9.6733,188.13463,1.8975,16.02654,5.54021,0.39957,795.4412,454.1215,14.36624,5.93978,437990.94380034,3296.8631959271,3.1773033338808,57.1,7.63614864525473,10.7933451698924
2010,95,2.7067,14.37,8.95,4600.0,15400.0,6.42,165.25,1.74,11.02,4.68,0.21,707.11,326.0,14.0422,4.8959,469700.0,5685.0,2.4,46.1,8.5,11.5
2009,96,2.4359,13.92604,9.53405,5547.0,19875.0,7.7235,111.49217,1.01334,8.40443,3.32358,0.13508,843.2037,271.4435,8.11106,3.45866,346895.364032358,8159.0,3.2,32.1919246796474,7.2750041550003,10.3771592211363
2008,106,2.7866,9.56189,6.26681,5437.0,20564.6,8.5042,125.14744,0.72361,10.42856,4.25435,0.1168,695.2378,207.5435,11.24596,4.37115,261645.041918421,7380.0,3.1,29.8521599372186,8.98616863437239,12.4789688067131
2007,84,1.851,6.86,4.57,4500.0,20300.0,4.96,108.18738,0.6,7.27,3.34,0.15,614.56,333.91,17.11779,3.49457,294868.847097302,10990.22,2.68,54.3331814631606,15.8223537717615,19.0524624960878
2006,80,1.5951,6.87,4.58,4300.0,11800.0,4.08,81.97578,0.57,3.96,2.51,0.14,582.54,384.1,17.30288,2.64,289681.98,7426.05,2.56,65.9353864112336,21.1,24.32
2005,68,0.86,3.59,2.45,2000.0,6200.0,2.1451,45.26,0.31,3.1,1.07,0.14,212.6,71.16,2.32676,1.21,233298.97,7263.89,2.5,33.4713076199436,5.15,7.82
2004,,,,,,,,,,,,,,,,,,,,,,
2003,18,0.1286,,,,,,3.1803,,,,,,,0.11,,,,,,,
2002,26,0.17,,,,,,2.9945,,,,,,,0.0728,,,,,,,
2001,16,0.2388,,,,,,2.7939,,,,,,,0.114,,,,,,,
2000,30,0.28,,,,,,2.30799,,,,,,,0.0341,,,,,,,
