年份,集体建筑业企业单位数,集体建筑业企业从业人员,集体建筑业企业固定资产原价,集体建筑业企业固定资产净价,集体建筑业企业自有施工机械设备年末总台数,集体建筑业企业自有施工机械设备年末净值,集体建筑业企业自有施工机械设备年末总功率,集体建筑业企业建筑业总产值,集体建筑业企业本年固定资产折旧,集体建筑业企业应付职工薪酬,集体建筑业企业主营业务税金及附加,集体建筑业企业管理费用中的税金,集体建筑业企业房屋施工面积,集体建筑业企业房屋竣工面积,集体建筑业企业利润总额,集体建筑业企业税金总额,集体建筑业企业按总产值计算劳动生产率,集体建筑业企业技术装备率,集体建筑业企业动力装备率,集体建筑业企业房屋建筑面积竣工率,集体建筑业企业产值利润率,集体建筑业企业产值利税率
2019,2324,115.0865,313.08,180.9182,,,,3690.94265,,,,,24403.2887,10438.7189,108.65111,198.68154,303656.11,,,42.78,2.94,8.327
2018,2546,123.23,368.3,209.72,,,,3615.37,,,,,26053.4,12383.9,133.43514,220.41957,277452.93,,,45.6,3.49990951223159,9.3
2017,2873,158.6786,415.71,247.9,,,,4317.91712,16.97811,578.5948,,,29439.6714,14199.0734,152.20388,203.93791,256788.0726252,,,48.2,3.5,8.2
2016,3154,168.2,448.73962,268.13659,,,,4388.7457,23.5482,606.7741,,,31213.2487,15804.7428,171.82765,194.88795,242965.18293753,,,50.6347255035968,3.91518811399804,8.35581792765983
2015,3318,169.0392,461.88481,281.58149,,,,4364.39591,22.02716,599.89948,146.67235,10.29586,32954.2655,16630.8083,170.10865,156.96821,245267.944409477,,,50.4663297684483,3.8976447945576,7.4942069130479
2014,3589,175.033,477.19689,296.44615,,,,4681.79665,22.36579,618.22847,154.1772,9.99721,35788.891,17428.2288,184.42809,164.17441,234669.466081221,,,48.6973144823068,3.93925887404785,7.44591288474693
2013,3728,187.0576,,,,,,4524.67653,,,,,36030.2989,17500.1766,,,246678.55278622,,,47.5716293596466,,
2012,4640,216.2418,583.05006,375.71882,724519.0,1740645.2,1087.3363,4919.00209,29.5344,615.40638,165.87024,12.84396,39208.9926,19810.7197,188.90809,178.7142,222006.18268226,8049.5315891747,5.0283354097126,50.5,3.8,7.5
2011,4847,220.3973,589.12909,384.46182,848773.0,1780211.6,1247.5848,4306.48746,26.81755,532.07525,149.33933,10.42925,38202.9794,19253.0823,171.41243,159.76858,158153.09473092,8077.284068362,5.6606174395058,50.4,3.98033041062193,7.69028153631266
2010,5026,246.528,582.17,388.51,772800.0,1694800.0,1088.15,3655.26802,29.09,456.45,137.84,9.99,39232.1246,18375.0005,146.0362,147.8368,138580.0,6875.0,4.4,46.8,4.0,8.0
2009,5352,246.7903,598.65147,402.48707,836968.0,1755084.3,1677.5082,3281.74572,29.91638,436.49155,114.24333,9.26144,36380.946,18783.1694,136.29336,123.50477,124254.659248167,7112.0,6.8,51.6291396051109,4.153074967673,7.91646130340653
2008,5843,266.779,615.59423,405.44972,953468.0,2003668.0,1288.418,3216.43358,36.53826,477.70075,115.3554,9.02817,39247.8219,19224.7564,140.57726,124.38357,110989.501587667,7511.0,4.8,48.9829892955155,4.37059421572138,8.23772117190743
2007,6614,316.99,657.71,442.2,1149800.0,2176500.0,1516.56,3153.65,29.73,414.1,103.0,7.62,42119.61,21300.87,98.40215,110.62004,97716.2202066029,6866.02,4.78,50.5723343592213,3.12026677723416,6.62795472621001
2006,7051,332.0,682.24,469.21,1228900.0,2216800.0,1448.02,2904.48,31.66,378.45,91.59,7.07,40872.53,21019.33,82.8666,98.66,85662.84,6677.24,4.36,51.4265449190447,2.85,6.25
2005,8090,361.6,737.95,517.1,1436300.0,2530800.0,1693.3496,2815.2,33.5,381.48,92.18,7.49,42257.41,21750.39,80.70378,99.66,75922.2,6999.52,4.68,51.4711857636329,2.87,6.41
2004,8959,386.4,,,,,,2756.12,,,,,42858.27,23393.34,,,,,,,,
2003,10425,505.57,,,,,,3270.73,,,,,50488.91,26727.64,78.5771,,62670.0,,,,,
2002,13177,579.18,,,,,,3338.5,,,,,52564.4,30071.3,75.7413,,55670.0,,,,,
2001,19096,739.94,,,,,,3775.89,,,,,61239.24,36115.14,78.7341,,47664.0,,,,,
2000,24756,887.5,,,,,,4035.84,,,,,68112.33,38515.52,75.633,,44142.0,,,,,
