年份,外商投资建筑业企业单位数,外商投资建筑业企业从业人员,外商投资建筑业企业固定资产原价,外商投资建筑业企业固定资产净价,外商投资建筑业企业自有施工机械设备年末总台数,外商投资建筑业企业自有施工机械设备年末净值,外商投资建筑业企业自有施工机械设备年末总功率,外商投资建筑业企业建筑业总产值,外商投资建筑业企业本年固定资产折旧,外商投资建筑业企业应付职工薪酬,外商投资建筑业企业主营业务税金及附加,外商投资建筑业企业管理费用中的税金,外商投资建筑业企业房屋施工面积,外商投资建筑业企业房屋竣工面积,外商投资建筑业企业利润总额,外商投资建筑业企业税金总额,外商投资建筑业企业按总产值计算劳动生产率,外商投资建筑业企业技术装备率,外商投资建筑业企业动力装备率,外商投资建筑业企业房屋建筑面积竣工率,外商投资建筑业企业产值利润率,外商投资建筑业企业产值利税率
2019,190,6.7506,74.68,41.9785,,,,593.89464,,,,,3339.15,426.43,50.48115,17.16001,487194.42,,,12.77,8.5,11.389
2018,203,7.58,60.66,31.44,,,,639.04,,,,,3270.54,574.74,48.45486,18.75372,546878.62,,,17.6,6.16819339070217,8.6
2017,218,7.7144,54.26868,28.55501,,,,547.30171,2.73305,67.35477,,,2272.7346,410.5092,30.45096,11.69862,583551.95760652,,,18.1,5.6,7.7
2016,222,8.7,48.2441,26.90257,,,,525.21008,3.32513,55.57719,,,2321.0641,767.3524,31.78671,14.19762,582757.370319001,,,33.0603708876459,6.05218963048082,8.7554164992416
2015,249,9.2164,55.56093,31.9571,,,,606.24162,3.44995,58.23593,13.22666,0.59038,1749.3088,555.0678,33.1119,13.81704,616870.295186056,,,31.730692717032,5.46183219819187,7.74096308333301
2014,261,8.6264,58.81727,33.10228,,,,643.2032,4.06592,59.60916,15.31475,0.55371,1622.6362,656.5511,39.46685,15.86846,538592.39844921,,,40.4620025117152,6.1359847090313,8.60308375331466
2013,272,10.1422,,,,,,607.72487,,,,,1673.8761,765.0534,,,455640.13020263,,,45.7054975574357,,
2012,295,10.2824,52.56172,30.05149,17892.0,56735.6,57.0978,476.98842,4.58705,49.01658,13.5469,0.50363,1692.1332,821.2124,26.56131,14.05053,378775.67518205,5517.7390492492,5.552964288493,48.5,5.6,8.5
2011,303,9.8685,94.31557,54.80588,33205.0,240804.9,65.9547,658.16801,7.43132,57.71557,21.01062,0.989,2011.5561,1040.677,29.88257,21.99962,505330.730546281,24401.367989056,6.6833561331509,51.7,4.54026472663112,7.88281855266712
2010,331,9.795,65.13,38.06,24400.0,89500.0,37.48,439.67882,4.82,31.27,12.88,0.69,2131.71,821.84,26.7419,13.5637,304913.0,9138.0,3.8,38.6,6.1,9.2
2009,351,10.2379,67.38565,43.47516,25787.0,94716.8,42.3442,415.16992,4.10345,34.36734,11.78913,0.54521,2544.2572,676.0782,22.52682,12.33434,277053.305928516,9252.0,4.1,26.5727144252554,5.42592777434358,8.3968414667421
2008,363,9.2142,58.35197,36.66285,28564.0,109572.0,44.2095,387.13523,3.95695,31.81527,11.19501,0.41258,1649.2394,683.4972,22.10142,11.60759,249595.583636891,11892.0,4.8,41.4431767759126,5.70896634749568,8.7072958976118
2007,365,11.43,53.02,32.63,45800.0,127200.0,49.25,396.32,3.68,30.5,11.34,0.46,1998.0,956.39,27.86197,11.80422,227279.428125753,11124.93,4.31,47.8673673673674,7.03023693982959,10.0087220752983
2006,370,8.1,44.1,26.69,27600.0,105800.0,43.16,274.87,3.09,18.89,7.92,0.38,1594.48,941.52,22.72801,8.3,217288.54,13115.95,5.35,59.0487180773669,8.27,11.29
2005,388,10.8,49.45,32.16,41100.0,131400.0,40.3991,249.03,3.09,24.48,6.94,0.35,1310.94,618.23,11.70068,7.29,169063.14,12136.06,3.73,47.1592902802569,4.7,7.63
2004,386,8.1,,,,,,202.46,,,,,,,,,,,,,,
2003,287,6.04,,,,,,129.39,,,,,,,2.9229,,,,,,,
2002,279,4.5,,,,,,91.38,,,,,,,2.6947,,,,,,,
2001,274,4.3,,,,,,73.06,,,,,,,2.3375,,,,,,,
2000,319,4.4,,,,,,67.49,,,,,,,1.3084,,,,,,,
