年份,人民检察院批捕、决定逮捕犯罪嫌疑人数,人民检察院批捕、决定逮捕犯罪嫌疑人的公安、安全、监狱机关提请案件人数,人民检察院批捕、决定逮捕犯罪嫌疑人的危害国家安全案人数,人民检察院批捕、决定逮捕犯罪嫌疑人的危害公共安全案人数,人民检察院批捕、决定逮捕犯罪嫌疑人的破坏社会主义市场经济秩序案人数,人民检察院批捕、决定逮捕犯罪嫌疑人的侵犯公民人身、民主权利案人数,人民检察院批捕、决定逮捕犯罪嫌疑人的侵犯财产案人数,人民检察院批捕、决定逮捕犯罪嫌疑人的妨害社会管理秩序案人数,人民检察院批捕、决定逮捕犯罪嫌疑人的危害国防利益案人数,人民检察院批捕、决定逮捕犯罪嫌疑人的军人违反职责案人数,人民检察院批捕、决定逮捕犯罪嫌疑人的检察机关直接立案侦查案件人数,人民检察院批捕、决定逮捕犯罪嫌疑人的贪污贿赂案人数,人民检察院批捕、决定逮捕犯罪嫌疑人的渎职侵权案人数
2019,1088490,,,58116,94193,159223,357900,409391,,,,2256,4744
2018,1056616,,,93997,74231,157004,335402,389681,331.0,,,5037,473
2017,1081545,,,125521,58946,148890,335944,399980,259.0,,,10613,1196
2016,842372,,,56990,54160,130127,326972,259927,200.0,2.0,,11904,1514
2015,892884,,,53383,58472,143099,324478,293139,154.0,,,17533,1869
2014,899297,,,55473,56165,152939,334177,279800,230.0,15.0,,17373,2162
2013,896403,,,51042,47017,161807,360344,258530,274.0,6.0,,14679,1767
2012,986056,969905.0,1105.0,56931,59724,177052,422617,252199,276.0,1.0,16151.0,14331,1820
2011,923510,908756.0,930.0,59004,40604,186441,394706,226834,234.0,3.0,14754.0,13102,1652
2010,931494,916209.0,1045.0,57563,37532,186683,404584,228568,234.0,,15285.0,13635,1650
2009,958364,941091.0,1208.0,56115,35890,191551,438246,217823,255.0,3.0,17273.0,15388,1885
2008,970181,952583.0,1712.0,62370,30156,179185,484927,193979,252.0,2.0,17598.0,15633,1965
2007,937284,920766.0,742.0,65753,28296,172706,477280,175638,339.0,12.0,16518.0,14890,1628
2006,906936,891620.0,604.0,64448,24211,169069,471468,161506,301.0,13.0,15316.0,13831,1485
2005,876419,860372.0,296.0,57923,21193,166134,469145,145357,308.0,16.0,16047.0,14611,1436
2004,828180,811102.0,426.0,54887,20425,160129,441198,133771,249.0,17.0,17078.0,15502,1576
2003,764776,748756.0,336.0,46506,19222,152165,407782,122528,216.0,1.0,16020.0,14656,1364
2002,782060,765899.0,686.0,45721,21787,151537,423830,122096,233.0,9.0,16161.0,14986,1175
2001,841845,823167.0,725.0,55638,26002,164471,434322,141614,387.0,8.0,18678.0,17123,1555
2000,715833,696265.0,690.0,38182,27666,153875,374098,101512,234.0,8.0,19568.0,18055,1513
