年份,人民检察院决定起诉案件数,人民检察院决定起诉的公安、安全、监狱机关提请件数,人民检察院决定起诉的危害国家安全案件数,人民检察院决定起诉的危害公共安全案件数,人民检察院决定起诉的破坏社会主义市场经济秩序案件数,人民检察院决定起诉的侵犯公民人身、民主权利案件数,人民检察院决定起诉的侵犯财产案件数,人民检察院决定起诉的妨害社会管理秩序案件数,人民检察院决定起诉的危害国防利益案件数,人民检察院决定起诉的军人违反职责案件数,人民检察院决定起诉的检察机关直接立案侦查案件件数,人民检察院决定起诉的贪污贿赂案件数,人民检察院决定起诉的渎职侵权案件数
2019,1275233,,,417725,68117,159564,312506,302499,,,,12428,1794
2018,1189480,,,363833,60454,161740,305889,282174,247.0,,,13332,1636
2017,1219603,,,342471,58081,163061,328315,297530,211.0,,,24825,4995
2016,1069547,,,269422,57734,156618,316074,241710,225.0,,,22202,5163
2015,1050879,,,239241,56383,162536,297829,262683,192.0,9.0,,25842,5610
2014,1027115,,,221217,56962,176292,309512,228684,252.0,13.0,,26589,6931
2013,958727,,,194456,51727,176505,301184,202172,247.0,5.0,,24780,7044
2012,979717,947796.0,385.0,178878,67384,180747,335940,184221,240.0,1.0,31921.0,25049,6872
2011,824052,796774.0,377.0,123206,33860,173501,296692,168936,200.0,2.0,27278.0,21722,5556
2010,766394,736256.0,419.0,89824,30686,170905,288987,155242,191.0,2.0,30138.0,24081,6057
2009,749838,723324.0,371.0,86713,25698,163369,309033,137928,210.0,2.0,26514.0,21435,5079
2008,750934,724250.0,477.0,89521,22242,158361,330034,123422,191.0,2.0,26684.0,21776,4908
2007,711144,686456.0,231.0,85425,19788,151669,319303,109821,212.0,7.0,24688.0,20496,4192
2006,670727,646279.0,258.0,79548,16692,147742,306401,95437,195.0,6.0,24448.0,20711,3737
2005,654871,630063.0,185.0,75107,14932,145416,305852,88354,207.0,10.0,24808.0,21146,3662
2004,612790,586960.0,271.0,69509,13203,137883,286435,79500,147.0,12.0,25830.0,22178,3652
2003,560978,538217.0,186.0,55245,12870,132750,265226,71816,120.0,4.0,22761.0,19848,2913
2002,583755,561579.0,249.0,53512,14201,137406,280359,75700,146.0,6.0,22176.0,19980,2196
2001,569968,545749.0,318.0,51751,14120,134331,267130,77928,166.0,5.0,24219.0,21782,2437
2000,480119,456376.0,270.0,39249,15401,119130,224415,57754,148.0,9.0,23743.0,21585,2158
