年份,人民检察院批捕、决定逮捕犯罪嫌疑人案件数,人民检察院批捕、决定逮捕犯罪嫌疑人的公安、安全、监狱机关提请件数,人民检察院批捕、决定逮捕犯罪嫌疑人的危害国家安全案件数,人民检察院批捕、决定逮捕犯罪嫌疑人的危害公共安全案件数,人民检察院批捕、决定逮捕犯罪嫌疑人的破坏社会主义市场经济秩序案件数,人民检察院批捕、决定逮捕犯罪嫌疑人的侵犯公民人身、民主权利案件数,人民检察院批捕、决定逮捕犯罪嫌疑人的侵犯财产案件数,人民检察院批捕、决定逮捕犯罪嫌疑人的妨害社会管理秩序案件数,人民检察院批捕、决定逮捕犯罪嫌疑人的危害国防利益案件数,人民检察院批捕、决定逮捕犯罪嫌疑人的军人违反职责案件数,人民检察院批捕、决定逮捕犯罪嫌疑人的检察机关直接立案侦查案件件数,人民检察院批捕、决定逮捕犯罪嫌疑人的贪污贿赂案件数,人民检察院批捕、决定逮捕犯罪嫌疑人的渎职侵权案件数
2019,750262,,,47918,57317,124521,261953,249922,,,,1921,4526
2018,714896,,,62044,45738,116385,249595,235745,240.0,,,4535,390
2017,764878,,,103020,39115,113127,256261,242052,179.0,,,9922,1039
2016,631211,,,49793,36226,104366,247267,180578,169.0,2.0,,11039,1314
2015,665305,,,48165,40139,112123,244382,202072,142.0,,,16103,1592
2014,658210,,,49974,38160,120412,244477,186853,184.0,10.0,,15728,1810
2013,642671,,,46974,32146,125158,255104,168062,203.0,,,12963,1529
2012,680539,666268.0,474.0,52436,38958,132587,287195,154398,219.0,1.0,14271.0,12705,1566
2011,640567,627570.0,405.0,54227,26559,142270,264910,139006,190.0,3.0,12997.0,11604,1393
2010,627642,614220.0,424.0,52270,25031,139023,261319,135980,173.0,,13422.0,12027,1395
2009,633118,617847.0,484.0,50556,23155,139807,277346,126304,192.0,3.0,15271.0,13700,1571
2008,632253,616581.0,585.0,53523,19748,131667,301393,109485,178.0,2.0,15672.0,13964,1708
2007,606368,591510.0,283.0,54150,18009,127240,292745,98861,215.0,7.0,14858.0,13461,1397
2006,588516,574619.0,292.0,52563,15438,125589,290021,90502,205.0,9.0,13897.0,12625,1272
2005,581448,566949.0,185.0,49190,13766,126161,293275,84163,199.0,10.0,14499.0,13258,1241
2004,558939,543335.0,261.0,47365,13047,123410,280802,78282,154.0,14.0,15604.0,14243,1361
2003,520481,505732.0,180.0,39641,12500,119160,262134,71981,135.0,1.0,14749.0,13591,1158
2002,527354,512540.0,250.0,38836,13974,119452,267105,72785,131.0,7.0,14814.0,13830,984
2001,559860,542715.0,305.0,44129,16656,128434,270697,82276,212.0,6.0,17145.0,15826,1319
2000,473864,456084.0,313.0,31427,17375,116268,230110,60451,132.0,8.0,17780.0,16522,1258
