年份,人民法院审理合同纠纷一审案件结案中调解件数,人民法院审理借款合同一审案件结案中调解件数,人民法院审理买卖合同一审案件结案中调解件数,人民法院审理电信合同一审案件结案中调解件数,人民法院审理租赁合同一审案件结案中调解件数,人民法院审理劳动争议一审案件结案中调解件数,人民法院审理房地产合同一审案件结案中调解件数,人民法院审理供用动力合同一审案件结案中调解件数,人民法院审理建设工程合同一审案件结案中调解件数,人民法院审理农村承包合同一审案件结案中调解件数,人民法院审理承揽合同一审案件结案中调解件数,人民法院审理其他合同纠纷一审案件结案中调解件数
2019,,,,,,,,,,,,
2018,,,,,,,,,,,,
2017,,,,,,,,,,,,
2016,1524761.0,604722.0,288943.0,3644.0,54444.0,136027.0,63423.0,12899.0,38425.0,5541.0,26222.0,290471.0
2015,1420597.0,556802.0,254853.0,8840.0,46771.0,144270.0,62308.0,10231.0,33949.0,5967.0,25922.0,270684.0
2014,1295072.0,473791.0,221489.0,18761.0,41344.0,141071.0,57531.0,15136.0,27950.0,5836.0,22907.0,269256.0
2013,1385334.0,481853.0,226115.0,41890.0,44634.0,153959.0,65513.0,20023.0,26885.0,8122.0,24104.0,292236.0
2012,1426117.0,470201.0,227450.0,56833.0,44483.0,165358.0,56731.0,25204.0,26458.0,9604.0,23664.0,320131.0
2011,1199000.0,382084.0,206013.0,45788.0,40149.0,141289.0,46979.0,19806.0,24134.0,13221.0,23209.0,256328.0
2010,1108861.0,363417.0,203331.0,40340.0,40150.0,140412.0,46614.0,21235.0,24458.0,13367.0,23086.0,192451.0
2009,1010991.0,332894.0,208923.0,35223.0,35918.0,105666.0,42757.0,19899.0,25218.0,13014.0,25023.0,166456.0
2008,930436.0,303039.0,205703.0,41076.0,34380.0,93368.0,35715.0,18130.0,22818.0,14797.0,24901.0,136509.0
2007,716882.0,246049.0,172604.0,39784.0,28065.0,37912.0,22837.0,18306.0,18447.0,14076.0,18575.0,100227.0
2006,634672.0,216834.0,154476.0,36359.0,24278.0,27025.0,23130.0,18119.0,16650.0,18027.0,16681.0,83093.0
2005,646934.0,229375.0,157134.0,40743.0,23421.0,27944.0,17694.0,18769.0,16854.0,18793.0,17197.0,79010.0
2004,625442.0,236468.0,151226.0,37733.0,22118.0,22891.0,14613.0,18423.0,15785.0,16262.0,16067.0,73856.0
2003,602251.0,239308.0,146103.0,34851.0,20540.0,18957.0,13444.0,15354.0,13648.0,20251.0,13878.0,65917.0
2002,617769.0,265388.0,150194.0,27331.0,20197.0,15435.0,13065.0,14723.0,12934.0,18256.0,14125.0,66121.0
2001,,,,,,,,,,,,
2000,,,,,,,,,,,,
