年份,人民法院审理合同纠纷一审案件收案数,人民法院审理借款合同一审案件收案数,人民法院审理买卖合同一审案件收案数,人民法院审理电信合同一审案件收案数,人民法院审理租赁合同一审案件收案数,人民法院审理劳动争议一审案件收案数,人民法院审理房地产合同一审案件收案数,人民法院审理供用动力合同一审案件收案数,人民法院审理建设工程合同一审案件收案数,人民法院审理农村承包合同一审案件收案数,人民法院审理承揽合同一审案件收案数,人民法院审理其他合同纠纷一审案件收案数
2019,,,,,,,,,,,,
2018,,,,,,,,,,,,
2017,,,,,,,,,,,,
2016,6717811.0,2652918.0,1055430.0,31697.0,249324.0,467396.0,252620.0,58888.0,174875.0,21351.0,95983.0,1657329.0
2015,6013386.0,2361570.0,931671.0,42785.0,226467.0,483311.0,244825.0,55129.0,160839.0,22319.0,94620.0,1389850.0
2014,4589375.0,1753767.0,696358.0,68259.0,172416.0,386576.0,173024.0,55183.0,118649.0,19174.0,76515.0,1069454.0
2013,4121224.0,1486786.0,620185.0,122138.0,154242.0,366668.0,163960.0,61226.0,99955.0,23117.0,70191.0,952756.0
2012,3776137.0,1278712.0,567008.0,149713.0,139738.0,349770.0,139456.0,75682.0,86209.0,27554.0,63819.0,898476.0
2011,3333595.0,1065056.0,533401.0,139120.0,137303.0,308622.0,130860.0,68711.0,78808.0,34781.0,64469.0,772464.0
2010,3222555.0,1021838.0,551395.0,131396.0,137546.0,321681.0,126879.0,79208.0,81547.0,38229.0,68059.0,664777.0
2009,3151716.0,978013.0,591425.0,115663.0,135047.0,318643.0,127972.0,79236.0,87201.0,38837.0,75773.0,603906.0
2008,2933514.0,905695.0,592651.0,113981.0,128936.0,295531.0,118873.0,72041.0,83352.0,48818.0,78952.0,494684.0
2007,2463775.0,793301.0,523761.0,107015.0,115863.0,150992.0,100432.0,76452.0,72989.0,49806.0,66973.0,406191.0
2006,2240759.0,686895.0,500363.0,105744.0,106102.0,126047.0,98443.0,75063.0,69148.0,57116.0,64018.0,351820.0
2005,2265362.0,705018.0,514251.0,119498.0,104346.0,122480.0,93750.0,77171.0,71829.0,56565.0,64345.0,336109.0
2004,2247841.0,736087.0,520892.0,119727.0,100676.0,109338.0,94535.0,75302.0,68050.0,53108.0,59873.0,310253.0
2003,2266476.0,812269.0,523777.0,110864.0,100726.0,98112.0,93769.0,71569.0,62405.0,59146.0,55753.0,278086.0
2002,2266695.0,858724.0,537651.0,99445.0,96221.0,84693.0,82118.0,62542.0,60275.0,56316.0,54135.0,274575.0
2001,,,,,,,,,,,,
2000,,,,,,,,,,,,
