年份,人民法院审理合同纠纷一审案件结案中驳回件数,人民法院审理借款合同一审案件结案中驳回件数,人民法院审理买卖合同一审案件结案中驳回件数,人民法院审理电信合同一审案件结案中驳回件数,人民法院审理租赁合同一审案件结案中驳回件数,人民法院审理劳动争议一审案件结案中驳回件数,人民法院审理房地产合同一审案件结案中驳回件数,人民法院审理供用动力合同一审案件结案中驳回件数,人民法院审理建设工程合同一审案件结案中驳回件数,人民法院审理农村承包合同一审案件结案中驳回件数,人民法院审理承揽合同一审案件结案中驳回件数,人民法院审理其他合同纠纷一审案件结案中驳回件数
2019,,,,,,,,,,,,
2018,,,,,,,,,,,,
2017,,,,,,,,,,,,
2016,264268.0,68782.0,24375.0,252.0,6314.0,19188.0,5912.0,1130.0,5611.0,925.0,1733.0,130046.0
2015,175464.0,44734.0,14897.0,148.0,4006.0,17081.0,4559.0,1003.0,3729.0,750.0,1170.0,83387.0
2014,90683.0,23811.0,8189.0,151.0,2369.0,8567.0,1939.0,760.0,2285.0,423.0,852.0,41337.0
2013,49352.0,13709.0,5687.0,98.0,1763.0,7255.0,1575.0,492.0,1745.0,411.0,685.0,15932.0
2012,43715.0,14234.0,4574.0,257.0,1481.0,6149.0,1618.0,399.0,1399.0,410.0,567.0,12627.0
2011,43684.0,12383.0,5106.0,274.0,1698.0,7194.0,1667.0,412.0,1430.0,544.0,647.0,12329.0
2010,46110.0,12158.0,6530.0,427.0,1804.0,8563.0,2036.0,918.0,1733.0,853.0,818.0,10270.0
2009,46648.0,10138.0,6112.0,113.0,1934.0,11743.0,1794.0,773.0,1821.0,1075.0,1094.0,10051.0
2008,43039.0,8388.0,6723.0,188.0,1651.0,10688.0,2473.0,952.0,1611.0,1130.0,923.0,8312.0
2007,43995.0,17175.0,5656.0,253.0,1722.0,6291.0,1959.0,981.0,1450.0,1071.0,922.0,6515.0
2006,32209.0,6103.0,6177.0,175.0,1634.0,5662.0,1742.0,874.0,1519.0,1032.0,1129.0,6162.0
2005,35701.0,6986.0,6740.0,234.0,1698.0,7115.0,1883.0,1228.0,1730.0,859.0,1088.0,6140.0
2004,39503.0,7206.0,8896.0,815.0,1958.0,6405.0,2279.0,1466.0,1724.0,833.0,1219.0,6702.0
2003,36265.0,6925.0,8293.0,2994.0,1723.0,5025.0,2010.0,845.0,1569.0,746.0,1249.0,4886.0
2002,32811.0,7103.0,8487.0,1463.0,1742.0,3958.0,1699.0,500.0,1463.0,549.0,961.0,4886.0
2001,,,,,,,,,,,,
2000,,,,,,,,,,,,
