年份,人民法院审理合同纠纷一审案件结案中其他案件数,人民法院审理借款合同一审案件结案中其他案件数,人民法院审理买卖合同一审案件结案中其他案件数,人民法院审理电信合同一审案件结案中其他案件数,人民法院审理租赁合同一审案件结案中其他案件数,人民法院审理劳动争议一审案件结案中其他案件数,人民法院审理房地产合同一审案件结案中其他案件数,人民法院审理供用动力合同一审案件结案中其他案件数,人民法院审理建设工程合同一审案件结案中其他案件数,人民法院审理农村承包合同一审案件结案中其他案件数,人民法院审理承揽合同一审案件结案中其他案件数,人民法院审理其他合同纠纷一审案件结案中其他案件数
2019,,,,,,,,,,,,
2018,,,,,,,,,,,,
2017,,,,,,,,,,,,
2016,116328.0,38333.0,16659.0,233.0,3445.0,13698.0,4354.0,202.0,4584.0,799.0,1919.0,32102.0
2015,110552.0,39059.0,16204.0,221.0,3503.0,12611.0,5121.0,241.0,5979.0,307.0,1949.0,25357.0
2014,75878.0,26016.0,11778.0,324.0,2579.0,8110.0,4326.0,61.0,3606.0,218.0,1871.0,16989.0
2013,65133.0,21907.0,10538.0,977.0,2138.0,7153.0,2468.0,99.0,2984.0,667.0,1573.0,14629.0
2012,55684.0,16339.0,8199.0,1071.0,1921.0,6446.0,3053.0,77.0,2255.0,187.0,1269.0,14867.0
2011,47326.0,12277.0,7692.0,1594.0,1421.0,5591.0,2896.0,831.0,1943.0,279.0,1317.0,11485.0
2010,44850.0,11937.0,8052.0,472.0,1524.0,6999.0,1305.0,340.0,1980.0,582.0,1349.0,10310.0
2009,49482.0,12657.0,10561.0,615.0,1965.0,7260.0,1786.0,358.0,2099.0,531.0,1610.0,10040.0
2008,53124.0,14675.0,10066.0,2224.0,1647.0,6618.0,2494.0,264.0,1951.0,540.0,1833.0,10812.0
2007,53323.0,20943.0,9119.0,2932.0,1414.0,3121.0,1885.0,315.0,1863.0,530.0,1710.0,9491.0
2006,42652.0,11458.0,9841.0,3150.0,1561.0,2883.0,1575.0,306.0,1723.0,860.0,1516.0,7779.0
2005,49726.0,12613.0,11796.0,3878.0,1689.0,2861.0,1910.0,449.0,1786.0,974.0,1776.0,9994.0
2004,53828.0,16011.0,12639.0,5138.0,1551.0,2566.0,2090.0,514.0,1634.0,1283.0,1555.0,8847.0
2003,58841.0,21891.0,12895.0,4461.0,1497.0,2139.0,1723.0,851.0,1476.0,1435.0,1342.0,9131.0
2002,55602.0,20778.0,12585.0,2775.0,1412.0,1525.0,1446.0,1033.0,1375.0,858.0,1181.0,10634.0
2001,,,,,,,,,,,,
2000,,,,,,,,,,,,
