年份,中国对拉丁美洲承包工程完成营业额,中国对安提瓜和巴布达承包工程完成营业额,中国对阿根廷承包工程完成营业额,中国对阿鲁巴岛承包工程完成营业额,中国对巴哈马承包工程完成营业额,中国对巴巴多斯承包工程完成营业额,中国对伯利兹承包工程完成营业额,中国对玻利维亚承包工程完成营业额,中国对博内尔承包工程完成营业额,中国对巴西承包工程完成营业额,中国对开曼群岛承包工程完成营业额,中国对智利承包工程完成营业额,中国对哥伦比亚承包工程完成营业额,中国对多米尼克承包工程完成营业额,中国对哥斯达黎加承包工程完成营业额,中国对古巴承包工程完成营业额,中国对库腊索岛承包工程完成营业额,中国对多米尼加共和国承包工程完成营业额,中国对厄瓜多尔承包工程完成营业额,中国对法属圭亚那承包工程完成营业额,中国对格林纳达承包工程完成营业额,中国对瓜德罗普岛承包工程完成营业额,中国对危地马拉承包工程完成营业额,中国对圭亚那承包工程完成营业额,中国对海地承包工程完成营业额,中国对洪都拉斯承包工程完成营业额,中国对牙买加承包工程完成营业额,中国对马提尼克岛承包工程完成营业额,中国对墨西哥承包工程完成营业额,中国对蒙特塞拉特承包工程完成营业额,中国对尼加拉瓜承包工程完成营业额,中国对巴拿马承包工程完成营业额,中国对巴拉圭承包工程完成营业额,中国对秘鲁承包工程完成营业额,中国对波多黎各承包工程完成营业额,中国对萨巴承包工程完成营业额,中国对圣卢西亚承包工程完成营业额,中国对圣马丁岛承包工程完成营业额,中国对圣文森特和格林纳丁斯承包工程完成营业额,中国对萨尔瓦多承包工程完成营业额,中国对苏里南承包工程完成营业额,中国对特立尼达和多巴哥承包工程完成营业额,中国对特克斯和凯科斯岛承包工程完成营业额,中国对乌拉圭承包工程完成营业额,中国对委内瑞拉承包工程完成营业额,中国对英属维尔京群岛承包工程完成营业额,中国对圣其茨-尼维斯承包工程完成营业额,中国对荷属安地列斯群岛承包工程完成营业额,中国对拉美其他国家(地区)承包工程完成营业额
2019,1163818,8631,161327,,2110,2065,,143034,,225237,,14086,26138,7594,13983,32000,0,6684,89466,,1468,,500,10628,,8634,22918,,90731,,4,34510,,110587,,,,,,0,3009,49834,,2247,96254,,,,
2018,1196689,2630,159097,,15361,5193,103.0,68905,,260900,,21289,26645,4655,14944,40401,0,730,123717,,1474,,3419,9672,,11547,24969,,55387,,90,31781,92.0,108553,,,,,,0,9758,11486,,1950,181665,,,,
2017,1291514,166,158003,,48724,4273,,46715,,185365,,16595,20473,3483,3560,25850,,3567,212748,,128,,1398,13979,,12722,18884,,74962,,409,29929,423.0,59341,,,,,,,3331,11622,,1428,332612,,,,
2016,1453965,1085,112859,,33519,456,,54937,,196329,,17941,37893,932,7575,44691,,1673,286223,,123,,1569,17595,242.0,7068,29681,,125078,,2443,9343,671.0,56907,,,,,,,17461,11244,,4246,369534,4560.0,0.0,,
2015,1640035,6320,217332,,29469,7,,26524,,202023,,19620,39564,66,7070,9162,,4473,328837,,1443,,1644,9147,,3933,38860,,90219,,3271,11141,1596.0,62566,,,,,,,2624,22525,,6395,494205,,,,
2014,1318059,11133,50205,,66672,46,30.0,32950,,150443,,11219,30827,923,5447,8667,,3272,240342,,3065,,1374,11211,142.0,401,46559,,55670,,11508,6994,903.0,41608,,,,,10.0,,2755,16373,,6458,500509,,0.0,,
2013,1330942,4657,38230,,46094,261,,15279,,188194,,11125,23559,576,2745,14425,,1537,202298,,58,,4774,4588,24220.0,2842,25920,,48552,,8491,8744,8.0,36291,,,,,875.0,,2693,10387,,6531,596708,,0.0,,
2012,1131631,1687,34801,,30894,278,,651,,164606,,11467,41643,4068,1641,8374,,1647,160815,,272,,11757,1798,,4350,24567,,45626,,,8448,103.0,35005,,,,,335.0,,7965,10741,,2833,515259,,,,
2011,791669,397,19279,,14126,843,,29645,,143868,,19471,8567,4568,2479,9194,,133,53853,,513,,9200,2411,441.0,1454,32356,,36620,,87,6748,21.0,21108,,,,,618.0,,6522,7921,,1079,358147,,,,
2010,627449,3423,10470,,2292,1180,926.0,205,,101997,,6888,8093,1720,5330,6991,,,21886,,700,,8484,688,,84,16178,,39047,,,3837,37.0,11071,,,,,466.0,,8121,16097,,3277,347961,,,,
