年份,中国对世界承包工程完成营业额
2019,17290137.0
2018,16904403.0
2017,16858661.0
2016,15941749.0
2015,15407423.0
2014,14241066.0
2013,13714273.0
2012,11659697.0
2011,10342448.0
2010,9217025.0
2009,7770611.0
2008,5661168.0
2007,4064258.0
2006,2999281.0
2005,2176324.0
2004,1746829.0
2003,1383736.0
2002,1119358.0
2001,889957.0
2000,837897.0
