年份,中国对非洲承包工程完成营业额,中国对阿尔及利亚承包工程完成营业额,中国对安哥拉承包工程完成营业额,中国对贝宁承包工程完成营业额,中国对博茨瓦纳承包工程完成营业额,中国对布隆迪承包工程完成营业额,中国对喀麦隆承包工程完成营业额,中国对加那利群岛承包工程完成营业额,中国对佛得角承包工程完成营业额,中国对中非承包工程完成营业额,中国对塞卜泰(休达)承包工程完成营业额,中国对乍得承包工程完成营业额,中国对科摩罗承包工程完成营业额,中国对刚果(布)承包工程完成营业额,中国对吉布提承包工程完成营业额,中国对埃及承包工程完成营业额,中国对赤道几内亚承包工程完成营业额,中国对埃塞俄比亚承包工程完成营业额,中国对加蓬承包工程完成营业额,中国对冈比亚承包工程完成营业额,中国对加纳承包工程完成营业额,中国对几内亚承包工程完成营业额,中国对几内亚(比绍)承包工程完成营业额,中国对科特迪瓦承包工程完成营业额,中国对肯尼亚承包工程完成营业额,中国对利比里亚承包工程完成营业额,中国对利比亚承包工程完成营业额,中国对马达加斯加承包工程完成营业额,中国对马拉维承包工程完成营业额,中国对马里承包工程完成营业额,中国对毛里塔尼亚承包工程完成营业额,中国对毛里求斯承包工程完成营业额,中国对摩洛哥承包工程完成营业额,中国对莫桑比克承包工程完成营业额,中国对纳米比亚承包工程完成营业额,中国对尼日尔承包工程完成营业额,中国对尼日利亚承包工程完成营业额,中国对留尼汪承包工程完成营业额,中国对卢旺达承包工程完成营业额,中国对圣多美和普林西比承包工程完成营业额,中国对塞内加尔承包工程完成营业额,中国对塞舌尔承包工程完成营业额,中国对塞拉利昂承包工程完成营业额,中国对索马里承包工程完成营业额,中国对南非承包工程完成营业额,中国对西撒哈拉承包工程完成营业额,中国对苏丹承包工程完成营业额,中国对坦桑尼亚承包工程完成营业额,中国对多哥承包工程完成营业额,中国对突尼斯承包工程完成营业额,中国对乌干达承包工程完成营业额,中国对布基纳法索承包工程完成营业额,中国对刚果(金)承包工程完成营业额,中国对赞比亚承包工程完成营业额,中国对津巴布韦承包工程完成营业额,中国对莱索托承包工程完成营业额,中国对梅利利亚承包工程完成营业额,中国对斯威士兰承包工程完成营业额,中国对厄立特里亚承包工程完成营业额,中国对马约特岛承包工程完成营业额,中国对南苏丹承包工程完成营业额,中国对非洲其他国家(地区)承包工程完成营业额
2019,4601260,633548,286588,24418,16828,8619,139905,,6671,8743,,73283,3247,36912,22901,318959,58197,249597,27101,7432,81703,121800,988,109277,416763,44020,2108,11482,15374,42572,29504,11815,33525,100144,44571,29965,459559,,30873,90,88416,2600,12831,,55788,,38128,128283,11941,9367,154038,1354,244650,257497,55569,7170,,,256,,24291,
2018,4883888,752146,454319,14370,25956,4078,125210,,2744,2253,,49833,2924,47705,30147,204560,54294,400179,16104,3717,113176,81987,287,85048,435274,19693,107,16740,8902,40072,18324,12418,68304,80422,45899,17158,404785,,28805,552,114290,1591,13611,1987.0,138142,,50046,107600,22518,11151,214767,4045,182015,270345,32033,1168,,,4023,,46064,
2017,5118786,784898,669326,8110,25281,2704,189239,,1694,1981,,62785,1457,74754,36605,154179,102500,552174,47548,1010,108511,61500,669,97663,372919,22136,5118,13270,8771,38323,22821,11720,37649,110875,69667,17150,310383,,19627,122,94765,1044,9193,1527.0,56880,,82125,102586,25729,21896,217429,27,149954,230749,30591,1441,,,12239,,35473,
2016,5146029,843421,433194,9291,30017,6297,151751,,806,1073,,96547,1757,216928,84088,228114,118268,470603,69496,519,114846,38617,1631,63977,454772,24981,3205,5935,8306,29981,14098,11051,76666,133231,69828,43483,261276,,15777,244,60022,2500,12683,3003.0,42091,,146050,152409,14424,13586,188990,77,117896,179045,44363,7579,,34.0,10191,,16015,0.0
2015,5478376,824061,495275,9159,31504,7146,141350,,2458,486,,71585,2225,297587,107188,201777,136854,589402,56413,734,140598,48642,3245,63005,384569,19873,17380,7484,9232,23462,28413,19824,113109,118750,76642,63689,348142,,21251,127,50037,3517,7928,224.0,45177,,154873,141471,21176,11067,155063,320,114388,178981,45789,12610,,,12487,,36614,0.0
2014,5297475,633429,639843,25616,29025,6789,123886,,4424,297,,111247,3640,253189,36871,92402,207670,683203,77985,496,153439,60925,2326,35319,169556,20577,15616,13812,9016,34099,29174,15105,60700,81471,36489,88152,453165,,23564,102,35526,7511,17881,49.0,39980,,181811,206965,25395,11717,111751,2585,144968,203020,30581,13011,,,12010,,20052,
2013,4789064,519762,745040,23658,40502,28122,114086,,2462,313,,114983,5188,187634,6497,102806,262767,355663,43712,313,177127,42618,3168,32876,144740,25017,56362,9522,8999,27783,22291,25242,36252,78628,22153,50777,427352,,14396,126,20290,6985,17018,,39544,,198435,170976,18021,13286,44209,39,93993,249050,98507,35581,,,11517,,12677,
2012,4083452,446553,755642,8766,74502,4593,63406,,1530,6960,,79807,3203,102858,3760,96904,179449,229168,84052,197,152503,31400,3459,9037,130637,30244,5257,14414,15715,44287,27867,36887,42317,29505,17941,43022,499481,,12384,93,24174,5421,8490,835.0,69538,,240345,114610,14404,10989,26899,108,96851,123381,38296,10365,,,3279,,,
2011,3612187,405255,634417,4076,156632,2456,33738,,1531,12242,,92371,2410,94131,3850,102372,180158,180874,40591,292,86269,13246,1666,2651,139053,7852,80423,12256,16651,53685,26474,20557,38135,22824,11018,55891,345969,,12950,36,35309,2316,7998,5.0,44594,,273502,98119,8408,9581,31578,135,78418,74817,39891,2379,,5.0,9700,,430,
2010,3583027,494736,496407,2524,158497,1435,13308,,1061,3663,,147476,1977,107768,2060,116881,174836,154966,28583,150,77077,12759,3284,4673,88512,10038,344930,11883,11555,38860,18586,13618,59041,38760,10567,89407,292981,,14173,25,20492,3064,3688,,36690,,233696,81153,5296,14802,15152,389,62767,40412,13805,1905,,,2659,,,
2009,2809899,587726,486189,2830,60471,563,12211,,1739,3462,,44511,1008,85864,6923,79735,133518,119583,19712,121,46048,7399,5607,2083,57076,4724,191251,15349,4847,26743,19075,7803,51100,32187,14934,32948,200352,,8142,43,14703,4384,2664,19.0,11818,,207843,54320,3886,5318,18902,23,62974,35361,6509,4014,,,3284,,,
2008,1974905,420227,322203,2030,40518,1269,6222,,431,2404,,13075,476,62925,1732,51379,71239,98252,1553,526,38806,7150,3439,1475,38693,3546,74118,21402,895,16325,5619,7546,28043,10012,7484,2217,161353,,4551,116,14004,3968,2804,10.0,24731,,262174,41688,2888,5353,15373,,28029,21792,15888,3275,,,3677,,,
2007,1237608,234031,115808,1700,26287,1105,9821,,262,1179,,5117,1824,22328,1254,39189,30657,59712,9162,1881,18938,8075,2518,2355,26540,1610,26301,4875,520,20842,10198,6913,30896,10100,6126,1306,138776,,3763,52,6230,2651,1853,261.0,17387,,220554,26478,2679,3553,18976,14,19172,22819,8664,1700,,,2596,,,
2006,932406,168609,99478,602,21902,1037,3527,,775,1753,,2180,1693,18543,796,33752,13784,31666,6140,1075,12590,8193,2291,1152,8237,809,22535,2296,502,20025,5120,5618,22549,12703,5720,4118,110496,,2173,29,6250,2303,3243,12.0,11972,,173817,26142,568,3882,7653,6,16293,14851,7530,1285,,,2131,,,
2005,609222,105043,30402,194,26384,238,1726,0.0,166,2362,,1796,483,11371,880,27650,7319,18218,4221,1392,8246,7495,2561,2592,3532,85,12787,2839,360,17658,3455,4092,4555,9615,3244,1901,77435,,949,19,3307,2089,1624,,7960,,132998,21012,1227,6089,5545,50,8271,3273,8932,1671,,,1854,,,
