年份,中国对亚洲承包工程完成营业额,中国对阿富汗承包工程完成营业额,中国对巴林承包工程完成营业额,中国对孟加拉国承包工程完成营业额,中国对不丹承包工程完成营业额,中国对文莱承包工程完成营业额,中国对缅甸承包工程完成营业额,中国对柬埔寨承包工程完成营业额,中国对塞浦路斯承包工程完成营业额,中国对朝鲜承包工程完成营业额,中国对中国香港承包工程完成营业额,中国对印度承包工程完成营业额,中国对印度尼西亚承包工程完成营业额,中国对伊朗承包工程完成营业额,中国对伊拉克承包工程完成营业额,中国对以色列承包工程完成营业额,中国对日本承包工程完成营业额,中国对约旦承包工程完成营业额,中国对科威特承包工程完成营业额,中国对老挝承包工程完成营业额,中国对黎巴嫩承包工程完成营业额,中国对中国澳门承包工程完成营业额,中国对马来西亚承包工程完成营业额,中国对马尔代夫承包工程完成营业额,中国对蒙古承包工程完成营业额,中国对尼泊尔承包工程完成营业额,中国对阿曼承包工程完成营业额,中国对巴基斯坦承包工程完成营业额,中国对巴勒斯坦承包工程完成营业额,中国对菲律宾承包工程完成营业额,中国对卡塔尔承包工程完成营业额,中国对沙特阿拉伯承包工程完成营业额,中国对新加坡承包工程完成营业额,中国对韩国承包工程完成营业额,中国对斯里兰卡承包工程完成营业额,中国对叙利亚承包工程完成营业额,中国对泰国承包工程完成营业额,中国对土耳其承包工程完成营业额,中国对阿联酋承包工程完成营业额,中国对也门共和国承包工程完成营业额,中国对越南承包工程完成营业额,中国对中国台湾承包工程完成营业额,中国对东帝汶承包工程完成营业额,中国对哈萨克斯坦承包工程完成营业额,中国对吉尔吉斯斯坦承包工程完成营业额,中国对塔吉克斯坦承包工程完成营业额,中国对土库曼斯坦承包工程完成营业额,中国对乌兹别克斯坦承包工程完成营业额,中国对亚洲其他国家承包工程完成营业额
2019,9814559,9094,777,530261,,95842,186295,277501,9,,636979,253864,870537,104580,414119,117498,36324,33464,257476,520725,177,132498,730343,109055,67100,63821,69384,967401,0,275952,50686,620768,354948,133503,222470,,287001,66849,512286,1043,394010,10322,25926,198174,26562,23957,33699,88881,
2018,9069440,4764,724,432206,,137187,116942,180102,,,592760,231541,609652,231551,255713,110789,33305,65199,273392,526468,79,250919,796480,63923,75721,45701,87897,1127117,0,197248,72739,521763,258199,40707,237954,766.0,335596,66728,361485,1134,280167,2997,35290,221357,21049,30848,27398,105564,
2017,8828857,5073,2198,314660,,71016,161406,176373,6,2.0,554531,246496,556185,205025,273809,113073,32778,66940,196352,422894,6371,278641,814615,41467,106814,29860,82085,1133799,0,188546,103368,634381,343707,36759,225245,62.0,338380,120443,249594,1457,287860,4061,35519,223838,47998,19042,25264,50320,
2016,7685147,4058,814,191623,,54793,191713,165598,11400,292.0,423313,182435,408870,224689,345464,23162,31249,3813,151314,294729,13,181538,474809,24705,74583,22279,80646,726809,0,166180,119875,948175,375551,33612,147677,254.0,293579,214547,224637,1591,332394,11935,23805,275779,55663,70787,31916,49111,13297.0
2015,6907010,1133,27,175184,,8653,189471,121396,113,1832.0,402744,267458,481528,159048,397661,15238,44346,8459,128114,321606,721,147710,356227,14380,93484,25302,44939,516289,0,204150,136173,701812,354079,27393,136871,1634.0,281007,133887,153943,3354,352317,3945,5315,234700,54857,64377,68921,61241,3444.0
2014,6483818,1630,265,177854,,3822,81856,96533,8191,9049.0,372760,253595,458443,222979,489810,9535,33406,1661,140063,232773,935,79792,310112,6866,114102,27283,30408,424619,0,134928,156402,594713,337607,39342,219139,941.0,183624,180958,115007,10485,398439,8702,2824,235768,58736,40931,124000,49772,3154.0
2013,6439758,43242,533,87710,,8766,126126,143077,625,12088.0,302814,528189,471874,218133,338070,4934,62094,4216,104947,196887,10206,41845,253013,1957,107163,49932,24229,370093,0,124668,166010,588411,280991,20152,209186,1418.0,131931,194266,133959,10544,359283,2616,11463,291714,71188,44456,209852,70579,4115.0
2012,5429281,15553,179,146176,,6257,219811,117150,2091,10667.0,278729,669331,346415,149418,170054,3254,46443,1774,72217,190523,3457,46594,237311,5653,84063,16658,29681,277832,,116112,151785,462231,288006,10164,153025,4813.0,107853,105698,154369,6623,299763,3746,13275,156766,35089,25244,130727,54730,
2011,5102172,5805,1519,207304,,4377,144684,82530,4005,5610.0,197255,744166,345935,215792,177328,244,24092,25339,65926,98918,1739,50157,214546,5395,65442,19143,58892,237277,,128502,112918,435846,252784,21088,125715,11946.0,66845,84201,193825,30225,319342,3580,12529,124237,20874,22792,96045,34916,542.0
2010,4265811,3766,8873,35500,,3843,133316,64818,4338,3018.0,159148,525532,351773,186068,67165,149,25781,11006,40754,57310,3743,113538,130840,825,25124,6667,45627,210848,,177258,104330,322705,226734,9871,76868,20143.0,46165,81928,297160,37252,310961,16515,5362,146447,15611,26459,73770,50042,860.0
2009,3981117,3449,6853,33862,,1953,83030,39782,5170,1801.0,179860,579396,264688,210376,35313,7055,18349,33527,21018,41294,,53413,115398,1322,50991,5417,27113,173330,0,56423,42364,359158,199893,61318,68569,20343.0,52682,123207,354167,46047,237106,4624,1352,140555,8704,33537,93323,75826,750.0
2008,2890266,4076,3478,25545,18.0,66,68278,35977,677,3349.0,168569,420856,223671,111434,9575,11863,21280,13508,11307,22530,,87900,75669,1250,25847,10761,16367,191586,,39463,41980,245371,132048,24969,38501,11614.0,48238,80812,210954,43758,192343,9624,1723,95943,12344,44481,31299,18149,1215.0
2007,2035295,7777,1983,38753,,530,43402,15367,450,722.0,199401,193955,121727,104122,9783,3393,19355,5976,8720,15658,120,117173,64985,362,38742,8072,10722,135568,0,42850,45784,127614,87439,17618,14360,3866.0,51942,34558,140293,23924,116972,3053,1700,104143,7100,17829,6843,17402,3044.0
2006,1377173,4654,8,48495,32.0,908,27789,9827,600,2874.0,175485,110271,70934,74886,5051,6205,13670,2785,9913,15192,1193,79227,43012,186,25813,5167,10098,90063,,18898,29505,102082,83253,32149,13039,9163.0,62518,8699,88918,16557,55202,18191,911,58315,5511,3560,5554,6374,3750.0
2005,931788,5565,,60815,14.0,934,28672,12312,233,2634.0,178277,40100,52363,64086,1136,5457,9953,3982,15877,16953,1181,37280,22647,791,18032,1442,8634,66088,0,17925,1643,31729,76758,21215,8926,1810.0,30099,7170,28039,8751,27530,8151,768,36918,15863,739,1664,6834,5456.0
2004,814158,3452,12,51426,38.0,296,33120,6215,2170,3487.0,254278,23773,26303,37195,888,1543,5335,5459,10298,13284,38,21776,21394,125,23872,3875,3345,57423,,12660,664,11634,65626,10482,9351,1215.0,16556,4464,32170,6964,27784,2548,,10914,12485,1329,5980,4529,1620.0
2003,692664,519,1,34882,,,37074,3542,2796,487.0,263732,8485,14414,32844,12843,786,2739,3426,798,10189,2271,17041,23308,,17073,2424,1011,61473,,10082,1482,3485,49933,9101,10413,684.0,11411,1895,13331,5644,16148,4897,,21023,10363,646,7290,6068,
2002,573791,,,40024,,35,28805,5756,1028,255.0,213750,5764,8134,38208,14506,1086,5004,5492,121,13677,,7934,12827,79,5485,2243,,35455,,7348,2621,5323,54026,893,5496,2260.0,18428,2339,5823,6513,14700,2047,,24072,1265,30,6027,2063,
2001,466288,,,34298,,220,24909,3527,1480,1397.0,169976,1360,2704,19962,10264,1243,1855,882,755,10068,,6411,7059,88,2053,4925,277,42044,0,6809,3720,3059,51104,527,4761,17898.0,11499,623,2511,5986,9491,239,,14369,2182,415,7332,1274,
2000,479477,,,22042,,955,17848,1866,1226,1274.0,202782,919,1196,36029,7876,672,1513,1300,5203,9077,5,9789,9478,1,1778,5201,2255,32042,0,4026,953,1588,65421,37,5809,448.0,8645,473,2638,9636,6715,446,,4418,825,388,3188,1329,
