年份,中国对大洋洲及太平洋岛屿承包工程完成营业额,中国对澳大利亚承包工程完成营业额,中国对库克群岛承包工程完成营业额,中国对斐济承包工程完成营业额,中国对盖比群岛承包工程完成营业额,中国对瑙鲁承包工程完成营业额,中国对新喀里多尼亚承包工程完成营业额,中国对瓦努阿图承包工程完成营业额,中国对新西兰承包工程完成营业额,中国对诺福克岛承包工程完成营业额,中国对巴布亚新几内亚承包工程完成营业额,中国对社会群岛承包工程完成营业额,中国对所罗门群岛承包工程完成营业额,中国对汤加承包工程完成营业额,中国对土布艾群岛承包工程完成营业额,中国对萨摩亚承包工程完成营业额,中国对基里巴斯承包工程完成营业额,中国对图瓦卢承包工程完成营业额,中国对密克罗尼西亚承包工程完成营业额,中国对马绍尔群岛承包工程完成营业额,中国对帕劳共和国承包工程完成营业额,中国对法属波利尼西亚承包工程完成营业额,中国对瓦利斯和浮图纳承包工程完成营业额,中国对大洋洲其他国家(地区)承包工程完成营业额
2019,520718,391614,,17474,,0,,9290,24921,,71928,,0,14,,2574,,,642,16,,,,
2018,506632,400216,1052.0,22167,,,1200.0,8880,19905,,49128,,0,170,,1143,0.0,0.0,501,,,,,
2017,450601,337472,1035.0,18441,,,,13921,15816,,55698,,0,3311,,2167,0.0,,425,,0.0,,,
2016,407936,292578,2150.0,14171,,,,14005,20671,,54491,,0,4492,,3842,0.0,,,,0.0,,,
2015,222313,121217,1600.0,15380,,,90.0,4433,11749,,60010,,,2177,,4165,0.0,,902,,,,,0.0
2014,224761,114742,837.0,12904,,,220.0,5387,14815,,70426,,,1832,,1559,,,258,,,,,0.0
2013,204927,125061,16.0,14133,,,4100.0,537,9578,,45055,,,4711,,229,,,,,,,,0.0
2012,206900,105994,15.0,17775,,,4413.0,1699,5277,,38985,,,9971,,182,,,,,,,,
2011,232265,94474,15.0,13664,,,5710.0,678,3826,,100171,,,9806,,3531,,,390,,,,,
2010,153039,93323,120.0,14166,,,12762.0,1087,2884,,20157,,,5390,,3119,,,31,,,,,
2009,200578,112396,1604.0,5774,,,8714.0,127,3642,,63591,,,2310,,1469,,,510,,,0.0,,
2008,106830,65370,153.0,1904,,,40.0,266,4386,,31752,,,800,,935,,,945,,,0.0,,
2007,41838,20046,68.0,918,,,,453,743,,18063,,,188,,759,,,172,300,,0.0,,
2006,30681,19926,230.0,1057,,,,14,2829,,2876,,,180,,721,,,478,2370,,,,
2005,7035,1738,64.0,1279,,,,164,206,,2036,,,236,,900,,,361,51,,,,
2004,9474,2235,363.0,3572,,,,383,356,,1323,0.0,,576,,90,0.0,,274,15,0.0,0.0,0.0,
2003,5564,1726,76.0,1588,,,,33,3,,1123,,,186,,,0.0,,595,,0.0,,,
2002,9116,3703,,2464,,,,,216,,1303,,,345,,,0.0,,601,,0.0,,,
2001,10487,2326,,793,,,,21,1084,,4006,,,311,,48,0.0,,1180,,0.0,,,
2000,12322,1131,,428,0.0,,,,60,,5003,,,55,,141,0.0,,1426,16,0.0,,,
