年份,中国对北美洲承包工程完成营业额,中国对加拿大承包工程完成营业额,中国对美国承包工程完成营业额,中国对格陵兰承包工程完成营业额,中国对百慕大承包工程完成营业额,中国对北美洲其他国家(地区)承包工程完成营业额
2019,127013,24185,102815,13,,
2018,245715,13262,232447,6,,
2017,237285,13859,223413,13,,
2016,231590,8708,222280,,,602.0
2015,281411,10663,270429,5,,314.0
2014,201736,12412,188912,,,411.0
2013,125919,35885,89425,,,609.0
2012,100694,6777,93654,43,,
2011,142232,16484,125204,5,28.0,511.0
2010,88832,5025,83607,,200.0,
2009,93595,10123,83472,,,
2008,58825,4363,54462,,,
2007,98526,12793,85207,,,526.0
2006,120856,6675,114181,,,
2005,43246,2388,40858,,,
2004,24872,1195,23677,,,
2003,16105,740,15365,,,
2002,57304,1364,55940,,,
2001,24542,645,23897,,,
2000,12914,375,12539,,,
