年份,中国对其他国家(地区)承包工程完成营业额
2019,
2018,466.0
2017,
2016,218500.0
2015,
2014,160.0
2013,926.0
2012,
2011,1881.0
2010,144.0
2009,3540.0
2008,863.0
2007,4609.0
2006,4532.0
2005,8895.0
2004,8055.0
2003,27309.0
2002,19025.0
2001,3990.0
2000,3817.0
