年份,外债余额,国家外债余额中外国政府贷款,国家外债余额中国际金融组织贷款,国家外债余额中国际商业贷款,国家外债余额中贸易信贷,国家外债余额中长期债务余额,国家外债余额中短期债务余额,国家外债偿债率,国家外债负债率,国家外债债务率
2019,20572.8,,,,,8519.68,12053.1,6.7,14.3229865622461,77.8
2018,19827.5,,,,,6936.0,12891.5,5.5,14.2727288203793,74.8
2017,17579.6,,,,,6127.2,11452.4,5.5,14.2654834100307,72.6
2016,14158.0,,,,,5497.6,8660.4,6.1,12.5994508002531,64.4
2015,13829.8,,,,,4955.7,8874.1,5.0,12.5020149315329,58.6
2014,17799.0,232.2,421.4,4957.0,3344.0,4817.0,12982.0,2.6,16.9880342723192,69.9
2013,8631.67,265.15127,332.79616,4668.71915,3365.0,1865.42,6766.25,1.6,9.018866688523,35.6
2012,7369.86,310.45,340.98,3803.43,2915.0,1960.57,5409.29,1.6,8.63785449886739,32.8
2011,6949.97,333.0,350.0,3774.97,2492.0,1940.96,5009.01,1.7,9.20332655518033,33.3
2010,5489.38,320.84,355.46,2701.08,2112.0,1732.43,3756.95,1.6,9.01812503321247,29.2
2009,4286.47,349.23,333.75,1986.49,1617.0,1693.88,2592.59,2.9,8.40160528432272,32.2
2008,3901.6,324.73,270.54,2010.34,1296.0,1638.76,2262.8,1.8,8.49139399695406,24.7
2007,3892.2,300.57,283.71,1820.9,1487.0,1535.3,2356.9,2.0,10.962253451135,29.0
2006,3385.9,276.67,278.11,1635.1,1196.0,1393.6,1992.3,2.1,12.3029068189948,31.9
2005,2965.4,272.0,267.9,1362.6,1063.0,1249.0,1716.4,3.1,12.9720389560263,35.4
2004,2629.9,322.08,251.01,1247.83,809.0,1242.9,1387.0,3.2,13.4497833789133,40.2
2003,2193.6,254.2,264.67,1051.73,365.74,1165.9,1027.7,6.9,13.2121692305453,45.2
2002,2026.3,244.23,277.02,929.1,263.23,1155.5,870.8,7.9,13.7790344437196,55.5
2001,2033.0,237.0,275.7,972.3,216.1,1195.3,837.7,7.5,15.1783063977103,67.9
2000,1457.3,246.1,263.5,947.7,,1326.5,130.8,9.2,12.0304151272286,52.1
