年份,中央财政债务余额,国内债务,国外债务
2019,168038.04,166032.13,2005.91
2018,149607.41,148208.62,1398.79
2017,134770.15,133447.43,1322.72
2016,120066.75,118811.24,1255.51
2015,106599.59,105467.48,1132.11
2014,95655.45,94676.31,979.14
2013,86746.91,85836.05,910.86
2012,77565.7,76747.91,817.79
2011,72044.51,71410.8,633.71
2010,67548.11,66987.97,560.14
2009,60237.68,59736.95,500.73
2008,53271.54,52799.32,472.22
2007,52074.65,51467.39,607.26
2006,35015.28,34380.24,635.02
2005,32614.21,31848.59,765.52
2004,,,
2003,,,
2002,,,
2001,,,
2000,,,
