年份,农村居民低收入户人均消费总支出,农村居民低收入户人均食品总支出,农村居民低收入户人均衣着总支出,农村居民低收入户人均居住总支出,农村居民低收入户人均家庭设备及用品总支出,农村居民低收入户人均医疗保健总支出,农村居民低收入户人均交通通信总支出,农村居民低收入户人均文教娱乐总支出,农村居民低收入户人均其他总支出,农村居民低收入户人均消费现金支出,农村居民低收入户人均食品现金支出,农村居民低收入户人均衣着现金支出,农村居民低收入户人均居住现金支出,农村居民低收入户人均家庭设备及用品现金支出,农村居民低收入户人均医疗保健现金支出,农村居民低收入户人均交通通信现金支出,农村居民低收入户人均文教娱乐现金支出,农村居民低收入户人均其他现金支出
2019,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2012,3742.253193,1620.317253,246.1015351,637.6585812,197.3776548,370.883714,360.25963,230.2442908,79.4105346,3262.102648,1173.214064,245.8664856,605.152904,197.120466,370.883714,360.25963,230.2442908,79.36109361
2011,3312.587592,1485.444997,208.5470272,572.2800036,172.5593777,312.5802286,292.0102546,202.3224029,66.84330021,2829.549174,1030.743031,208.2621744,544.4099593,172.3782084,312.5802286,292.0102546,202.3224029,66.84291542
2010,2535.35,1236.73,151.23,417.71,120.4,190.25,208.64,164.96,45.43,2022.51,756.45,150.84,385.9,120.04,190.25,208.64,164.96,45.43
2009,2354.92,1106.77,135.43,430.48,117.96,176.5,190.31,156.03,41.44,1898.5,673.71,134.7,408.16,117.65,176.5,190.31,156.03,41.44
2008,2144.78,1088.41,121.64,348.24,88.24,145.93,168.35,147.0,36.96,1674.0,645.14,121.22,321.49,87.91,145.93,168.35,147.0,36.96
2007,1850.59,932.16,110.99,285.61,74.47,124.76,143.7,144.92,33.98,1426.33,535.93,110.43,259.1,73.81,124.76,143.7,144.92,33.67
2006,1624.73,805.33,94.44,237.17,63.88,117.55,129.13,146.44,30.8,1238.96,445.81,93.66,212.4,63.38,117.55,129.13,146.44,30.59
2005,1548.3,796.26,87.98,205.88,59.6,106.45,111.19,155.49,25.45,1163.18,435.0,87.2,183.7,58.98,106.45,111.19,155.49,25.17
2004,1248.29,694.37,66.42,154.12,43.35,71.21,74.0,123.12,21.7,855.56,326.5,65.53,130.45,43.22,71.21,74.0,123.12,21.54
2003,1064.76,575.66,59.47,141.56,39.35,63.83,56.91,109.94,18.03,737.49,277.45,58.78,113.8,39.25,63.83,56.91,109.94,17.52
2002,1006.35,562.37,56.75,127.56,38.95,57.54,41.76,97.36,24.07,676.6,257.36,56.45,103.18,38.89,57.54,41.76,97.36,24.07
2001,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,
