年份,农村居民高收入户人均消费总支出,农村居民高收入户人均食品总支出,农村居民高收入户人均衣着总支出,农村居民高收入户人均居住总支出,农村居民高收入户人均家庭设备及用品总支出,农村居民高收入户人均医疗保健总支出,农村居民高收入户人均交通通信总支出,农村居民高收入户人均文教娱乐总支出,农村居民高收入户人均其他总支出,农村居民高收入户人均消费现金支出,农村居民高收入户人均食品现金支出,农村居民高收入户人均衣着现金支出,农村居民高收入户人均居住现金支出,农村居民高收入户人均家庭设备及用品现金支出,农村居民高收入户人均医疗保健现金支出,农村居民高收入户人均交通通信现金支出,农村居民高收入户人均文教娱乐现金支出,农村居民高收入户人均其他现金支出
2019,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2012,10275.30276,3622.695714,717.8248642,1952.784364,618.4006561,737.1217544,1418.832114,918.9303306,288.7129641,9836.163764,3217.423356,717.6224869,1919.605697,617.9970019,737.1217544,1418.832114,918.9303306,288.6310229
2011,9149.573841,3264.359759,618.4128044,1863.735797,560.2322596,645.1762615,1144.095387,815.6657334,237.8958389,8710.98986,2860.492763,618.076501,1829.598031,560.007009,645.1762615,1144.095387,815.6657334,237.8781735
2010,8190.38,2828.41,496.87,1787.91,435.15,589.87,1073.82,782.23,196.12,7710.01,2384.35,496.26,1752.64,434.79,589.87,1073.82,782.23,196.04
2009,7485.71,2601.79,436.5,1731.07,384.65,521.12,910.75,722.31,177.53,7008.86,2171.86,435.95,1685.1,384.26,521.12,910.75,722.31,177.53
2008,6853.69,2521.54,397.04,1518.67,342.96,451.47,806.13,662.17,153.71,6364.4,2082.32,396.05,1470.15,342.41,451.47,806.13,662.17,153.7
2007,5994.43,2202.97,361.34,1227.69,299.87,374.25,717.92,654.56,155.83,5558.8,1804.31,360.51,1192.25,299.54,374.25,717.92,654.56,155.46
2006,5276.75,1965.71,320.69,1011.6,256.77,359.03,626.46,608.64,127.85,4883.37,1605.19,320.05,980.04,256.34,359.03,626.46,608.64,127.63
2005,4593.05,1807.58,276.18,758.16,224.14,305.1,539.37,571.45,111.06,4195.87,1440.14,275.66,729.49,224.04,305.1,539.37,571.45,110.62
2004,4129.12,1614.88,231.71,760.74,202.25,251.21,469.55,492.68,106.1,3710.55,1221.55,231.17,736.46,202.07,251.21,469.55,492.68,105.85
2003,3755.57,1429.05,214.06,726.39,181.74,228.51,412.72,465.45,97.65,3393.49,1097.2,213.63,696.98,181.62,228.51,412.72,465.45,97.39
2002,3500.08,1354.31,198.89,704.75,168.51,201.72,321.4,416.88,133.63,3130.61,1014.25,198.25,676.42,168.06,201.72,321.4,416.88,133.63
2001,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,
