年份,农村居民中等收入户人均消费总支出,农村居民中等收入户人均食品总支出,农村居民中等收入户人均衣着总支出,农村居民中等收入户人均居住总支出,农村居民中等收入户人均家庭设备及用品总支出,农村居民中等收入户人均医疗保健总支出,农村居民中等收入户人均交通通信总支出,农村居民中等收入户人均文教娱乐总支出,农村居民中等收入户人均其他总支出,农村居民中等收入户人均消费现金支出,农村居民中等收入户人均食品现金支出,农村居民中等收入户人均衣着现金支出,农村居民中等收入户人均居住现金支出,农村居民中等收入户人均家庭设备及用品现金支出,农村居民中等收入户人均医疗保健现金支出,农村居民中等收入户人均交通通信现金支出,农村居民中等收入户人均文教娱乐现金支出,农村居民中等收入户人均其他现金支出
2019,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2012,5430.316628,2197.422794,358.3736561,990.7175267,319.0686208,499.1290539,546.9160021,386.7864531,131.9025219,4912.648206,1712.186401,358.08672,958.9477676,318.7106966,499.1290539,546.9160021,386.7864531,131.8851111
2011,4817.907102,2010.655422,309.259539,856.9780598,289.3008125,421.607286,476.1093686,344.3279027,109.6687122,4309.406708,1534.600003,308.9567573,825.1117382,289.0249398,421.607286,476.1093686,344.3279027,109.6687122
2010,3963.8,1718.02,239.11,718.39,220.73,295.09,372.32,318.05,82.09,3426.35,1216.33,238.54,683.82,220.12,295.09,372.32,318.05,82.08
2009,3546.04,1549.73,209.5,655.38,178.46,256.27,327.66,296.09,72.95,3038.11,1075.7,208.89,622.45,178.1,256.27,327.66,296.09,72.95
2008,3286.44,1526.96,192.2,538.77,155.31,224.18,302.35,277.07,69.6,2763.83,1043.19,191.63,500.84,154.98,224.18,302.35,277.07,69.6
2007,2938.47,1326.59,176.84,495.62,133.84,192.8,284.97,263.34,64.48,2461.61,888.42,175.66,458.66,133.53,192.8,284.97,263.34,64.23
2006,2567.92,1154.77,150.04,406.59,110.13,173.17,243.26,272.89,57.08,2138.3,758.46,149.42,374.64,109.54,173.17,243.26,272.89,56.92
2005,2327.69,1120.87,132.39,313.19,95.84,148.11,206.96,262.18,48.16,1871.0,696.97,131.88,282.23,94.81,148.11,206.96,262.18,47.86
2004,1951.46,986.11,107.61,253.2,71.35,117.37,153.49,220.05,42.27,1499.33,564.49,107.0,223.88,71.0,117.37,153.49,220.05,42.05
2003,1732.74,840.82,97.7,240.93,66.33,104.25,128.85,218.34,35.52,1348.63,490.39,96.78,208.68,66.17,104.25,128.85,218.34,35.16
2002,1645.04,808.99,93.98,244.14,67.77,90.73,100.5,193.28,45.65,1256.75,451.97,93.61,213.35,67.66,90.73,100.5,193.28,45.65
2001,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,
