年份,农村居民中等偏上收入户人均消费总支出,农村居民中等偏上收入户人均食品总支出,农村居民中等偏上收入户人均衣着总支出,农村居民中等偏上收入户人均居住总支出,农村居民中等偏上收入户人均家庭设备及用品总支出,农村居民中等偏上收入户人均医疗保健总支出,农村居民中等偏上收入户人均交通通信总支出,农村居民中等偏上收入户人均文教娱乐总支出,农村居民中等偏上收入户人均其他总支出,农村居民中等偏上收入户人均消费现金支出,农村居民中等偏上收入户人均食品现金支出,农村居民中等偏上收入户人均衣着现金支出,农村居民中等偏上收入户人均居住现金支出,农村居民中等偏上收入户人均家庭设备及用品现金支出,农村居民中等偏上收入户人均医疗保健现金支出,农村居民中等偏上收入户人均交通通信现金支出,农村居民中等偏上收入户人均文教娱乐现金支出,农村居民中等偏上收入户人均其他现金支出
2019,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2012,6924.194993,2672.60148,466.0735106,1341.215209,406.6762453,595.7029616,732.4506797,533.1059049,176.3690021,6421.319704,2203.08664,465.8347871,1308.402533,406.4174108,595.7029616,732.4506797,533.1059049,176.3187863
2011,6002.881181,2395.458279,400.7208319,1086.920951,373.3086049,496.6436779,634.0545507,471.5219394,144.2523464,5501.864237,1929.182374,400.5212665,1052.553053,373.1392081,496.6436779,634.0545507,471.5219394,144.2481674
2010,5025.58,2047.57,305.24,934.9,276.77,381.04,525.49,446.1,108.47,4482.87,1543.72,304.31,897.4,276.34,381.04,525.49,446.1,108.46
2009,4591.81,1861.7,268.68,894.63,247.96,333.69,469.44,416.04,99.68,4081.23,1389.63,268.19,856.83,247.72,333.69,469.44,416.04,99.68
2008,4191.25,1815.7,247.56,764.25,205.27,273.53,410.75,383.47,90.72,3665.04,1332.29,246.83,722.66,204.79,273.53,410.75,383.47,90.71
2007,3682.73,1572.02,221.57,645.29,176.83,238.84,385.3,354.97,87.91,3196.3,1126.9,220.78,605.39,176.56,238.84,385.3,354.97,87.55
2006,3230.35,1367.76,193.74,517.86,147.51,209.52,348.0,371.64,74.32,2790.07,965.27,192.95,481.59,147.0,209.52,348.0,371.64,74.09
2005,2879.06,1297.26,167.51,411.45,127.6,183.52,281.55,345.17,65.0,2438.79,888.15,166.89,381.64,127.42,183.52,281.55,345.17,64.46
2004,2459.55,1167.53,136.4,345.63,96.36,149.43,217.61,292.14,54.46,1998.29,738.42,135.83,314.45,96.18,149.43,217.61,292.14,54.23
2003,2189.27,999.23,125.64,339.43,90.53,124.85,183.21,276.81,49.56,1797.81,642.21,124.53,307.97,89.05,124.85,183.21,276.81,49.17
2002,2086.61,949.52,122.86,336.15,93.32,116.49,153.64,246.81,67.83,1703.42,598.69,122.32,304.61,93.04,116.49,153.64,246.81,67.83
2001,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,
