年份,农村居民中等偏下收入户人均消费总支出,农村居民中等偏下收入户人均食品总支出,农村居民中等偏下收入户人均衣着总支出,农村居民中等偏下收入户人均居住总支出,农村居民中等偏下收入户人均家庭设备及用品总支出,农村居民中等偏下收入户人均医疗保健总支出,农村居民中等偏下收入户人均交通通信总支出,农村居民中等偏下收入户人均文教娱乐总支出,农村居民中等偏下收入户人均其他总支出,农村居民中等偏下收入户人均消费现金支出,农村居民中等偏下收入户人均食品现金支出,农村居民中等偏下收入户人均衣着现金支出,农村居民中等偏下收入户人均居住现金支出,农村居民中等偏下收入户人均家庭设备及用品现金支出,农村居民中等偏下收入户人均医疗保健现金支出,农村居民中等偏下收入户人均交通通信现金支出,农村居民中等偏下收入户人均文教娱乐现金支出,农村居民中等偏下收入户人均其他现金支出
2019,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2012,4464.341265,1902.729601,287.5933944,775.1854914,250.0819342,439.1205178,412.6926862,294.2226722,102.7149684,3946.116801,1415.987626,287.3299763,744.2267641,249.8367017,439.1205178,412.6926862,294.2226722,102.6998571
2011,3962.292779,1729.889748,250.3652588,677.508529,225.2895316,372.6972445,354.6737552,267.1951775,84.67353394,3462.63833,1260.020145,250.1283061,648.3235531,224.9266141,372.6972445,354.6737552,267.1951775,84.67353394
2010,3219.47,1464.57,190.64,562.21,174.04,246.69,281.12,235.15,65.05,2685.76,963.32,189.81,531.35,173.27,246.69,281.12,235.15,65.05
2009,2870.95,1317.21,164.29,534.42,141.88,209.89,240.36,210.47,52.43,2376.88,850.93,163.72,507.49,141.59,209.89,240.36,210.47,52.43
2008,2652.77,1293.7,149.34,428.34,122.55,187.27,224.25,194.58,52.74,2151.88,826.1,148.24,396.51,122.2,187.27,224.25,194.58,52.73
2007,2357.9,1128.45,139.25,374.11,99.27,162.69,207.53,197.16,49.45,1895.21,699.08,138.23,342.49,98.83,162.69,207.53,197.16,49.21
2006,2039.13,979.77,118.17,296.43,85.84,137.24,178.42,202.08,41.17,1618.85,590.75,117.5,266.48,85.39,137.24,178.42,202.08,40.98
2005,1913.07,950.12,108.71,249.8,76.22,128.52,153.74,209.39,36.57,1486.85,553.85,108.04,221.4,75.68,128.52,153.74,209.39,36.23
2004,1580.99,841.12,84.35,199.93,57.05,91.65,109.3,167.73,29.86,1150.04,438.4,83.92,172.67,56.66,91.65,109.3,167.73,29.71
2003,1377.56,714.11,77.69,180.85,51.55,81.7,84.09,161.37,26.21,1004.16,372.72,77.07,149.98,51.45,81.7,84.09,161.37,25.78
2002,1310.33,686.76,74.23,174.75,52.83,74.88,67.65,145.5,33.74,941.79,347.68,73.74,145.86,52.74,74.88,67.65,145.5,33.74
2001,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,
