年份,社会消费品零售总额
2019,408017.188102277
2018,377783.140718101
2017,347326.725794012
2016,315806.151510783
2015,286587.806585259
2014,259487.340278598
2013,232252.584482335
2012,205517.337617667
2011,179803.825862074
2010,152083.082991577
2009,128331.331638447
2008,110994.562579118
2007,90638.3819555625
2006,76827.1630853075
2005,66491.6916544277
2004,58004.1057252206
2003,51303.9399703252
2002,47124.615733103
2001,42240.4446672484
2000,38447.0519713899
