年份,居住类居民消费价格指数(上年=100),建房及装修材料类居民消费价格指数(上年=100),住房租金类居民消费价格指数(上年=100),自有住房类居民消费价格指数(上年=100),水电燃料类居民消费价格指数(上年=100)
2019,,,,,
2018,,,,,
2017,,,,,
2016,,,,,
2015,100.71653,100.01476,102.64547,102.10049,98.01855
2014,102.0,101.0,103.3,103.0,100.7
2013,102.8,101.2,104.1,103.8,101.6
2012,102.14622646,101.04217655,102.73699893,102.30036807,102.44556
2011,105.291229,104.68469944,105.34661429,106.54198597,103.48552936
2010,104.4651,103.25241,104.93745,103.56064,105.48046
2009,96.39608,100.16658,101.59239,85.25398,97.91364
2008,105.54056,107.05442,103.50457,102.79412,106.43356
2007,104.47378,105.14546,104.17169,107.03362,103.02039
2006,104.64088,103.88369,102.73744,103.73612,105.85389
2005,105.437,102.6316,101.858,105.5687,108.5567
2004,104.8697,104.2693,103.013,100.9188,107.4616
2003,102.0883,99.5104,103.5336,99.0547,105.7199
2002,99.9366,98.3619,104.412,95.3842,102.8857
2001,101.1504,98.8042,108.6382,100.0075,102.4881
2000,104.8,98.5,109.2,101.9,107.7
