年份,衣着类居民消费价格指数(上年=100),服装类居民消费价格指数(上年=100),衣着材料类居民消费价格指数(上年=100),鞋袜帽类居民消费价格指数(上年=100),衣着加工服务费类居民消费价格指数(上年=100)
2019,,,,,
2018,,,,,
2017,,,,,
2016,,,,,
2015,102.72746,102.76726,101.60247,102.54931,105.23271
2014,102.4,102.6,102.28829448,101.9,105.22234007
2013,102.3,102.4,102.24159965,101.6,106.81100252
2012,103.12750801,103.3311582,103.52391412,102.33135966,107.07482556
2011,102.12294108,102.40178753,109.18784732,100.66475728,107.33484868
2010,99.02176,99.10114,102.95587,98.19392,102.8859
2009,97.98759,97.8221,100.91525,97.80647,103.51727
2008,98.50116,98.32709,102.37006,98.22909,104.14547
2007,99.4309,99.44046,101.62266,99.01077,102.26789
2006,99.43146,99.02929,100.49756,100.24812,101.5054
2005,98.3133,98.1481,100.0161,98.2587,101.0932
2004,98.4758,98.3476,100.1662,98.348,100.6504
2003,97.7756,97.6366,99.1768,97.7306,100.1277
2002,97.6383,97.3582,98.9006,98.0292,99.9049
2001,98.1216,97.6422,98.8465,98.9672,100.287
2000,99.1,99.1,98.3,99.8,
