年份,烟酒及用品类居民消费价格指数(上年=100),烟草类居民消费价格指数(上年=100),酒类居民消费价格指数(上年=100)
2019,,,
2018,,,
2017,,,
2016,,,
2015,102.14766,104.25922,99.17225
2014,99.4,100.2,98.2
2013,100.3,100.4,100.3
2012,102.86544983,100.50052732,106.31651999
2011,102.83958905,100.34037447,106.71849907
2010,101.61546,100.48048,103.64094
2009,101.51069,100.35054,103.42916
2008,102.89999,100.37998,107.4728
2007,101.6978,100.80125,103.50212
2006,100.58914,100.18281,101.23462
2005,100.4152,100.4233,100.5651
2004,101.2293,100.8569,102.2426
2003,99.849,99.7586,100.117
2002,99.9317,99.8662,100.1172
2001,99.7066,99.5833,99.8977
2000,,97.0,
