年份,交通和通信类居民消费价格指数(上年=100),交通类居民消费价格指数(上年=100),交通工具类居民消费价格指数(上年=100),车用燃料及零配件类居民消费价格指数(上年=100),车辆使用及维修费类居民消费价格指数(上年=100),市区公共交通费类居民消费价格指数(上年=100),城市间交通费类居民消费价格指数(上年=100),通信类居民消费价格指数(上年=100),通信工具类居民消费价格指数(上年=100),通信服务类居民消费价格指数(上年=100)
2019,,,,,,,,,,
2018,,,,,,,,,,
2017,,,,,,,,,,
2016,,,,,,,,,,
2015,98.29541,97.53389,98.29622,84.19442,102.72399,103.99256,100.27782,99.4816,96.92046,99.8546
2014,99.9,100.2,99.17005582,98.71888042,102.9648414,101.24854012,101.41079361,99.4,95.71281366,99.9384821
2013,99.6,100.2,98.80582496,99.35134474,104.02517636,100.87762077,101.02857843,98.8,91.81912351,99.91080336
2012,99.88183007,101.16058562,99.2057681,102.86148016,104.51088803,101.41461574,101.63408707,97.99493132,87.76185042,99.92279507
2011,100.50242129,102.63936669,99.02646554,111.6593145,103.81471568,101.74622562,102.72771657,97.50691942,87.04604176,99.765689
2010,99.64886,101.67216,98.66955,111.47997,101.67363,100.66998,101.671,97.28782,86.46133,99.68288
2009,97.55447,98.63866,98.01674,92.80658,101.13399,100.60708,100.54598,96.26804,81.73332,99.50569
2008,99.07531,102.15781,98.37531,113.5137,100.7825,100.54164,104.30414,95.56386,80.73993,98.82554
2007,99.07475,100.81928,97.74767,103.53616,102.43634,101.31741,102.9889,97.12932,81.75699,100.60875
2006,99.90508,103.22925,97.80608,112.7706,102.38078,104.79348,105.61769,96.37632,82.21035,99.97484
2005,99.0111,101.4644,97.2544,110.3454,101.9573,102.1816,103.2649,96.6232,84.0887,99.6473
2004,98.521,100.3613,96.4523,107.7155,101.0353,101.0143,102.5092,96.7923,84.2751,99.8225
2003,97.7976,99.5079,95.8661,108.2751,98.8647,100.6208,101.4324,96.1244,82.1221,99.3925
2002,98.0927,99.0712,94.9928,98.5383,99.9776,101.9169,101.7839,97.1564,83.5381,100.2725
2001,99.0014,101.0069,96.4438,99.024,100.4067,105.8162,103.9809,96.8395,80.5191,101.0508
2000,93.8,93.8,95.9,,,,,,89.9,
