年份,娱乐教育文化用品及服务类居民消费价格指数(上年=100),文娱用耐用消费品及服务类居民消费价格指数(上年=100),教育类居民消费价格指数(上年=100),教材及参考书类居民消费价格指数(上年=100),学杂托幼费类居民消费价格指数(上年=100),文化娱乐类居民消费价格指数(上年=100),文化娱乐用品居民消费价格指数(上年=100),书报杂志类居民消费价格指数(上年=100),文娱费类居民消费价格指数(上年=100),旅游类居民消费价格指数(上年=100)
2019,,,,,,,,,,
2018,,,,,,,,,,
2017,,,,,,,,,,
2016,,,,,,,,,,
2015,101.44223,98.51665,102.65015,101.15864,,101.76771,100.32433,105.35299,101.35374,99.52127
2014,101.9,97.3,102.4,101.31696101,,101.3,100.28191875,101.59633137,101.79440854,105.0
2013,101.8,96.3,102.7,102.31748724,,101.4,100.17681128,101.04293431,102.38107936,104.0
2012,100.51223885,94.47902408,101.71979369,101.70924815,,101.2775757,100.38462903,101.37996755,101.86697029,101.70960844
2011,100.37424523,93.65643999,101.32984727,101.14081277,,101.07827907,100.58744786,100.95878155,101.47460562,103.84863467
2010,100.62341,94.30937,101.40094,102.62949,101.3,100.97955,99.65366,100.60043,102.28458,104.91475
2009,99.3429,90.58293,101.56977,102.91285,101.4,102.54598,99.84156,107.61039,102.11114,97.50776
2008,99.33147,92.28782,100.53497,100.61142,100.5,101.29532,99.87816,102.09888,102.08463,101.05437
2007,99.01663,93.06225,99.56493,99.06944,99.6,101.03278,99.48236,100.69317,102.6619,102.33134
2006,99.52206,94.18446,100.02452,100.26601,100.0,101.03848,99.60905,100.70358,102.59437,103.09413
2005,102.2152,93.838,105.0653,100.8778,105.4,101.16,99.8151,100.7585,102.8714,99.5676
2004,101.2901,93.3416,103.3965,102.813,103.4,101.0603,99.3919,100.5645,103.2423,100.6475
2003,101.3259,92.671,104.3342,101.7276,104.5,101.2578,98.706,100.4413,104.6434,95.4167
2002,100.6144,90.4605,103.6833,98.9653,104.0,101.2402,98.8728,100.953,104.1901,95.9391
2001,106.6157,91.1676,113.628,106.107,114.1,101.7387,99.3938,101.9367,104.4181,100.3192
2000,97.4,92.0,,107.5,,101.7,99.5,104.6,108.2,
