年份,家庭设备用品及维修服务类居民消费价格指数(上年=100),耐用消费品类居民消费价格指数(上年=100),家具类居民消费价格指数(上年=100),家庭设备类居民消费价格指数(上年=100),室内装饰品类居民消费价格指数(上年=100),床上用品类居民消费价格指数(上年=100),家庭日用杂品类居民消费价格指数(上年=100),家庭服务及加工维修服务费类居民消费价格指数(上年=100)
2019,,,,,,,,
2018,,,,,,,,
2017,,,,,,,,
2016,,,,,,,,
2015,101.02009,99.96935,100.95723476,99.41919596,100.47453,100.15916,100.73264,106.61923
2014,101.2,100.3,101.48047204,99.66704809,100.0,100.00167321,100.8059513,107.3
2013,101.5,100.3,101.24947982,99.75073889,100.4,100.47001879,101.28385808,108.7
2012,101.93570036,100.35757288,101.25611924,99.87996659,100.77929797,100.43444548,102.60269004,109.71427611
2011,102.39409446,100.36603534,102.41712548,99.30891918,101.00545516,104.74996218,102.47536884,111.39255203
2010,99.98625,98.48113,100.4,97.4,99.93448,99.90087,100.2751,106.72596
2009,100.18234,98.14853,99.67330873,97.2966438,99.73928,98.77534,102.49933,105.22058
2008,102.82887,101.24527,102.25366559,100.65378865,100.2057,99.71724,104.915,109.02315
2007,101.93749,101.61369,101.90132604,101.44254168,100.30424,99.42924,101.74827,107.19991
2006,101.22026,100.84694,100.23647664,101.1999268,99.96636,99.55529,101.09159,105.76011
2005,99.8929,98.7657,99.2442,98.4912,99.4604,99.405,100.374,104.35
2004,98.6368,97.1037,98.8612,96.0988,99.1867,99.3051,99.8484,101.8716
2003,97.4151,95.8017,97.8853,94.637,98.826,98.4476,98.3029,101.0792
2002,97.4525,95.9487,97.7,95.0,98.7779,98.7242,97.9936,101.2419
2001,97.7361,96.1364,98.0,95.1,98.2503,99.3474,98.6091,101.5169
2000,97.7,96.6,97.4,96.2,98.6,98.7,98.2,99.4
