年份,食品类居民消费价格指数(上年=100),粮食类居民消费价格指数(上年=100),大米类居民消费价格指数(上年=100),面粉类居民消费价格指数(上年=100),淀粉及制品类居民消费价格指数(上年=100),干豆类及豆制品类居民消费价格指数(上年=100),油脂类居民消费价格指数(上年=100),肉禽及其制品类居民消费价格指数(上年=100),蛋类居民消费价格指数(上年=100),水产品类居民消费价格指数(上年=100),菜类居民消费价格指数(上年=100),鲜菜类居民消费价格指数(上年=100),调味品类居民消费价格指数(上年=100),糖类居民消费价格指数(上年=100),茶及饮料类居民消费价格指数(上年=100),茶叶类居民消费价格指数(上年=100),饮料类居民消费价格指数(上年=100),干鲜瓜果类居民消费价格指数(上年=100),鲜果类居民消费价格指数(上年=100),糕点饼干面包类居民消费价格指数(上年=100),液体乳及乳制品类居民消费价格指数(上年=100),在外用膳食品类居民消费价格指数(上年=100),其它食品类居民消费价格指数(上年=100)
2019,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,
2015,102.34042,102.01263,101.55669058,101.38203543,101.568991,102.39812877,96.84832,105.0149,93.04842,101.81305,106.82312,107.37269,103.76469791,100.42811376,101.56065952,101.71127292,101.48230103,97.60053,96.22313,101.48445806,98.93443806,102.72545,101.06764829
2014,103.1,103.1,101.2362442,103.14063568,102.16398725,103.97801671,95.1,100.4,110.4,104.4,99.2,98.52432031,103.12083596,100.1,101.8,101.88630476,101.78060147,114.1,117.96967852,101.8757785,108.5,103.33036265,101.57323841
2013,104.7,104.6,102.34312701,108.77896905,103.30095535,105.34930952,100.3,104.3,104.9,104.2,108.0,108.08603064,103.55705539,100.5,102.0,101.95046656,102.02746302,105.9,107.08782318,102.48945742,105.7,104.74398917,101.40589859
2012,104.84465994,103.95781835,103.99998757,102.58110884,103.16028232,102.007826,105.10443617,102.07444015,97.1474917,107.95965417,113.74846568,115.86589766,104.17543183,104.18337126,104.16850667,103.32804414,104.61107192,100.07248882,98.83373603,104.25537696,103.17778636,106.72374508,104.18008142
2011,111.7981733,112.22182055,114.20835849,109.41843129,115.85474178,105.37805984,113.4099719,122.61216663,114.23197272,112.06646239,101.05886039,100.48409576,105.54594424,111.20924568,103.9558192,103.91624935,103.97665757,115.92388577,116.40800023,108.13532707,105.14388211,108.22233948,105.74438184
2010,107.21328,111.78477,116.2,107.5,108.2,109.2,103.75959,102.92126,108.31316,108.07663,118.51613,118.66308,104.1,108.3,101.3,102.6,100.7,114.64469,115.61691,102.4,102.8,103.5713,101.7
2009,100.74766,105.59093,105.95314324,107.19388797,103.3777585,98.31521511,81.7254,91.27214,101.56149,102.45862,113.57271,115.42577,103.41955234,102.46426335,101.82101451,101.41766732,101.98686697,107.10969,109.13789,102.87598311,101.54751696,102.6926,101.6551916
2008,114.33223,107.02591,104.29553415,106.09402506,111.22708542,134.41551613,125.37073,121.72702,104.31307,114.16453,110.95591,110.66214,105.49071829,103.99096552,103.7492576,102.24698351,104.4297533,110.83191,108.98303,109.2176443,117.03233051,111.82476,108.41579252
2007,112.34067,106.3267,105.36951171,107.25054435,106.21594149,108.01402018,126.71313,131.66578,121.80135,105.06543,107.86515,107.33111,104.06341381,101.55090778,101.48252849,103.27525281,100.67550009,102.19671,100.088,103.55694737,102.69885517,107.34848,104.21014398
2006,102.34682,102.73375,104.31518355,99.71778629,101.75757297,100.77627014,98.63388,97.0596,95.9952,101.21577,108.24897,108.23579,102.26439892,111.23557956,101.00333848,101.23650067,100.89531947,117.92565,121.46509,101.33101269,100.87373071,101.60371,101.23147395
2005,102.9101,101.4254,101.2,100.2,105.5406,102.4263,94.2519,102.4901,104.5892,105.9455,109.0913,110.3757,101.3601,104.039,100.1188,100.7875,99.8116,102.2166,101.5594,100.9455,100.9108,102.3529,101.3419
2004,109.8715,126.4222,133.1579,124.079,106.7643,120.4648,118.1683,117.5745,120.1507,112.7384,95.0995,93.8708,101.4679,102.2046,100.0136,101.1002,99.5064,103.9981,102.2443,101.632,100.4765,104.06,101.2414
2003,103.4331,102.2961,103.1277,101.7688,100.5583,106.4548,112.6175,103.3141,98.5528,100.3238,117.7272,120.5089,100.1377,97.4574,99.1524,99.6864,98.9015,102.9916,101.8308,99.2864,99.1536,100.1421,99.1271
2002,99.4049,98.3342,98.3,98.5,100.4,98.0,98.7056,99.5485,102.63,96.6713,98.203,98.094,101.2,97.3,99.0,100.9,98.2,103.1243,103.5526,98.8,99.0,99.9335,99.0
2001,100.0148,99.3448,100.2,99.1,99.5,99.0,91.7265,101.6283,106.0244,97.1496,100.9412,101.3506,102.2,104.6,99.1,101.0,98.3,99.8729,100.2533,98.9,99.1,100.1873,98.9
2000,97.4,88.6,,,98.6,102.0,86.8,98.5,84.5,101.7,104.7,105.5,101.5,103.7,,,,96.6,96.0,99.7,100.0,99.7,98.5
