年份,女运动健将发展数,田径女运动健将发展人数,游泳女运动健将发展人数,跳水女运动健将发展人数,水球女运动健将发展人数,花样游泳女运动健将发展人数,体操女运动健将发展人数,艺术体操女运动健将发展人数,蹦床女运动健将发展人数,举重女运动健将发展人数,拳击女运动健将发展人数,国际式摔跤女运动健将发展人数,中国式摔跤女运动健将发展人数,柔道女运动健将发展人数,跆拳道女运动健将发展人数,自行车女运动健将发展人数,击剑女运动健将发展人数,马术女运动健将发展人数,现代五项女运动健将发展人数,射击女运动健将发展人数,射箭女运动健将发展人数,赛艇女运动健将发展人数,皮划艇女运动健将发展人数,帆船女运动健将发展人数,足球女运动健将发展人数,篮球女运动健将发展人数,排球女运动健将发展人数,沙滩排球女运动健将发展人数,乒乓球女运动健将发展人数,羽毛球女运动健将发展人数,网球女运动健将发展人数,手球女运动健将发展人数,曲棍球女运动健将发展人数,棒球女运动健将发展人数,垒球女运动健将发展人数,速度滑冰女运动健将发展人数,短道速滑女运动健将发展人数,花样滑冰女运动健将发展人数,冰球女运动健将发展人数,冰壶女运动健将发展人数,高山滑雪女运动健将发展人数,越野滑雪女运动健将发展人数,跳台滑雪女运动健将发展人数,自由式滑雪女运动健将发展人数,单板滑雪女运动健将发展人数,冬季两项女运动健将发展人数,技巧女运动健将发展人数,健美操女运动健将发展人数,街舞女运动健将发展人数,软式网球女运动健将发展人数,武术女运动健将发展人数,滑水女运动健将发展人数,潜水女运动健将发展人数,蹼泳女运动健将发展人数,摩托艇女运动健将发展人数,围棋女运动健将发展人数,国际象棋女运动健将发展人数,中国象棋女运动健将发展人数,桥牌女运动健将发展人数,登山女运动健将发展人数,摩托车女运动健将发展人数,汽车女运动健将发展人数,铁人三项女运动健将发展人数,高尔夫球女运动健将发展人数,保龄球女运动健将发展人数,掷球女运动健将发展人数,台球女运动健将发展人数,藤球女运动健将发展人数,壁球女运动健将发展人数,橄榄球女运动健将发展人数,车辆模型女运动健将发展人数,航海模型女运动健将发展人数,定向女运动健将发展人数,航空模型女运动健将发展人数,跳伞女运动健将发展人数,滑翔女运动健将发展人数,运动飞机女运动健将发展人数,热气球女运动健将发展人数,轮滑女运动健将发展人数,业余无线电女运动健将发展人数,毽球女运动健将发展人数,门球女运动健将发展人数,舞龙舞狮女运动健将发展人数,龙舟女运动健将发展人数,钓鱼女运动健将发展人数,风筝女运动健将发展人数,信鸽女运动健将发展人数,体育舞蹈女运动健将发展人数,健美女运动健将发展人数,拔河女运动健将发展人数,飞镖女运动健将发展人数,救生女运动健将发展人数,健身气功女运动健将发展人数,电子竞技女运动健将发展人数
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,744.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,395.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,565.0,36.0,35.0,19.0,10.0,6.0,24.0,20.0,4.0,13.0,7.0,,17.0,16.0,12.0,11.0,8.0,,2.0,19.0,7.0,33.0,6.0,2.0,35.0,43.0,4.0,,23.0,7.0,5.0,7.0,9.0,,6.0,1.0,2.0,,14.0,1.0,,2.0,,,1.0,,2.0,3.0,,,25.0,,,2.0,,1.0,1.0,7.0,,11.0,,,1.0,1.0,,,,,,11.0,,1.0,,,2.0,,,,2.0,,,,,,,,,,10.0,,,,,
2012,864.0,50.0,34.0,19.0,5.0,3.0,13.0,66.0,6.0,15.0,26.0,9.0,,25.0,39.0,18.0,9.0,,,33.0,8.0,22.0,8.0,9.0,9.0,30.0,18.0,2.0,20.0,10.0,12.0,47.0,27.0,,16.0,9.0,8.0,9.0,37.0,4.0,3.0,3.0,3.0,1.0,,6.0,17.0,21.0,,1.0,31.0,3.0,,5.0,3.0,1.0,2.0,2.0,,5.0,1.0,,3.0,3.0,,,,,,62.0,,,,,3.0,,,,2.0,1.0,,,,,,,,,7.0,,,,,
2011,682.0,15.0,14.0,31.0,21.0,15.0,21.0,37.0,4.0,18.0,36.0,17.0,18.0,32.0,5.0,6.0,10.0,,8.0,6.0,4.0,54.0,31.0,31.0,17.0,27.0,28.0,3.0,7.0,15.0,2.0,12.0,9.0,,23.0,3.0,13.0,5.0,1.0,1.0,,1.0,1.0,,,,3.0,15.0,,3.0,26.0,2.0,,6.0,5.0,,4.0,1.0,,1.0,,,1.0,,,,,,,6.0,,,,,3.0,,,,,,,,,,,,,,4.0,,,,,
2010,719.0,28.0,68.0,16.0,19.0,26.0,9.0,63.0,10.0,24.0,5.0,24.0,27.0,19.0,5.0,19.0,20.0,,,10.0,4.0,3.0,4.0,10.0,52.0,4.0,4.0,,9.0,3.0,12.0,54.0,27.0,,21.0,2.0,,,7.0,,2.0,,,,,,18.0,8.0,,,43.0,2.0,,,1.0,,6.0,1.0,,1.0,,,3.0,,,,,,,,,,,,,,,,21.0,,,,,,,,,,3.0,2.0,,,,
