年份,二级运动员发展人数,田径二级运动员发展人数,游泳二级运动员发展人数,跳水二级运动员发展人数,水球二级运动员发展人数,花样游泳二级运动员发展人数,体操二级运动员发展人数,艺术体操二级运动员发展人数,蹦床二级运动员发展人数,举重二级运动员发展人数,拳击二级运动员发展人数,国际式摔跤二级运动员发展人数,中国式摔跤二级运动员发展人数,柔道二级运动员发展人数,跆拳道二级运动员发展人数,自行车二级运动员发展人数,击剑二级运动员发展人数,马术二级运动员发展人数,现代五项二级运动员发展人数,射击二级运动员发展人数,射箭二级运动员发展人数,赛艇二级运动员发展人数,皮划艇二级运动员发展人数,帆船二级运动员发展人数,足球二级运动员发展人数,篮球二级运动员发展人数,排球二级运动员发展人数,沙滩排球二级运动员发展人数,乒乓球二级运动员发展人数,羽毛球二级运动员发展人数,网球二级运动员发展人数,手球二级运动员发展人数,曲棍球二级运动员发展人数,棒球二级运动员发展人数,垒球二级运动员发展人数,速度滑冰二级运动员发展人数,短道速滑二级运动员发展人数,花样滑冰二级运动员发展人数,冰球二级运动员发展人数,冰壶二级运动员发展人数,高山滑雪二级运动员发展人数,越野滑雪二级运动员发展人数,跳台滑雪二级运动员发展人数,自由式滑雪二级运动员发展人数,单板滑雪二级运动员发展人数,冬季两项二级运动员发展人数,技巧二级运动员发展人数,健美操二级运动员发展人数,街舞二级运动员发展人数,软式网球二级运动员发展人数,武术二级运动员发展人数,滑水二级运动员发展人数,潜水二级运动员发展人数,蹼泳二级运动员发展人数,摩托艇二级运动员发展人数,围棋二级运动员发展人数,国际象棋二级运动员发展人数,中国象棋二级运动员发展人数,桥牌二级运动员发展人数,登山二级运动员发展人数,摩托车二级运动员发展人数,汽车二级运动员发展人数,铁人三项二级运动员发展人数,高尔夫球二级运动员发展人数,保龄球二级运动员发展人数,掷球二级运动员发展人数,台球二级运动员发展人数,藤球二级运动员发展人数,壁球二级运动员发展人数,橄榄球二级运动员发展人数,车辆模型二级运动员发展人数,航海模型二级运动员发展人数,定向二级运动员发展人数,航空模型二级运动员发展人数,跳伞二级运动员发展人数,滑翔二级运动员发展人数,运动飞机二级运动员发展人数,热气球二级运动员发展人数,轮滑二级运动员发展人数,业余无线电二级运动员发展人数,毽球二级运动员发展人数,门球二级运动员发展人数,舞龙舞狮二级运动员发展人数,龙舟二级运动员发展人数,钓鱼二级运动员发展人数,风筝二级运动员发展人数,信鸽二级运动员发展人数,体育舞蹈二级运动员发展人数,健美二级运动员发展人数,拔河二级运动员发展人数,飞镖二级运动员发展人数,救生二级运动员发展人数,健身气功二级运动员发展人数,电子竞技二级运动员发展人数
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,28834.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,32694.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,40479.0,7421.0,2163.0,31.0,20.0,39.0,168.0,54.0,36.0,254.0,755.0,,434.0,621.0,1388.0,141.0,313.0,2.0,5.0,559.0,164.0,401.0,343.0,27.0,3921.0,5692.0,2635.0,108.0,2513.0,609.0,1373.0,676.0,210.0,202.0,118.0,82.0,25.0,7.0,22.0,20.0,12.0,25.0,,1.0,2.0,,8.0,72.0,,16.0,3878.0,,,17.0,,696.0,300.0,247.0,,4.0,,,8.0,2.0,,,,,,118.0,4.0,26.0,,24.0,1.0,,,,6.0,6.0,,,,,,,,,86.0,,,,,
2012,34735.0,5978.0,2128.0,51.0,5.0,66.0,87.0,111.0,20.0,268.0,688.0,713.0,540.0,756.0,1270.0,127.0,423.0,,24.0,569.0,104.0,408.0,299.0,36.0,3016.0,4588.0,2251.0,77.0,2296.0,511.0,1007.0,443.0,189.0,179.0,204.0,33.0,9.0,9.0,30.0,13.0,21.0,11.0,,10.0,2.0,,20.0,585.0,,16.0,3118.0,,,10.0,2.0,564.0,373.0,254.0,,11.0,,,,,,,,,,37.0,6.0,28.0,,24.0,,,,,12.0,15.0,,,,,,,,,90.0,,,,,
2011,28825.0,4607.0,1912.0,139.0,3.0,45.0,154.0,74.0,47.0,193.0,542.0,618.0,471.0,635.0,1151.0,110.0,298.0,,24.0,632.0,120.0,272.0,281.0,32.0,2306.0,3675.0,1880.0,124.0,1720.0,433.0,920.0,417.0,262.0,182.0,157.0,55.0,12.0,6.0,,21.0,17.0,57.0,4.0,,,,39.0,419.0,,90.0,2598.0,,,1.0,,399.0,258.0,182.0,,19.0,,,,,,,,,,16.0,14.0,18.0,,45.0,,,,,29.0,27.0,,,,,,,,,63.0,,,,,
2010,35370.0,7575.0,2104.0,123.0,9.0,32.0,208.0,102.0,70.0,337.0,424.0,772.0,319.0,834.0,1482.0,81.0,538.0,,5.0,510.0,158.0,288.0,281.0,116.0,3458.0,3969.0,1923.0,86.0,2007.0,667.0,773.0,511.0,226.0,180.0,163.0,90.0,30.0,6.0,12.0,13.0,8.0,10.0,2.0,,,2.0,23.0,524.0,2.0,21.0,2082.0,9.0,,8.0,,490.0,256.0,285.0,,10.0,1.0,,8.0,,,,,3.0,,,16.0,133.0,54.0,47.0,,,,,28.0,225.0,14.0,480.0,35.0,15.0,,,,36.0,38.0,2.0,9.0,7.0,,5.0
