年份,运动健将发展人数,田径运动健将发展人数,游泳运动健将发展人数,跳水运动健将发展人数,水球运动健将发展人数,花样游泳运动健将发展人数,体操运动健将发展人数,艺术体操运动健将发展人数,蹦床运动健将发展人数,举重运动健将发展人数,拳击运动健将发展人数,国际式摔跤运动健将发展人数,中国式摔跤运动健将发展人数,柔道运动健将发展人数,跆拳道运动健将发展人数,自行车运动健将发展人数,击剑运动健将发展人数,马术运动健将发展人数,现代五项运动健将发展人数,射击运动健将发展人数,射箭运动健将发展人数,赛艇运动健将发展人数,皮划艇运动健将发展人数,帆船运动健将发展人数,足球运动健将发展人数,篮球运动健将发展人数,排球运动健将发展人数,沙滩排球运动健将发展人数,乒乓球运动健将发展人数,羽毛球运动健将发展人数,网球运动健将发展人数,手球运动健将发展人数,曲棍球运动健将发展人数,棒球运动健将发展人数,垒球运动健将发展人数,速度滑冰运动健将发展人数,短道速滑运动健将发展人数,花样滑冰运动健将发展人数,冰球运动健将发展人数,冰壶运动健将发展人数,高山滑雪运动健将发展人数,越野滑雪运动健将发展人数,跳台滑雪运动健将发展人数,自由式滑雪运动健将发展人数,单板滑雪运动健将发展人数,冬季两项运动健将发展人数,技巧运动健将发展人数,健美操运动健将发展人数,街舞运动健将发展人数,软式网球运动健将发展人数,武术运动健将发展人数,滑水运动健将发展人数,潜水运动健将发展人数,蹼泳运动健将发展人数,摩托艇运动健将发展人数,围棋运动健将发展人数,国际象棋运动健将发展人数,中国象棋运动健将发展人数,桥牌运动健将发展人数,登山运动健将发展人数,摩托车运动健将发展人数,汽车运动健将发展人数,铁人三项运动健将发展人数,高尔夫球运动健将发展人数,保龄球运动健将发展人数,掷球运动健将发展人数,台球运动健将发展人数,藤球运动健将发展人数,壁球运动健将发展人数,橄榄球运动健将发展人数,车辆模型运动健将发展人数,航海模型运动健将发展人数,定向运动健将发展人数,航空模型运动健将发展人数,跳伞运动健将发展人数,滑翔运动健将发展人数,运动飞机运动健将发展人数,热气球运动健将发展人数,轮滑运动健将发展人数,业余无线电运动健将发展人数,毽球运动健将发展人数,门球运动健将发展人数,舞龙舞狮运动健将发展人数,龙舟运动健将发展人数,钓鱼运动健将发展人数,风筝运动健将发展人数,信鸽运动健将发展人数,体育舞蹈运动健将发展人数,健美运动健将发展人数,拔河运动健将发展人数,飞镖运动健将发展人数,救生运动健将发展人数,健身气功运动健将发展人数,电子竞技运动健将发展人数
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1663.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1283.0,89.0,72.0,32.0,22.0,6.0,38.0,20.0,10.0,27.0,19.0,,21.0,53.0,27.0,45.0,10.0,,8.0,33.0,19.0,48.0,27.0,4.0,81.0,134.0,9.0,,42.0,11.0,5.0,21.0,32.0,,6.0,10.0,8.0,1.0,29.0,1.0,,5.0,,,3.0,,2.0,8.0,,,64.0,,,3.0,3.0,10.0,8.0,11.0,,23.0,,,2.0,1.0,,,,,,31.0,,7.0,,1.0,2.0,,,,4.0,,,,,,,,,,25.0,,,,,
2012,1820.0,111.0,80.0,29.0,14.0,3.0,27.0,66.0,13.0,33.0,37.0,28.0,1.0,39.0,75.0,42.0,19.0,,2.0,68.0,9.0,56.0,30.0,15.0,59.0,78.0,49.0,5.0,38.0,28.0,17.0,81.0,67.0,44.0,19.0,19.0,17.0,16.0,77.0,6.0,5.0,10.0,3.0,3.0,5.0,9.0,27.0,51.0,,1.0,86.0,6.0,,13.0,6.0,9.0,5.0,7.0,,9.0,2.0,,10.0,4.0,,,,,3.0,87.0,,1.0,,3.0,10.0,,,,8.0,1.0,,,,,,,,,19.0,,,,,
2011,1675.0,36.0,45.0,52.0,36.0,15.0,29.0,43.0,5.0,41.0,81.0,29.0,31.0,54.0,15.0,24.0,19.0,,11.0,17.0,7.0,146.0,104.0,87.0,56.0,74.0,56.0,5.0,17.0,32.0,3.0,18.0,31.0,59.0,23.0,26.0,42.0,13.0,69.0,4.0,,1.0,1.0,,,1.0,5.0,45.0,,4.0,74.0,12.0,,14.0,9.0,,6.0,3.0,,12.0,,,2.0,,,,,,,13.0,1.0,2.0,,2.0,3.0,,,,4.0,2.0,,,,,,,,,4.0,,,,,
2010,1712.0,87.0,145.0,24.0,32.0,26.0,18.0,73.0,29.0,55.0,73.0,88.0,91.0,37.0,15.0,36.0,33.0,,,19.0,12.0,6.0,14.0,40.0,160.0,6.0,10.0,,23.0,14.0,24.0,94.0,48.0,54.0,21.0,4.0,,,14.0,,4.0,,,,,,20.0,29.0,,,120.0,3.0,,,3.0,1.0,9.0,2.0,,5.0,,,7.0,,,,,,,,,1.0,,1.0,,,,,71.0,,,,,,,,,,8.0,3.0,,,,
