年份,金融机构部门实物交易资金来源_净出口,金融机构部门实物交易资金来源_增加值,金融机构部门实物交易资金来源_劳动者报酬,金融机构部门实物交易资金来源_工资及工资性收入,金融机构部门实物交易资金来源_单位社会保险付款,金融机构部门实物交易资金来源_生产税净额,金融机构部门实物交易资金来源_生产税,金融机构部门实物交易资金来源_生产补贴,金融机构部门实物交易资金来源_财产收入,金融机构部门实物交易资金来源_利息,金融机构部门实物交易资金来源_红利,金融机构部门实物交易资金来源_地租,金融机构部门实物交易资金来源_其他财产收入,金融机构部门实物交易资金来源_初次分配总收入,金融机构部门实物交易资金来源_经常转移,金融机构部门实物交易资金来源_收入税,金融机构部门实物交易资金来源_社会保险缴款,金融机构部门实物交易资金来源_社会保险福利,金融机构部门实物交易资金来源_社会补助,金融机构部门实物交易资金来源_其他经常转移,金融机构部门实物交易资金来源_可支配总收入,金融机构部门实物交易资金来源_最终消费,金融机构部门实物交易资金来源_居民消费,金融机构部门实物交易资金来源_政府消费,金融机构部门实物交易资金来源_总储蓄,金融机构部门实物交易资金来源_资本转移,金融机构部门实物交易资金来源_投资性补助,金融机构部门实物交易资金来源_其他资本转移,金融机构部门实物交易资金来源_资本形成总额,金融机构部门实物交易资金来源_固定资本形成总额,金融机构部门实物交易资金来源_存货增加,金融机构部门实物交易资金来源_其他非金融资产获得减处置,金融机构部门实物交易资金来源_净金融投资
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,70610.2562902868,,,,,,,59909.7236377556,58942.6388269033,967.084810852306,,,33269.0282048108,6039.69110642239,,,,,6039.69110642239,25718.6869067447,,,,25718.6869067447,,,,,,,,
2017,,65394.9746597595,,,,,,,57784.51679356,56198.225886809,1586.29090675092,,,41083.9552749946,6278.57870442782,,,,,6278.57870442782,34637.9308529993,,,,34637.9308529993,,,,,,,,
2016,,61121.7186288761,,,,,,,53599.1292142722,52735.8665341929,863.262680079238,,,37624.2667622186,5439.5678381607,,,,,5439.5678381607,29616.8952708495,,,,29616.8952708495,,,,,,,,
2015,,57872.6183357316,,,,,,,51947.3209844649,51058.6157513462,888.705233118651,,,30227.3502546544,4847.74922626911,,,,,4847.74922626911,22662.2941853957,,,,22662.2941853957,,,,,,,,
2014,,46665.1789541209,,,,,,,48901.2741307699,47897.3552728753,1003.91885789465,,,21909.252519614,4665.57653267262,,,,,4665.57653267262,15932.8073546868,,,,15932.8073546868,,,,,,,,
2013,,41190.4705107812,,,,,,,42647.7995061222,41887.0787319818,760.720774140386,,,19865.7802660949,4274.86784836522,,,,,4274.86784836522,14963.2021241996,,,,14963.2021241996,,,,,,,,
2012,,28722.6805400334,,,,,,,54612.3953585662,53860.0372049868,752.358153579394,,,20753.0222177836,3703.27059932646,,,,,3703.27059932646,16855.3536452268,,,,16855.3536452268,,,,,,,,
2011,,24958.2885605877,,,,,,,43429.1706962266,42808.7356404234,620.435055803191,,,17358.5813607791,3311.12480439104,,,,,3311.12480439104,15179.1828130707,,,,15179.1828130707,,,,,,,,
2010,,20980.6,,,,,,,29716.443903889,29170.4439357845,545.999968104496,,,14582.482862949,2957.6847364139,,,,,2957.6847364139,13206.5463731407,,,,13206.5463731407,,,,,,,,
2009,,17767.5261897921,,,,,,,23049.9027304231,22645.2746903496,404.628040073551,,,10894.3999295537,2270.03222498094,,,,,2270.03222498094,8405.69816479856,,,,8405.69816479856,,,,,,,,
2008,,14863.2504955693,,,,,,,23859.4663775261,23463.6993865659,395.766990960216,,,9476.51082488136,1506.32269491599,,,,,1506.32269491599,7106.18003534493,,,,7106.18003534493,,,,,,,,
2007,,12337.5493090995,,,,,,,16543.0771280261,16543.0771280261,,,,6824.38776262357,1352.94132437372,,,,,1352.94132437372,5284.52597316505,,,,5284.52597316505,,,,,,,,
2006,,8099.08219302342,,,,,,,13242.2669414866,13242.2669414866,,,,5223.88461896455,1089.93574262879,,,,,1089.93574262879,4303.43575766298,,,,4303.43575766298,,,,,,,,
2005,,6086.8262039027,,,,,,,8248.98581957919,8248.98581957919,,,,3494.23864984257,885.657003527777,,,,,885.657003527777,3100.65233799953,,,,3100.65233799953,,,,,,,,
2004,,5392.97481906784,,,,,,,6989.04253759101,6989.04253759101,,,,3071.89861998315,761.787022866881,,,,,761.787022866881,3075.63124223196,,,,3075.63124223196,,,,,,,,
2003,,4989.39631599657,,,,,,,6193.34426578417,6193.34426578417,,,,2944.74684486838,568.4678146514,,,,,568.4678146514,2866.88894324357,,,,2866.88894324357,,,,,,,,
2002,,4612.80072887727,,,,,,,5313.74685267476,5313.74685267476,,,,2027.69524278667,446.643722465464,,,,,446.643722465464,1927.53026914359,,,,1927.53026914359,,,,,,,,
2001,,4353.45639068385,,,,,,,5381.45108211733,5326.61108211733,54.84,,,1504.543442533,276.020454069167,,,,,276.020454069167,1254.41849222103,,,,1254.41849222103,2.0,2.0,,,,,,
2000,,4086.68576474315,,,,,,,5524.40909212365,5492.70909212366,31.7,,,794.403551851945,144.290223630379,,,,,144.290223630379,517.586102596295,,,,517.586102596295,1.0,1.0,,,,,,
