年份,金融机构部门实物交易资金运用_净出口,金融机构部门实物交易资金运用_增加值,金融机构部门实物交易资金运用_劳动者报酬,金融机构部门实物交易资金运用_工资及工资性收入,金融机构部门实物交易资金运用_单位社会保险付款,金融机构部门实物交易资金运用_生产税净额,金融机构部门实物交易资金运用_生产税,金融机构部门实物交易资金运用_生产补贴,金融机构部门实物交易资金运用_财产收入,金融机构部门实物交易资金运用_利息,金融机构部门实物交易资金运用_红利,金融机构部门实物交易资金运用_地租,金融机构部门实物交易资金运用_其他财产收入,金融机构部门实物交易资金运用_初次分配总收入,金融机构部门实物交易资金运用_经常转移,金融机构部门实物交易资金运用_收入税,金融机构部门实物交易资金运用_社会保险缴款,金融机构部门实物交易资金运用_社会保险福利,金融机构部门实物交易资金运用_社会补助,金融机构部门实物交易资金运用_其他经常转移,金融机构部门实物交易资金运用_可支配总收入,金融机构部门实物交易资金运用_最终消费,金融机构部门实物交易资金运用_居民消费,金融机构部门实物交易资金运用_政府消费,金融机构部门实物交易资金运用_总储蓄,金融机构部门实物交易资金运用_资本转移,金融机构部门实物交易资金运用_投资性补助,金融机构部门实物交易资金运用_其他资本转移,金融机构部门实物交易资金运用_资本形成总额,金融机构部门实物交易资金运用_固定资本形成总额,金融机构部门实物交易资金运用_存货增加,金融机构部门实物交易资金运用_其他非金融资产获得减处置,金融机构部门实物交易资金运用_净金融投资
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,18799.8839559914,,,6049.20272562597,,,72401.8650416143,64738.8318024192,4102.49208830633,,3560.5411508888,,13590.0324044884,7692.93240448842,,,,5897.1,,,,,,,,,2005.39842216709,2005.39842216709,,,23713.2884845776
2017,,,21586.9380669142,,,6026.04570747818,,,54482.5524039325,48162.9246781476,2858.99011196516,,3460.63761381976,,12724.6031264231,7935.00312642307,,,,4789.6,,,,,,,,,711.944321469098,711.944321469098,,,33925.9865315302
2016,,,19448.4651270889,,,6813.40237173006,,,50834.7135821107,45495.3126843252,1901.02209448396,,3438.37880330153,,13446.9393295298,8719.73932952975,,,,4727.2,,,,,,,,,635.23171209838,635.23171209838,,,28981.6635587511
2015,,,17431.3912056658,,,7425.34198637028,,,54735.855873506,49199.2242780378,2345.92145391123,,3190.71014155695,,12412.8052955278,8392.77529552782,,,,4020.03,,,,,,,,,641.518590136616,641.518590136616,,,22020.7755952591
2014,,,13687.5229873205,,,5366.82069226353,,,54602.8568856928,50598.9791965787,1628.75237646392,,2375.12531265012,,10642.0216975999,7014.78169759986,,,,3627.24,,,,,,,,,672.957271276128,672.957271276128,,,15259.8500834106
2013,,,12090.0993336621,,,4598.39945695872,,,47283.9909601876,44342.1252304878,1188.7871892008,,1753.07854049902,,9177.44599026052,5890.14599026052,,,,3287.3,,,,,,,,,636.280022092383,636.280022092383,,,14326.9221021072
2012,,,9250.71852295098,,,3403.33805555788,,,49927.997102307,48129.30375,430.308577614825,,1368.38477469223,,7600.9391718833,4902.9691718833,,,,2697.97,,,,,,,,,530.572838045654,530.572838045654,,,16324.7808071811
2011,,,8062.53065072298,,,2906.30291143511,,,40060.0443338771,37656.288268,1145.82194160548,,1257.93412427159,,5490.5233520995,3402.5933520995,,,,2087.93,,,,,,,,,400.093510978586,400.093510978586,,,14779.0893020921
2010,,,6661.0,,,2463.83324598,,,26989.7277949601,24483.161,1180.5931797574,,1325.97361520265,,4333.62122622218,2649.66126222218,,,,1683.959964,,,,,,,,,296.231259427959,296.231259427959,,,12910.3151137127
2009,,,4951.38954272275,,,2325.58380448384,,,22646.0556434549,20424.33,984.764124537398,,1236.96151891751,,4758.73398973608,3182.94847073608,,,,1575.785519,,,,,,,,,228.311789192011,228.311789192011,,,8177.38637560655
2008,,,4325.84453304353,,,1754.2349869896,,,23166.126528181,21354.12296,737.703945051015,,1074.29962312994,,3876.65348445241,2458.31348445241,,,,1418.34,,,,,,,,,180.668119958312,180.668119958312,,,6925.51191538662
2007,,,3163.86851914155,,,1445.29742122051,,,17447.07273414,15539.18,233.39273414,,1674.5,,2892.80311383223,1871.80311383224,,,,1021.0,,,,,,,,,108.436853451388,108.436853451388,,,5176.08911971367
2006,,,2374.61504274098,,,755.611306393121,,,12987.2381664114,12348.74,24.2,,614.298166411358,,2010.38460393036,1214.38460393036,,,,796.0,,,,,,,,,87.160621440693,87.160621440693,,,4216.27513622228
2005,,,2354.53777857564,,,666.331437960823,,,7820.70415710286,7554.72,23.92,,242.064157102856,,1279.24331537082,607.24331537082,,,,672.0,,,,,,,,,76.3302354366766,76.3302354366766,,,3024.32210256285
2004,,,2114.0083884057,,,716.28034827,,,6479.83,6369.43,30.2,,80.2,,758.05440061807,180.05440061807,,,,578.0,,,,,,,,,68.6141687707223,68.6141687707223,,,3007.01707346124
2003,,,2001.43373691237,,,751.2,,,5485.36,5417.96,,,67.4,,646.325716276208,170.325716276208,,,,476.0,,,,,,,,,65.7452557912541,65.7452557912541,,,2801.14368745231
2002,,,2040.35733876537,,,997.95,,,4860.545,4818.725,,,41.82,,546.808696108541,143.808696108541,,,,403.0,,,,,,,,,183.208398995975,183.208398995975,,,1744.32187014761
2001,,,1794.76403026817,,,1611.96,,,4823.64,4773.18,,,50.46,,526.145404381141,193.145404381141,,,,333.0,,,,,,,,,156.410288186464,156.410288186464,,,1100.00820403456
2000,,,1645.26130501486,,,2122.6,,,5048.83,5010.37,,,38.46,,421.107672886029,113.107672886029,,,,308.0,,,,,,,,,110.343156795506,110.343156795506,,,408.242945800789
