年份,火灾受伤人数,特大火灾受伤人数,重大火灾受伤人数,较大火灾受伤人数,一般火灾受伤人数
2019,,,,,
2018,,,,,
2017,,,,,
2016,,,,,
2015,,,,,
2014,,,,,
2013,,,,,
2012,575.0,,7.0,45.0,523.0
2011,571.0,,32.0,54.0,485.0
2010,624.0,,51.0,57.0,516.0
2009,651.0,6.0,30.0,28.0,587.0
2008,743.0,64.0,14.0,57.0,608.0
2007,969.0,19.0,46.0,31.0,873.0
2006,1418.0,13.0,84.0,,1321.0
2005,2506.0,167.0,115.0,,2224.0
2004,2969.0,156.0,154.0,,2659.0
2003,3087.0,34.0,167.0,,2886.0
2002,3414.0,44.0,202.0,,3168.0
2001,3781.0,53.0,263.0,,3465.0
2000,4404.0,191.0,250.0,,3963.0
